variation,country,fixed fe / fo,target UUPCOST,target number of patents,delta baseline,delta 2005,delta 2005/baseline,delta 1992,static welfare change,dynamic welfare change,"static welfare change, fixed delta north","dynamic welfare change, fixed delta north"
5,USA,Y,Y,No,0.0697756753953393,0.0677066747709558,0.9703478237557597,0.0762165403233617,1.0019,1.0013,0.9997,0.9997
5,EUR,Y,Y,No,0.0721273569987132,0.0726826997040132,1.0076994739362195,0.0553473869500892,0.9864,0.9909,0.9997,0.9997
5,JAP,Y,Y,No,0.0564536037850072,0.0531735875538488,0.9418989043879339,0.0592114542411193,1.0022,1.0012,0.9994,0.9995
5,CHN,Y,Y,No,0.0999137336896381,0.0958474669295278,0.9593022239290812,0.1566098814163338,1.0135,1.0104,1.0131,1.0102
5,BRA,Y,Y,No,0.1035667811302835,0.1017603609959329,0.9825579194927553,0.1065289407671186,1.001,1.0005,1.0006,1.0003
5,IND,Y,Y,No,0.1828146250631567,0.1790526469706095,0.9794218975027431,0.370336653988157,1.0062,1.0052,1.0058,1.0051
5,ROW,Y,Y,No,0.7542317739227999,0.7221065580793392,0.9574067057976413,0.6297168478998001,1.0,0.9996,0.9994,0.9994
5,Negishi,Y,Y,No,,,,,0.9994,0.9998,1.0018,1.0014
5,Equal,Y,Y,No,,,,,1.0045,1.0035,1.0043,1.0034
7,USA,Y,Y,Inter. pats,0.0697756753953393,0.068042322235194,0.9751582030510726,0.076371712785243,0.9953,0.9939,0.9994,0.9993
7,EUR,Y,Y,Inter. pats,0.0721273569987132,0.0743005343304791,1.0301297236193567,0.0941223502855684,1.0038,0.9998,0.9993,0.9992
7,JAP,Y,Y,Inter. pats,0.0564536037850072,0.0582503466234041,1.0318268935538544,0.1778605145743839,1.0228,1.0182,0.9989,0.999
7,CHN,Y,Y,Inter. pats,0.0999137336896381,0.10708009118131,1.0717254498158655,0.2791458504187755,1.0141,1.0102,1.0207,1.0178
7,BRA,Y,Y,Inter. pats,0.1035667811302835,0.1077702671922274,1.0405872038897883,0.2014294197367745,1.0067,1.0031,1.0128,1.0104
7,IND,Y,Y,Inter. pats,0.1828146250631567,0.1882021212599193,1.029469722101836,0.5511841359916637,1.0003,0.9986,1.0066,1.006
7,ROW,Y,Y,Inter. pats,0.7542317739227999,0.7538035177283073,0.9994321955010391,1.054841754242721,0.992,0.9914,0.9996,0.9995
7,Negishi,Y,Y,Inter. pats,,,,,1.0015,0.9991,1.0031,1.0026
7,Equal,Y,Y,Inter. pats,,,,,0.9999,0.9981,1.0064,1.0056
11,USA,Y,Y,No,0.0697756753953393,0.0555101802011782,0.795552029939735,0.1056854146575391,0.9938,0.9915,0.9994,0.9993
11,EUR,Y,Y,No,0.0721273569987132,0.1089362556772053,1.5103320045284454,0.1751756347993126,1.0117,1.0059,0.9993,0.9992
11,JAP,Y,Y,No,0.0564536037850072,0.0524653712759567,0.9293538013226059,0.116612475084956,1.0101,1.0035,0.9989,0.999
11,CHN,Y,Y,No,0.0999137336896381,0.1075486597766339,1.0764151814275318,0.2842399840150851,1.0087,1.0034,1.0209,1.018
11,BRA,Y,Y,No,0.1035667811302835,0.1117304306262829,1.078824980431996,0.2069630457435467,1.0015,0.9965,1.0131,1.0107
11,IND,Y,Y,No,0.1828146250631567,0.1927652683008895,1.0544302362805773,0.6251879935120938,0.9948,0.992,1.0068,1.0062
11,ROW,Y,Y,No,0.7542317739227999,0.7542861856190863,1.0000721418775602,1.0478269971969612,0.9853,0.984,0.9995,0.9995
11,Negishi,Y,Y,No,,,,,0.9993,0.9956,1.0031,1.0026
11,Equal,Y,Y,No,,,,,0.9941,0.9913,1.0065,1.0057
12,USA,Y,Y,Inter. pats,0.0697756753953393,0.0553895702246626,0.7938234909348133,0.1045743264807286,0.994,0.9918,0.9994,0.9993
12,EUR,Y,Y,Inter. pats,0.0721273569987132,0.1080700944075318,1.4983232285838486,0.167636049443809,1.0115,1.0056,0.9993,0.9992
12,JAP,Y,Y,Inter. pats,0.0564536037850072,0.0522959684290932,0.9263530567198585,0.1105652126390298,1.0094,1.0029,0.9989,0.999
12,CHN,Y,Y,Inter. pats,0.0999137336896381,0.1065805142667472,1.066725367283522,0.2745435062269589,1.0088,1.0036,1.0206,1.0177
12,BRA,Y,Y,Inter. pats,0.1035667811302835,0.1106911410779505,1.0687900103673666,0.1993279408715955,1.0014,0.9966,1.0127,1.0102
12,IND,Y,Y,Inter. pats,0.1828146250631567,0.1911266418853478,1.0454669139261674,0.6070422068202492,0.9951,0.9924,1.0068,1.0062
12,ROW,Y,Y,Inter. pats,0.7542317739227999,0.7468156917017004,0.9901673696634018,1.016651183095792,0.9857,0.9844,0.9995,0.9995
12,Negishi,Y,Y,Inter. pats,,,,,0.9994,0.9958,1.0031,1.0025
12,Equal,Y,Y,Inter. pats,,,,,0.9944,0.9917,1.0065,1.0056
