,eta_CHN,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ROW
1,0.08962761244963946,0.010001952165161034,0.010002315275432626,0.010001967398828054,0.010001802155328867,5.40520978917905,11.940727582136983,0.010002096074666603,0.010001832343824013,3.70874547694197,3.3319114911145666,11.999999851793751
2,0.04645804670782208,0.01,0.01,0.010000885816026463,0.01,8.314805836278914,11.99999999731603,0.010001962303278147,0.010001963705233902,4.548646364147615,3.0272251490487387,11.999998023038579
3,0.024873263836913392,0.01,0.01,0.01,0.01,4.925964807711267,9.74429029727246,0.01,0.01,2.3533688877467376,0.6961192465088124,8.40548783882195
4,0.014080872401459046,0.01,0.010000004728311248,0.010000000967947856,0.01000000866545114,11.99999999037721,12.0,0.01,0.01,8.41764881851571,0.694505321240571,11.999999999523306
5,0.008684676683731874,0.01,0.01,0.010000005201006136,0.010000005201006025,12.0,11.81802238667672,0.01,0.010000005201006315,4.478451802035136,0.04568888649377503,9.740146150217445
6,0.005986578824868287,0.01,0.01,0.01,0.01,12.0,10.26298866807361,0.01,0.01,4.4119512578560345,0.028944623734817522,7.346069391259953
7,0.004637529895436494,0.01,0.010000100268668766,0.01,11.999999998165325,8.816701606647507,9.50295855647396,0.01,0.01,3.284254832312781,0.010000135051933604,9.562760145805377
8,0.005312054360152391,0.010000015400779114,0.010000002182695965,0.01,2.8075755173240946,2.5558570140333337,6.892566577935045,0.01,0.01,1.528178639883978,0.010000030812659412,6.656683228636222
9,0.005649316592510339,0.01,0.01,0.01,0.2840071156180657,6.197475282465533,9.2969066866457,0.010000007316080075,0.010000008462539118,2.880198790483414,0.01,11.999999990104834
10,0.0058179477086893125,0.01,0.01,0.01,0.09841398675088793,9.589121710203113,11.705687496193455,0.01,0.01,3.654095689471761,0.01,9.462083049835917
11,0.005733632150599826,0.01,0.01,0.01,0.25161385978641043,10.730953857253736,11.960664364887792,0.01,0.01,4.922012809890965,0.01,11.999999994528974
12,0.00577578992964457,0.01,0.01,0.01,0.24042380675416536,10.119915841106543,11.96491776014781,0.01,0.01,5.060282347685628,0.01,9.965429324246319
