,tau_in_factor_IND,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,1.05,0.010000005739065829,0.01,0.010000034178649954,2.8792896773105476,0.8893904548374694,3.6803988720543073,0.010000034178698191,0.01000003417868148,0.4183420186074027,0.08017153995918107,0.3887915816887872,1.6668780432192163
2,1.525,0.01,0.010000174862654618,0.010000174862654618,11.571886093382744,3.30249535740704,8.91537982904266,0.010000174862654618,0.010000174862654618,1.1277366766841175,0.04637265093901014,1.2220794400869543,5.4024316131475265
3,1.7625,0.01,0.01,0.01,1.7400943701760863,0.5651414764015696,2.770860337645899,0.01,0.01,0.3086520904866898,0.026271925726945155,0.2829356724924046,1.5875485570847603
4,1.88125,0.010000039866865418,0.010000039866865418,0.010000039866865418,4.656554478193919,1.4207073983670433,7.027598716436546,0.010000039866865418,0.010000039866865418,0.6702756793893748,0.026270282956450265,0.7363057724601804,2.0610562288311973
5,1.940625,0.01,0.010000013604098216,0.01,5.490586630304049,1.5320037142593526,9.098446693558284,0.01,0.01,0.35844198617473083,0.01890597998722316,0.43210783018882465,1.5628342685623113
6,1.9703125,0.010000010783826858,0.010000010783826858,0.010000010783826858,1.659850945998654,0.5474055188710276,2.7817691923529586,0.010000010783826858,0.010000010783826858,0.30507598779851575,0.015079904055700716,0.28362332480508606,1.5933007473352883
7,1.98515625,0.01,0.01,0.01,1.664570105481994,0.5474140691457339,2.800252437490061,0.01,0.01,0.3026951846468051,0.013264684556623387,0.2809566480686525,1.5901749315569795
