,tau_in_factor_RUS,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,1.05,0.010000012069572219,0.01,0.01,3.44085740058629,1.0446015272178197,4.302457012069311,0.010000012069572219,0.010000012069572219,0.4878659144933333,0.07026627684889224,0.43855445977274626,1.704797753427592
2,1.525,0.01,0.01,0.01,3.320868049929721,1.0020022369510253,4.156979086663573,0.01,0.01,0.6315693210146136,0.07253509456711947,0.4216160808775404,1.690388525574768
3,1.7625,0.01,0.01,0.010000032977685785,11.999999967022314,6.899167482473569,11.999999967022314,0.010000032977685785,0.010000032977685785,3.999307532310058,0.0974546791385295,2.137333690593971,2.540511442442784
4,1.88125,0.01,0.01,0.01,3.0764261084436124,0.9312015117987461,3.858371575841103,0.01,0.01,0.6784431659998279,0.07870407713763572,0.3984298669957374,1.6737165714243476
5,1.940625,0.01,0.01,0.01,3.1264303866566463,0.9434179526671095,3.9214911183580625,0.01,0.01,0.6978666653820315,0.0751911090256659,0.40211746109658064,1.6772480240505996
6,1.9703125,0.01,0.01,0.01,3.1823609044870054,0.9583266143658412,3.9902794154192938,0.01,0.01,0.7143675119149603,0.07228835697434344,0.40714764782129714,1.6816173473033718
7,1.98515625,0.01,0.01,0.01,3.014590425481439,0.912496119211876,3.7826722266375565,0.01,0.01,0.6875451878541504,0.07948140293096911,0.39195988969919543,1.6703098916763433
