delt_dom,delt_int,growth,World Equal,World Negishi,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
1.0,0.09999999999999983,,,,1.0084295440790738,1.007090704550729,1.00824789532397,1.005195688685711,1.0056074421115722,1.0061727136389926,1.007697903157937,1.0090168680360256,0.9651242898556188,1.0057308477125684,1.0056939045423239,1.0059054929535587
1.0,0.15848931924611093,,,,1.0082239985144503,1.0068574109077908,1.0080152209222073,1.0049911998485408,1.0054034444151663,1.0059658903688744,1.0074830728539002,1.0087606314681257,0.9757137952359867,1.005520185049735,1.0054848255060644,1.005691649358913
1.0,0.2511886431509576,,,,1.0080269767215704,1.0066366288768474,1.007803055183814,1.0048046836428075,1.0052176171199785,1.0057774074631491,1.007287283828875,1.0085267175180437,0.9860548378394837,1.0053278737549622,1.0052942691241367,1.005497081874594
1.0,0.3981071705534973,,,,1.007871343275966,1.0064624420477268,1.0076363989363661,1.0046582253208083,1.0050718463767283,1.005629581213542,1.0071336387927319,1.0083427505322144,0.9944451460828656,1.0051769413747442,1.0051447785125585,1.005344555525842
1.0,0.6309573444801931,,,,1.007765833775802,1.0063441854591606,1.0075233001660633,1.0045589731733735,1.0049731441740402,1.0055295060633582,1.0070295248415844,1.008217709247154,1.00028136620432,1.0050747200434593,1.0050435519339906,1.005241316755257
1.0,1.0,,,,1.0077043668393855,1.006275110873014,1.007457296899535,1.004501231436194,1.0049158006575307,1.0054713535170225,1.006968927503095,1.0081445603188723,1.0037774705676237,1.005015306738328,1.004984724628859,1.0051813065556756
1.0,1.584893192461114,,,,1.0076733817731842,1.0062401309571847,1.007423922043751,1.0044722086227387,1.004887034593702,1.0054421684554682,1.006938426144919,1.0081074165458639,1.0056046914343817,1.0049854795025908,1.0049551962133831,1.0051511864678047
1.0,2.511886431509581,,,,1.0076596182530473,1.0062244823302413,1.0074090231114472,1.0044593661295502,1.0048743452529336,1.0054292902000534,1.006924909834433,1.0080907281044351,1.0064582632579677,1.0049723123135665,1.0049421628332058,1.0051378800573971
1.0,3.981071705534973,,,,1.0076540820955155,1.006218125768819,1.007402991446779,1.0044542584805545,1.0048693055667735,1.0054241621313422,1.006919493918599,1.0080839109379882,1.006823479212094,1.004967069905594,1.004936975028813,1.0051325695604818
1.0,6.309573444801933,,,,1.0076520073950248,1.0062156988927147,1.007400706883762,1.0044523605706783,1.0048674484417977,1.0054222694230253,1.0069174768822586,1.0080812813944582,1.0069754993368716,1.0049651341375578,1.0049350598441107,1.0051306122845753
1.0,10.0,,,,1.0076512642859972,1.0062148040981662,1.0073998745620714,1.0044516798316234,1.0048667994191032,1.00542160498549,1.0069167556477583,1.0080803029556298,1.007036538658153,1.004964454422052,1.0049343875911794,1.005129921802912
