country_code,country,fee
1,USA,19169.596995069798
2,EUR,35742.988574287985
3,JAP,34385.84344460524
4,CHN,21146.27226783698
5,BRA,31822.114697870285
6,IND,17234.45323002118
7,ROW,140611.80736266094
