,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.5,-0.0251600813715232,-0.0253749052387696,0.1142144771767267,-0.024017091672732,-0.0238245302957001,-0.0246371458358625,-0.0251930502983369,-0.0292845353345413,-0.0248101326720395,-0.0249809418350199,-0.0259737115632753,-0.0248938795325728,-0.0178077151524449
1,0.52,-0.0257521329883062,-0.0259853747777963,0.1158166081686741,-0.0246303302542361,-0.0244699013233176,-0.0252743582673657,-0.02579699991827,-0.0298821923020966,-0.0254607338091683,-0.0256231413633137,-0.0266208074756371,-0.0255247655640544,-0.018326286150377
2,0.54,-0.0263288843514263,-0.0265764011128215,0.1172992340237129,-0.0252353446165893,-0.0250963057128397,-0.0258964813253037,-0.026386936583833,-0.0304701762562928,-0.0260932791203795,-0.0262510894718277,-0.0272567261273919,-0.0261446299072806,-0.0188385891243268
3,0.56,-0.026892937381506,-0.0271529309626535,0.1186757085415054,-0.0258284014190461,-0.0257163566879048,-0.0265120614661087,-0.0269667634291041,-0.0310402301880646,-0.0267167724258528,-0.026869134751919,-0.0278783528424712,-0.0267515553229115,-0.0193428450231092
4,0.58,-0.0274448263280509,-0.0277244397774232,0.1199531785053993,-0.0264117703139762,-0.0263229788660313,-0.0271133649539452,-0.0275352638831421,-0.0315967596296696,-0.0273275416776132,-0.027473557246314,-0.0284882817350413,-0.0273470335723424,-0.0198436403037347
5,0.6,-0.0279896318644713,-0.0282819069331451,0.1211373397601657,-0.0269854378986546,-0.0269221563487998,-0.0277042432285698,-0.0280962098330567,-0.0321459958278832,-0.0279300373528008,-0.0280699997364776,-0.0290882833120571,-0.0279339175028319,-0.0203390385576141
6,0.62,-0.0285214613037517,-0.0288338141747145,0.1222407859343871,-0.0275524877867523,-0.027509613749801,-0.0282909404357683,-0.0286478757605429,-0.0326819377488161,-0.0285236798618914,-0.0286551611294207,-0.0296788109053111,-0.0285158951091742,-0.0208309611057426
7,0.64,-0.0290504762252048,-0.0293765339800603,0.1232638354063319,-0.028112859638415,-0.0280920104113916,-0.02886646033613,-0.0291924358332795,-0.0332116228647212,-0.0291077672285075,-0.0292325833274936,-0.0302635200333292,-0.0290882242258923,-0.0213176574980713
8,0.66,-0.0295697752445792,-0.0299149496586117,0.1242161129913762,-0.0286633544600115,-0.0286652345310383,-0.0294363743251411,-0.0297269767140468,-0.033731129918318,-0.0296879311495953,-0.0298049025259602,-0.0308382886863064,-0.0296523432042961,-0.0218021194482375
9,0.6799999999999999,-0.0300840607712891,-0.0304441909330423,0.1251009636380248,-0.0292109160288579,-0.0292344927294831,-0.0299992205496255,-0.0302596913058379,-0.0342451620372059,-0.0302587200829499,-0.030369111994109,-0.0314095210245827,-0.0302115836769167,-0.0222819795392572
10,0.7,-0.030592514223963,-0.0309712743002594,0.1259256793903808,-0.0297535311980273,-0.0297989839215995,-0.0305587860347708,-0.0307860370040238,-0.0347518504230421,-0.0308242069190433,-0.0309311258635394,-0.0319752154864421,-0.0307660773728331,-0.0227639424435434
11,0.72,-0.0310954531057492,-0.0314943228102513,0.126693286795622,-0.0302897645228665,-0.030354886298136,-0.0311122208680712,-0.0313073840052087,-0.035254953169105,-0.0313881189457633,-0.031485005865546,-0.0325344927751116,-0.0313148734469857,-0.0232405025728049
12,0.74,-0.0315949575193278,-0.0320118309732744,0.1274056712512766,-0.0308244216395728,-0.0309115500766065,-0.031662709350588,-0.0318257436015306,-0.0357560017483025,-0.0319447210542372,-0.032035718954494,-0.033089019517725,-0.0318609694707643,-0.0237174858995275
13,0.76,-0.0320902776871533,-0.03252533754371,0.1280711559335702,-0.0313532861049589,-0.0314600520135858,-0.0322088936963479,-0.032339214519274,-0.0362484513646461,-0.0324975245579097,-0.0325822527207712,-0.0336402379426275,-0.0324038941003276,-0.0241924392900693
14,0.78,-0.0325821009305322,-0.0330378756803809,0.128687326718419,-0.0318804324022425,-0.0320055527112379,-0.0327500692234667,-0.0328509236099596,-0.0367391007132358,-0.0330457693831979,-0.0331229313752354,-0.034188989875938,-0.0329415132633392,-0.0246663238256416
15,0.8,-0.0330698201508571,-0.0335459709323453,0.1292644112309568,-0.0324024892886832,-0.0325491666329747,-0.0332906599054156,-0.033359471006517,-0.0372266641642006,-0.0335920885458074,-0.0336623070692499,-0.0347330449450598,-0.0334769357990472,-0.0251379287613775
16,0.8200000000000001,-0.0335558447061767,-0.03405109655419,0.1298008720949653,-0.0329229882835073,-0.0330887170788881,-0.0338253400182583,-0.0338645681436396,-0.0377117563578742,-0.0341335515190912,-0.0341984326726051,-0.0352735438269343,-0.0340088788199147,-0.0256094751191405
17,0.8400000000000001,-0.0340388492849952,-0.0345528818975233,0.1302986175566889,-0.0334412343633891,-0.0336241592900223,-0.0343582339726156,-0.0343666306684427,-0.0381932336476381,-0.0346734127027067,-0.0347314276859818,-0.0358126979338945,-0.0345392970056012,-0.0260801076754598
18,0.86,-0.0345180557317203,-0.0350546185017723,0.1307607821138114,-0.0339568855825996,-0.0341586248155402,-0.0348892679516941,-0.0348660426577886,-0.0386727829149885,-0.0352101000352112,-0.0352625637602767,-0.0363469701553705,-0.0350667960416496,-0.0265503657203445
19,0.88,-0.0349969992067632,-0.0355533170750473,0.1311907837601642,-0.0344687608589026,-0.0346893803911374,-0.0354172931921432,-0.0353643293097566,-0.0391509570347802,-0.0357445326824966,-0.0357903587540347,-0.036881742787704,-0.0355920787400439,-0.0270200242583838
20,0.9,-0.0353455423078003,-0.036089604896764,0.1314970942780927,-0.0350167441677959,-0.0352581906362299,-0.035981443694347,-0.0358999611368466,-0.0396693382257928,-0.0363175915687703,-0.0363525622275556,-0.0374530644100565,-0.0361520488079348,-0.0275011863330948
21,0.92,-0.0347347573515634,-0.0368939924262602,0.131114754447536,-0.0358140425696716,-0.0360826888461356,-0.0367989432940256,-0.0367008310659808,-0.0404805127739496,-0.0371616458658924,-0.0371530908571706,-0.0382926749838432,-0.0369674637793378,-0.0280636518999317
22,0.94,-0.0341464419055061,-0.0376860692508775,0.1307222893652243,-0.0366038287954534,-0.0368988669746381,-0.0376060879747537,-0.037489632344444,-0.0412800373729642,-0.0379958653646004,-0.0379460946904034,-0.0391236789422328,-0.0377738618150653,-0.0286222562855082
23,0.96,-0.0335792572724221,-0.0384708787245985,0.1303212122331069,-0.0373853970937031,-0.037704820528726,-0.0384042567129922,-0.0382675756934845,-0.0420690571790314,-0.0388208537913004,-0.038730123761182,-0.039944505923763,-0.0385700152626797,-0.0291774510206694
24,0.98,-0.0330360150854214,-0.0392431347741057,0.1299150059050921,-0.0381569727920821,-0.0385034757374657,-0.0391944063287509,-0.0390355154116414,-0.0428468642692556,-0.0396368850823092,-0.039506739270975,-0.0407545950577261,-0.0393584867038163,-0.0297299944672639
25,1.0,-0.0325136828973736,-0.0400080526712707,0.1295027503268476,-0.0389194812303436,-0.0392910603761466,-0.0399754700304991,-0.0397923672086761,-0.0436135210013715,-0.0404421961273284,-0.0402744850116798,-0.0415566783727586,-0.0401374231612467,-0.0302789872401586
26,1.02,-0.0329456165650739,-0.0405021471177883,0.1297284011437285,-0.0394294286595257,-0.039817915274785,-0.0405003474162094,-0.0402835180962199,-0.0440869615636081,-0.0409724086205054,-0.0407978808339756,-0.0420856126299228,-0.0406584183773664,-0.0307474618494148
27,1.04,-0.0333765244316307,-0.040995871311498,0.1299346063629564,-0.0399370994648169,-0.040342193197641,-0.04102385963373,-0.0407743164702154,-0.044558015308127,-0.041500522272709,-0.0413205272924435,-0.0426148680505611,-0.0411796152404961,-0.0312141457036223
28,1.06,-0.0338067282161712,-0.0414863729081842,0.1301178659120926,-0.0404424400656526,-0.0408642078509745,-0.0415444874282535,-0.0412624138646513,-0.0450273946971874,-0.0420280384172543,-0.041839807435171,-0.0431415171839313,-0.041697535607466,-0.0316811335875092
29,1.08,-0.0342366211055148,-0.0419757943615458,0.1302862073543056,-0.0409464224388134,-0.0413854588377852,-0.0420639051452759,-0.0417491233021795,-0.0454954198366867,-0.0425518345436324,-0.0423586385070835,-0.0436643210351753,-0.0422141082242477,-0.0321465039133356
30,1.1,-0.0346660700437982,-0.042464243008005,0.1304354377929367,-0.0414477518089872,-0.0419038581872597,-0.0425807758599944,-0.0422338729252941,-0.0459625838567921,-0.0430732662984848,-0.042874176225525,-0.0441878556082194,-0.0427286270157943,-0.0326109034351405
