,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.5,-0.0555574541970231,0.1156839158636863,-0.0603057836960447,-0.0543071707100349,-0.0553367101160903,-0.0557353705912492,-0.0607764697242239,-0.0702121691913995,-0.0558129803133012,-0.056173272770419,-0.0597974716318652,-0.054315427004852,-0.021939823726632
1,0.52,-0.056843290924799,0.1170037429419452,-0.0617530899944626,-0.0557235809303065,-0.0568204262100148,-0.0572224337469393,-0.0621457280424443,-0.0716760490145352,-0.0573684059591925,-0.0576806296959804,-0.0612650974695794,-0.0557224874275769,-0.0228462538731682
2,0.54,-0.0581060311436401,0.1181848677692955,-0.0631719077347112,-0.0571122225837593,-0.0582880554916346,-0.0586876945344137,-0.0634982245952217,-0.0731038130755295,-0.0588910383019016,-0.0591604597952816,-0.0627137875426396,-0.0571056953843978,-0.0237551783926436
3,0.56,-0.0593449333398686,0.1192403715432399,-0.0645675985635715,-0.0584913372287877,-0.0597247795936684,-0.0601293204290268,-0.0648262607126024,-0.0745060698914849,-0.0603857215053172,-0.0606144553717172,-0.0641364050289327,-0.0584750280947821,-0.024673854643989
4,0.58,-0.0605678262104855,0.1201776528940785,-0.0659394667687359,-0.0598480224504627,-0.0611443407189337,-0.0615546399620162,-0.0661281395153568,-0.0758712810632058,-0.0618571505538695,-0.0620489033315771,-0.065542341514894,-0.0598275687613546,-0.0255983863048432
5,0.6,-0.0617702616986764,0.1210086405504415,-0.0672916797824925,-0.0611952009936848,-0.0625494427260345,-0.0629588082150391,-0.0674155562107279,-0.0772203278313646,-0.0633112798971707,-0.0634657533466283,-0.0669304582081796,-0.0611657614726024,-0.0265293945128291
6,0.62,-0.0629629477199753,0.1217391321969134,-0.0686258597844311,-0.0625268980383375,-0.0639330768691168,-0.0643491099924628,-0.0686916121053275,-0.0785449466845961,-0.064743331206387,-0.0648657929850606,-0.0683047575146057,-0.0624907546147927,-0.0274690984995787
7,0.64,-0.0641412796141735,0.1223763014042761,-0.0699457400760595,-0.0638477132362397,-0.065306548117871,-0.0657240255998257,-0.0699492960031917,-0.0798498019329604,-0.0661573928048142,-0.0662485758339621,-0.0696673256710481,-0.0638052769663858,-0.0284157921326122
8,0.66,-0.0653103937498319,0.1229302937063362,-0.0712522800993182,-0.0651603705688278,-0.0666671328041803,-0.0670867012265359,-0.0711984643335788,-0.0811420798380544,-0.0675588876731779,-0.0676218625876532,-0.0710192028918938,-0.0651104895246417,-0.0293699958308267
9,0.6799999999999999,-0.0664699684275818,0.1234029781368181,-0.0725454024229666,-0.0664608843496204,-0.0680174655428744,-0.0684404905057421,-0.0724351262854902,-0.0824161338198033,-0.0689448434141576,-0.0689819375269578,-0.0723602790110824,-0.0664102942556546,-0.0303294303755472
