origin_code,destination_code,sector,tariff
1,1,0,0.0
1,1,1,0.0
1,2,0,0.0017401627034333
1,2,1,0.05678949333333333
1,3,0,0.009469931358019166
1,3,1,0.028313443333333337
1,4,0,0.029695012613474864
1,4,1,0.2833264
1,5,0,0.005329080272181367
1,5,1,0.2763876333333333
1,6,0,0.015738747315164132
1,6,1,0.6571425666666667
1,7,0,0.0016969841882274333
1,7,1,0.046020036666666674
1,8,0,0.011559354180494032
1,8,1,0.10888361666666664
1,9,0,0.0025931874416602
1,9,1,0.06277623
1,10,0,0.012197458864834866
1,10,1,0.12855856666666668
1,11,0,0.0056181974828062664
1,11,1,0.11334266666666666
2,1,0,0.0009043710535067668
2,1,1,0.04455591
2,2,0,0.0
2,2,1,0.0
2,3,0,0.0006732761632290333
2,3,1,0.03597732
2,4,0,0.014884716824964233
2,4,1,0.3911221333333333
2,5,0,0.002234739103830067
2,5,1,0.28132066666666666
2,6,0,0.017536164344295568
2,6,1,0.7468813
2,7,0,0.00032640580911133337
2,7,1,0.08056879
2,8,0,0.0025451238153985996
2,8,1,0.1250932
2,9,0,0.000627082496856
2,9,1,0.0763618
2,10,0,0.0017512096387138666
2,10,1,0.13586929999999997
2,11,0,0.002883685908817333
2,11,1,0.1347983
3,1,0,0.00024115882471013333
3,1,1,0.035566926666666665
3,2,0,9.13373021753709e-05
3,2,1,0.07500003999999999
3,3,0,0.0
3,3,1,0.0
3,4,0,0.0010951163981000333
3,4,1,0.32032889999999997
3,5,0,0.00037020781125356666
3,5,1,0.3088920333333333
3,6,0,0.0007940237975147
3,6,1,0.7103767333333333
3,7,0,6.667327510264321e-05
3,7,1,0.07474188
3,8,0,0.0005879730725627
3,8,1,0.11344866666666666
3,9,0,3.1782239794157846e-05
3,9,1,0.1478786
3,10,0,7.380544885357936e-05
3,10,1,0.13128596666666667
3,11,0,0.0003225990915327
3,11,1,0.15387453333333334
4,1,0,0.0017596807740698332
4,1,1,0.06374221999999996
4,2,0,0.002484725455937866
4,2,1,0.033657030000000004
4,3,0,0.0038804178132578
4,3,1,0.021651293333333297
4,4,0,0.0
4,4,1,0.0
4,5,0,0.007851530131485034
4,5,1,0.3411758999999999
4,6,0,0.04110209675908363
4,6,1,0.7514726
4,7,0,0.0017336280391750667
4,7,1,0.07096982666666662
4,8,0,0.012720098522069234
4,8,1,0.08829441333333331
4,9,0,0.0007532140583757998
4,9,1,0.1106372
4,10,0,0.006176919647014933
4,10,1,0.1377263
4,11,0,0.012042932724041368
4,11,1,0.11806926666666667
5,1,0,0.0001685038882595333
5,1,1,0.013133689999999998
5,2,0,0.010492288091814869
5,2,1,0.046943886666666663
5,3,0,0.0008371602227085001
5,3,1,0.05543779666666667
5,4,0,0.03508446122207113
5,4,1,0.2063868333333333
5,5,0,0.0
5,5,1,0.0
5,6,0,0.28603213272381095
5,6,1,0.7677758
5,7,0,0.0009232072263017
5,7,1,0.03156674999999996
5,8,0,0.002945257624839667
5,8,1,0.03915850333333333
5,9,0,0.0005927779586288
5,9,1,0.002932637
5,10,0,0.008374877665844067
5,10,1,0.13196376666666668
5,11,0,0.025725631367209133
5,11,1,0.10645279
6,1,0,0.0030872493409808666
6,1,1,0.06288945666666666
6,2,0,0.0040334445657289
6,2,1,0.09271325999999998
6,3,0,0.0036706464098317667
6,3,1,0.046783923333333303
6,4,0,0.029896867272310865
6,4,1,0.31993069999999996
6,5,0,0.0715573538986264
6,5,1,0.29842823333333335
6,6,0,0.0
6,6,1,0.0
6,7,0,0.0009457076672345334
6,7,1,0.12270976666666666
6,8,0,0.0084139978642614
6,8,1,0.09714332666666664
6,9,0,0.00021278739167609998
6,9,1,0.0544855
6,10,0,0.015334277779472
6,10,1,0.1376309
6,11,0,0.0173561612379049
6,11,1,0.15161419999999995
7,1,0,0.0023667446510408667
7,1,1,0.013925586666666665
7,2,0,0.0044126833298728995
7,2,1,0.044616283333333305
7,3,0,0.0035720179068317996
7,3,1,0.0352908433333333
7,4,0,0.09103633617971374
7,4,1,0.19610209999999995
7,5,0,0.014136586109223068
7,5,1,0.15682579999999996
7,6,0,0.10544129255196306
7,6,1,0.5752894999999999
7,7,0,0.0
7,7,1,0.0
7,8,0,0.007274158708884867
7,8,1,0.08750841333333333
7,9,0,0.00040099730882060006
7,9,1,0.04966909
7,10,0,0.008330965638904434
7,10,1,0.13294566666666666
7,11,0,0.019840778159481265
7,11,1,0.09879435333333327
8,1,0,0.0013363956820306667
8,1,1,0.03934825333333333
8,2,0,0.0003190238880107
8,2,1,0.035231556666666664
8,3,0,0.0009257606522843666
8,3,1,0.010031476
8,4,0,0.0029935678080076334
8,4,1,0.26226826666666664
8,5,0,0.001165758766318867
8,5,1,0.3769000666666666
8,6,0,0.0036230334522502337
8,6,1,0.7568497333333334
8,7,0,0.0003778261449435667
8,7,1,0.04510036333333334
8,8,0,0.0
8,8,1,0.0
8,9,0,6.322091660397306e-05
8,9,1,0.07779011
8,10,0,0.00018226219402366666
8,10,1,0.12166436666666663
8,11,0,0.0011481220624304
8,11,1,0.1386317
9,1,0,0.0007353686894413999
9,1,1,0.019023834333333333
9,2,0,0.0024584068923879
9,2,1,0.03655232
9,3,0,0.009925327932595132
9,3,1,0.027281763333333302
9,4,0,0.0296359743893374
9,4,1,0.16498393333333333
9,5,0,0.0099505285833741
9,5,1,0.05231104999999997
9,6,0,0.08904005315610401
9,6,1,0.6045058
9,7,0,0.00024195117109763334
9,7,1,0.034973173333333336
9,8,0,0.031459183561099766
9,8,1,0.08227106333333334
9,9,0,0.0
9,9,1,0.0
9,10,0,0.009806123509564
9,10,1,0.12873843333333332
9,11,0,0.009381622754987532
9,11,1,0.1618664
10,1,0,0.0028381416740018
10,1,1,0.015705716666666633
10,2,0,0.0043685548294734
10,2,1,0.0184774433333333
10,3,0,0.009527367107084532
10,3,1,0.022381143333333298
10,4,0,0.0786517404468119
10,4,1,0.20659446666666667
10,5,0,0.0014631411087579333
10,5,1,0.2616905
10,6,0,0.16374446194231437
10,6,1,0.4756265
10,7,0,0.0068281417367975
10,7,1,0.04916822999999996
10,8,0,0.03041053497291137
10,8,1,0.07078661000000001
10,9,0,0.0092013652636305
10,9,1,0.08923138999999998
10,10,0,0.0
10,10,1,0.0
10,11,0,0.006923076372840634
10,11,1,0.13540473333333333
11,1,0,0.0021350828997100005
11,1,1,0.04572590333333334
11,2,0,0.0071904784615336335
11,2,1,0.028330829999999963
11,3,0,0.0015782990097005
11,3,1,0.023325826666666664
11,4,0,0.04561124175084014
11,4,1,0.27522736666666664
11,5,0,0.02552199439320323
11,5,1,0.29840836666666665
11,6,0,0.09113002907743566
11,6,1,0.7135523666666668
11,7,0,0.0011561766655233
11,7,1,0.07299142666666665
11,8,0,0.03218199566989224
11,8,1,0.07922264333333334
11,9,0,0.0006158368775361
11,9,1,0.0169051
11,10,0,0.030268981195328334
11,10,1,0.12828873333333332
11,11,0,0.0
11,11,1,0.0
