delt,growth,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
0.09999999999999903,0.017043207288253055,1.0050462131609978,1.0043889546315607,1.0045358653704939,1.003908431533819,1.0039967356306925,1.0040239345923252,0.8931464664007863,1.0048562957797202,1.0041650481155535,1.0040184603853977,1.0040347453539522,1.0042742524923005
0.10427538888537656,0.01703864218976514,1.0049388445110485,1.0042968020129457,1.0044403561108735,1.0038270877247706,1.003913625908062,1.0039402273063491,0.8951888655348429,1.004753603268005,1.0040784689009024,1.00393507340862,1.0039507107331005,1.0041850729261208
0.1087335672719652,0.01703403557823369,1.004830578283174,1.0042038256819543,1.004343999357768,1.003745000797515,1.0038297581191167,1.0038557570059259,0.8972606292227056,1.0046500039167048,1.003991093788369,1.0038509241427263,1.0038659146324636,1.0040950868945753
0.11338235012178444,0.01702939072653258,1.0047214958924895,1.004110092839342,1.0042468651352183,1.00366222907235,1.003745191744986,1.0037705836443986,0.8993605236102377,1.0045455736200701,1.0039029847151197,1.0037660719948456,1.003780417377338,1.0040043586325222
0.1182298865168704,0.017024711025534964,1.0046116815215853,1.004015673096295,1.0041490259665395,1.0035788329905913,1.0036599884163255,1.0036847693420043,0.9014872220260374,1.004440390994518,1.0038142058906052,1.0036805785137277,1.0036942814557446,1.0039129546825274
0.12328467394420599,0.01701999997603911,1.0045012219116682,1.0039206383075239,1.0040505566996831,1.0034948749713586,1.0035742117666926,1.0035983782381068,0.9036393057835215,1.0043345371897516,1.003724823645335,1.003594507243368,1.0036075713689259,1.0038209437358159
0.12855557319139013,0.0170152611801325,1.0043902061395387,1.0038250623925395,1.003951534320243,1.0034104192581765,1.0034879272756727,1.0035114763330757,0.9058152654372622,1.0042280956861709,1.0036349062687762,1.003507923566594,1.0035203534715056,1.0037283964621657
0.13405182387914724,0.017010498332038375,1.0042787253815177,1.0037290211459797,1.0038520377530524,1.003325531756257,1.0034012021026024,1.0034241313207535,0.9080135025087336,1.0041211520796423,1.0035445238372454,1.0034208945393823,1.0034326958022022,1.0036353853296163
0.13978306065792037,0.01700571520849702,1.0041668726656534,1.0036325920381133,1.0037521476534328,1.0032402798613396,1.0033141049118708,1.0033364124122643,0.9102323316939149,1.0040137938547022,1.0034537480327046,1.0033334887168432,1.0033446679060247,1.0035419844149798
0.14575933009692915,0.01700091565873747,1.004054742613603,1.0035358540065638,1.0036519461893372,1.0031547322810315,1.0032267056907163,1.0032483901524096,0.9124699835622831,1.0039061101475715,1.0033626519535115,1.0032457759719873,1.00325634064901,1.0034482692063162
0.15199110829529333,0.016996103594096576,1.0039424311736498,1.0034388872405005,1.003551516815577,1.0030689588497657,1.0031390755606688,1.0031601362295537,0.9147246077534136,1.0037981915001866,1.0032713099182435,1.0031578273081987,1.0031677860265276,1.003354316398394
0.1584893192461104,0.01699128297734715,1.0038300353464036,1.0033417729585299,1.0034509440414372,1.0029830303382947,1.0030512865836978,1.0030717232800799,0.9169942766740059,1.003690129606716,1.0031797972635594,1.0030697146666017,1.0030790769663962,1.0032602036825162
0.16526535398566827,0.016986457811796134,1.0037176529048164,1.0032445931815175,1.003350313193048,1.002897018259026,1.0029634115641641,1.002983224688749,0.91927698969443,1.0035820170539969,1.0030881901375626,1.002981510729421,1.0029902871277918,1.0031660095316863
0.17233109056135026,0.01698163213021719,1.0036053821100888,1.0031474305017551,1.0032497101718691,1.0028109946681536,1.0028755238478178,1.0028947143859523,0.9215706778399423,1.0034739470573553,1.0029965652895254,1.0028932887204594,1.0029014906972744,1.0030718129826084
0.17969891485325867,0.016976809983681066,1.0034933214251285,1.0030503678496898,1.0031492212106834,1.002725031965798,1.0027876971189105,1.002806266643018,0.9238732089676136,1.0033660131933784,1.0029049998574042,1.0028051222039522,1.0028127621830492,1.0029776934156116
0.18738174228603832,0.01697199543034612,1.0033815692272676,1.0029534882596287,1.0030489326284675,1.0026392026952542,1.002700005196608,1.002717955866895,0.9261823934158815,1.003258309131041,1.0028135711542563,1.0027170848827145,1.0027241762086325,1.0028837303338582
0.19539304046896014,0.016967192524271618,1.0032702235217366,1.0028568746356394,1.002948930585543,1.002553579342485,1.002612521831848,1.00262985639515,0.9284959901092027,1.003150928362811,1.0027223564546854,1.0026292503969592,1.002635807307057,1.0027900031429313
0.2037468528039699,0.016962405304313657,1.0031593816576116,1.0027606095189934,1.0028493008402934,1.0024682341369027,1.002525320505688,1.0025420422924955,0.9308117130959598,1.0030439639371096,1.0026314327825587,1.0025416921246513,1.0025477297167684,1.0026965909321282
0.21245782310305655,0.016957637783161544,1.0030491400476664,1.0026647748583195,1.002750128508801,1.002383238854499,1.0024384742302386,1.0024545871499024,0.9331272384933794,1.0029375081935983,1.0025408767010089,1.0024544829845532,1.0024600171802336,1.0026035722585211
0.22154122125811748,0.016952893936568403,1.002939593893655,1.0025694517836905,1.002651497828578,1.002298664624259,1.0023520553531329,1.0023675638872296,0.9354402118088015,1.0028316525026726,1.0024507641058258,1.0023676952428402,1.0023727427462819,1.0025110249348639
0.23101297000831553,0.016948177692828897,1.0028308369184027,1.0024747203857063,1.0025534919276127,1.0022145817388943,1.002266135366495,1.0022810445603947,0.9377482556024657,1.0027264870104264,1.0023611700231947,1.0022814003243015,1.0022859785771354,1.0024190258224155
0.24088967285182977,0.01694349292254832,1.0027229611059503,1.0023806595006273,1.0024561925997617,1.0021310594705835,1.0021807847212267,1.0021951001738614,0.9400489774527848,1.0026221003903706,1.0022721684126656,1.0021956686288231,1.0021997957609385,1.0023276506295475
