country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,15074066.602972,15184476.817367,-110410.21439499967,0.0,179510803.0,,
2,17641937.728172,17509799.665627,132138.0625450015,9.0,371960924.0,,
3,7738274.227345,7701827.915598,36446.31174699962,0.0,86812362.0,,
4,2351976.858,2327858.197874,24118.660126000177,2.0,827885092.0,,
5,1420021.669514,1444838.6139180001,-24816.944404000184,0.0,106627027.0,,
6,717167.164855,723933.457255,-6766.292400000035,0.0,596800684.0,,
7,1145557.992998,1132238.0922690001,13319.90072899987,0.0,20284244.0,,
8,1133828.09631,1140854.059109,-7025.962799000088,0.0,32965176.0,,
9,787488.477414,780336.73562,7151.741793999914,0.0,99366205.0,,
10,798846.254575,802851.439152,-4005.184576999978,0.0,12282166.0,,
11,861650.218545,862104.094416,-453.87587099999655,0.0,55706830.0,,
12,472108.075436,472407.97622300003,-299.9007870000205,0.0,129500687.0,,
13,6537140.126529001,6596536.4282370005,-59396.30170799978,31627744822222.5,1138819924.0,,
