origin_code,destination_code,sector,value
1.0,1.0,0,12075564.11189
1.0,1.0,1,5778764.022468001
1.0,2.0,0,104642.463353
1.0,2.0,1,161805.45355500001
1.0,3.0,0,38012.900243
1.0,3.0,1,48412.000173
1.0,4.0,0,12074.277931
1.0,4.0,1,19684.338419
1.0,5.0,0,6241.293712000001
1.0,5.0,1,9667.217788
1.0,6.0,0,3714.554816
1.0,6.0,1,4009.5751800000003
1.0,7.0,0,147474.953626
1.0,7.0,1,286173.922233
2.0,1.0,0,120810.850121
2.0,1.0,1,261327.97613199998
2.0,2.0,0,11372784.112216
2.0,2.0,1,6321534.747185
2.0,3.0,0,28190.9911
2.0,3.0,1,47272.43309400001
2.0,4.0,0,10795.505282
2.0,4.0,1,34146.40054
2.0,5.0,0,6796.906786
2.0,5.0,1,15462.044748
2.0,6.0,0,6291.675886
2.0,6.0,1,12875.901826000001
2.0,7.0,0,128690.36540800001
2.0,7.0,1,225142.47226399998
3.0,1.0,0,26033.181393
3.0,1.0,1,102330.797311
3.0,2.0,0,20917.892756
3.0,2.0,1,55105.921000999995
3.0,3.0,0,4179645.2265210003
3.0,3.0,1,2457246.093951
3.0,4.0,0,11273.161540000001
3.0,4.0,1,37473.756683
3.0,5.0,0,685.37608
3.0,5.0,1,2014.180633
3.0,6.0,0,1405.4391690000002
3.0,6.0,1,4988.148026
3.0,7.0,0,35874.380464
3.0,7.0,1,96319.175824
4.0,1.0,0,12611.259148
4.0,1.0,1,85310.700088
4.0,2.0,0,10544.540477999999
4.0,2.0,1,47201.281556
4.0,3.0,0,9519.662742
4.0,3.0,1,38924.107059
4.0,4.0,0,1569697.0067659998
4.0,4.0,1,1533509.8179259999
4.0,5.0,0,332.19749
4.0,5.0,1,1241.316268
4.0,6.0,0,624.6927900000001
4.0,6.0,1,2203.017051
4.0,7.0,0,26118.169974
4.0,7.0,1,60197.065879999995
5.0,1.0,0,4225.9687969999995
5.0,1.0,1,16257.253536
5.0,2.0,0,6904.38806
5.0,2.0,1,11133.359025000002
5.0,3.0,0,1150.766362
5.0,3.0,1,1834.392319
5.0,4.0,0,1669.288572
5.0,4.0,1,831.560116
5.0,5.0,0,504867.993234
5.0,5.0,1,329879.24531800003
5.0,6.0,0,1184.2305929999998
5.0,6.0,1,357.539849
5.0,7.0,0,4604.947065
5.0,7.0,1,12936.318832
6.0,1.0,0,2798.403722
6.0,1.0,1,16110.348888
6.0,2.0,0,3685.572553
6.0,2.0,1,11453.760383
6.0,3.0,0,699.765582
6.0,3.0,1,2241.283943
6.0,4.0,0,929.47011
6.0,4.0,1,1601.0278720000001
6.0,5.0,0,199.530998
6.0,5.0,1,1250.586389
6.0,6.0,0,535139.694124
6.0,6.0,1,306871.116032
6.0,7.0,0,3870.484977
6.0,7.0,1,11853.932494
7.0,1.0,0,190745.124369
7.0,1.0,1,394825.37676699995
7.0,2.0,0,167533.387802
7.0,2.0,1,173557.363993
7.0,3.0,0,62810.08171499999
7.0,3.0,1,65217.02364099999
7.0,4.0,0,37050.056722
7.0,4.0,1,63492.705778999996
7.0,5.0,0,6603.309966
7.0,5.0,1,9479.431346
7.0,6.0,0,10485.581234000001
7.0,6.0,1,11777.823057
7.0,7.0,0,5211115.244391
7.0,7.0,1,2635896.041709
