country_code,country,fee
1,USA,15813.762562105745
2,EUR,38359.783842797515
3,JAP,28366.249111579073
4,CHN,17444.400568421952
5,BRA,26251.327358923634
6,IND,14217.385547404358
7,ROW,115996.2692816942
