0,0.05
1,0.01
2,0.05
3,0.01
4,0.05
5,0.01
6,0.05
7,0.01
8,0.05
9,12.0
10,0.05
11,12.0
12,0.05
13,12.0
14,0.05
15,0.01
16,0.05
17,12.0
18,0.05
19,0.01
20,0.05
21,12.0
22,0.05
23,0.01
