,baseline,variation,lambda,USA,EUR,JAP,CHN,BRA,IND,ROW
168,501,2.0,0.168,0.01,0.01,0.01,12.0,12.0,12.0,12.0
169,501,2.0,0.169,0.01,0.01,0.01,12.0,12.0,12.0,12.0
170,501,2.0,0.17,0.01,0.01,0.01,12.0,12.0,12.0,12.0
171,501,2.0,0.171,0.01,0.01,0.01,12.0,12.0,12.0,12.0
172,501,2.0,0.172,0.01,0.01,0.01,12.0,12.0,12.0,12.0
173,501,2.0,0.173,0.01,0.01,0.01,12.0,12.0,12.0,12.0
174,501,2.0,0.174,0.01,0.01,0.01,12.0,12.0,12.0,12.0
175,501,2.0,0.175,0.01,0.01,0.01,12.0,12.0,12.0,12.0
176,501,2.0,0.176,0.01,0.01,0.01,12.0,12.0,12.0,12.0
177,501,2.0,0.177,0.01,0.01,0.01,12.0,12.0,12.0,12.0
178,501,2.0,0.178,0.01,0.01,0.01,12.0,12.0,12.0,12.0
179,501,2.0,0.179,0.01,0.01,0.01,12.0,12.0,12.0,12.0
180,501,2.0,0.18,0.01,0.01,0.01,12.0,12.0,12.0,12.0
181,501,2.0,0.181,0.01,0.01,0.01,12.0,12.0,12.0,12.0
182,501,2.0,0.182,0.01,0.01,0.01,12.0,12.0,12.0,12.0
183,501,2.0,0.183,0.01,0.01,0.01,12.0,12.0,12.0,12.0
184,501,2.0,0.184,0.01,0.01,0.01,12.0,12.0,12.0,12.0
185,501,2.0,0.185,0.01,0.01,0.01,12.0,12.0,12.0,12.0
186,501,2.0,0.186,0.01,0.01,0.01,12.0,12.0,12.0,12.0
187,501,2.0,0.187,0.01,0.01,0.01,12.0,12.0,12.0,12.0
188,501,2.0,0.188,0.01,0.01,0.01,12.0,12.0,12.0,12.0
189,501,2.0,0.189,0.01,0.01,0.01,12.0,12.0,12.0,12.0
190,501,2.0,0.19,0.01,0.01,0.01,12.0,12.0,12.0,12.0
191,501,2.0,0.191,0.01,0.01,0.01,12.0,12.0,12.0,12.0
192,501,2.0,0.192,0.01,0.01,0.01,12.0,12.0,12.0,12.0
193,501,2.0,0.193,0.01,0.01,0.01,12.0,12.0,12.0,12.0
194,501,2.0,0.194,0.01,0.01,0.01,12.0,12.0,12.0,12.0
195,501,2.0,0.195,0.01,0.01,0.01,12.0,12.0,12.0,12.0
196,501,2.0,0.196,0.01,0.01,0.01,12.0,12.0,12.0,12.0
197,501,2.0,0.197,0.01,0.01,0.01,12.0,12.0,12.0,12.0
198,501,2.0,0.198,0.01,0.01,0.01,12.0,12.0,12.0,12.0
