,baseline,variation,lambda,USA,EUR,JAP,CHN,BRA,IND,ROW
344,501,2.0,0.344,0.01,0.01,0.01,12.0,12.0,12.0,12.0
345,501,2.0,0.345,0.01,0.01,0.01,12.0,12.0,12.0,12.0
346,501,2.0,0.346,0.01,0.01,0.01,12.0,12.0,12.0,12.0
347,501,2.0,0.347,0.01,0.01,0.01,12.0,12.0,12.0,12.0
348,501,2.0,0.348,0.01,0.01,0.01,12.0,12.0,12.0,12.0
349,501,2.0,0.349,0.01,0.01,0.01,12.0,12.0,12.0,12.0
350,501,2.0,0.35,0.01,0.01,0.01,12.0,12.0,12.0,12.0
351,501,2.0,0.351,0.01,0.01,0.01,12.0,12.0,12.0,12.0
352,501,2.0,0.352,0.01,0.01,0.01,12.0,12.0,12.0,12.0
353,501,2.0,0.353,0.01,0.01,0.01,12.0,12.0,12.0,12.0
354,501,2.0,0.354,0.01,0.01,0.01,12.0,12.0,12.0,12.0
355,501,2.0,0.355,0.01,0.01,0.01,12.0,12.0,12.0,12.0
356,501,2.0,0.356,0.01,0.01,0.01,12.0,12.0,12.0,12.0
357,501,2.0,0.357,0.01,0.01,0.01,12.0,12.0,12.0,12.0
358,501,2.0,0.358,0.01,0.01,0.01,12.0,12.0,12.0,12.0
359,501,2.0,0.359,0.01,0.01,0.01,12.0,12.0,12.0,12.0
360,501,2.0,0.36,0.01,0.01,0.01,12.0,12.0,12.0,12.0
361,501,2.0,0.361,0.01,0.01,0.01,12.0,12.0,12.0,12.0
362,501,2.0,0.362,0.01,0.01,0.01,12.0,12.0,12.0,12.0
363,501,2.0,0.363,0.01,0.01,0.01,12.0,12.0,12.0,12.0
364,501,2.0,0.364,0.01,0.01,0.01,12.0,12.0,12.0,12.0
365,501,2.0,0.365,0.01,0.01,0.01,12.0,12.0,12.0,12.0
366,501,2.0,0.366,0.01,0.01,0.01,12.0,12.0,12.0,12.0
367,501,2.0,0.367,0.01,0.01,0.01,12.0,12.0,12.0,12.0
368,501,2.0,0.368,0.01,0.01,0.01,12.0,12.0,12.0,12.0
369,501,2.0,0.369,0.01,0.01,0.01,12.0,12.0,12.0,12.0
370,501,2.0,0.37,0.01,0.01,0.01,12.0,12.0,12.0,12.0
371,501,2.0,0.371,0.01,0.01,0.01,12.0,12.0,12.0,12.0
372,501,2.0,0.372,0.01,0.01,0.01,12.0,12.0,12.0,12.0
373,501,2.0,0.373,0.01,0.01,0.01,12.0,12.0,12.0,12.0
374,501,2.0,0.374,0.01,0.01,0.01,12.0,12.0,12.0,12.0
375,501,2.0,0.375,0.01,0.01,0.01,12.0,12.0,12.0,12.0
376,501,2.0,0.376,0.01,0.01,0.01,12.0,12.0,12.0,12.0
377,501,2.0,0.377,0.01,0.01,0.01,12.0,12.0,12.0,12.0
378,501,2.0,0.378,0.01,0.01,0.01,12.0,12.0,12.0,12.0
379,501,2.0,0.379,0.01,0.01,0.01,12.0,12.0,12.0,12.0
380,501,2.0,0.38,0.01,0.01,0.01,12.0,12.0,12.0,12.0
381,501,2.0,0.381,0.01,0.01,0.01,12.0,12.0,12.0,12.0
382,501,2.0,0.382,0.01,0.01,0.01,12.0,12.0,12.0,12.0
383,501,2.0,0.383,0.01,0.01,0.01,12.0,12.0,12.0,12.0
384,501,2.0,0.384,0.01,0.01,0.01,12.0,12.0,12.0,12.0
385,501,2.0,0.385,0.01,0.01,0.01,12.0,12.0,12.0,12.0
386,501,2.0,0.386,0.01,0.01,0.01,12.0,12.0,12.0,12.0
387,501,2.0,0.387,0.01,0.01,0.01,12.0,12.0,12.0,12.0
388,501,2.0,0.388,0.01,0.01,0.01,12.0,12.0,12.0,12.0
389,501,2.0,0.389,0.01,0.01,0.01,12.0,12.0,12.0,12.0
390,501,2.0,0.39,0.01,0.01,0.01,12.0,12.0,12.0,12.0
391,501,2.0,0.391,0.01,0.01,0.01,12.0,12.0,12.0,12.0
392,501,2.0,0.392,0.01,0.01,0.01,12.0,12.0,12.0,12.0
393,501,2.0,0.393,0.01,0.01,0.01,12.0,12.0,12.0,12.0
394,501,2.0,0.394,0.01,0.01,0.01,12.0,12.0,12.0,12.0
395,501,2.0,0.395,0.01,0.01,0.01,12.0,12.0,12.0,12.0
396,501,2.0,0.396,0.01,0.01,0.01,12.0,12.0,12.0,12.0
397,501,2.0,0.397,0.01,0.01,0.01,12.0,12.0,12.0,12.0
398,501,2.0,0.398,0.01,0.01,0.01,12.0,12.0,12.0,12.0
399,501,2.0,0.399,0.01,0.01,0.01,12.0,12.0,12.0,12.0
400,501,2.0,0.4,0.01,0.01,0.01,12.0,12.0,12.0,12.0
401,501,2.0,0.401,0.01,0.01,0.01,12.0,12.0,12.0,12.0
402,501,2.0,0.402,0.01,0.01,0.01,12.0,12.0,12.0,12.0
403,501,2.0,0.403,0.01,0.01,0.01,12.0,12.0,12.0,12.0
404,501,2.0,0.404,0.01,0.01,0.01,12.0,12.0,12.0,12.0
405,501,2.0,0.405,0.01,0.01,0.01,12.0,12.0,12.0,12.0
406,501,2.0,0.406,0.01,0.01,0.01,12.0,12.0,12.0,12.0
407,501,2.0,0.407,0.01,0.01,0.01,12.0,12.0,12.0,12.0
408,501,2.0,0.408,0.01,0.01,0.01,12.0,12.0,12.0,12.0
409,501,2.0,0.409,0.01,0.01,0.01,12.0,12.0,12.0,12.0
410,501,2.0,0.41,0.01,0.01,0.01,12.0,12.0,12.0,12.0
411,501,2.0,0.411,0.01,0.01,0.01,12.0,12.0,12.0,12.0
412,501,2.0,0.412,0.01,0.01,0.01,12.0,12.0,12.0,12.0
413,501,2.0,0.413,0.01,0.01,0.01,12.0,12.0,12.0,12.0
414,501,2.0,0.414,0.01,0.01,0.01,12.0,12.0,12.0,12.0
415,501,2.0,0.415,0.01,0.01,0.01,12.0,12.0,12.0,12.0
416,501,2.0,0.416,0.01,0.01,0.01,12.0,12.0,12.0,12.0
417,501,2.0,0.417,0.01,0.01,0.01,12.0,12.0,12.0,12.0
418,501,2.0,0.418,0.01,0.01,0.01,12.0,12.0,12.0,12.0
419,501,2.0,0.419,0.01,0.01,0.01,12.0,12.0,12.0,12.0
420,501,2.0,0.42,0.01,0.01,0.01,12.0,12.0,12.0,12.0
421,501,2.0,0.421,0.01,0.01,0.01,12.0,12.0,12.0,12.0
422,501,2.0,0.422,0.01,0.01,0.01,12.0,12.0,12.0,12.0
423,501,2.0,0.423,0.01,0.01,0.01,12.0,12.0,12.0,12.0
424,501,2.0,0.424,0.01,0.01,0.01,12.0,12.0,12.0,12.0
425,501,2.0,0.425,0.01,0.01,0.01,12.0,12.0,12.0,12.0
426,501,2.0,0.426,0.01,0.01,0.01,12.0,12.0,12.0,12.0
427,501,2.0,0.427,0.01,0.01,0.01,12.0,12.0,12.0,12.0
428,501,2.0,0.428,0.01,0.01,0.01,12.0,12.0,12.0,12.0
429,501,2.0,0.429,0.01,0.01,0.01,12.0,12.0,12.0,12.0
430,501,2.0,0.43,0.01,0.01,0.01,12.0,12.0,12.0,12.0
431,501,2.0,0.431,0.01,0.01,0.01,12.0,12.0,12.0,12.0
432,501,2.0,0.432,0.01,0.01,0.01,12.0,12.0,12.0,12.0
433,501,2.0,0.433,0.01,0.01,0.01,12.0,12.0,12.0,12.0
434,501,2.0,0.434,0.01,0.01,0.01,12.0,12.0,12.0,12.0
435,501,2.0,0.435,0.01,0.01,0.01,12.0,12.0,12.0,12.0
436,501,2.0,0.436,0.01,0.01,0.01,12.0,12.0,12.0,12.0
437,501,2.0,0.437,0.01,0.01,0.01,12.0,12.0,12.0,12.0
438,501,2.0,0.438,0.01,0.01,0.01,12.0,12.0,12.0,12.0
439,501,2.0,0.439,0.01,0.01,0.01,12.0,12.0,12.0,12.0
440,501,2.0,0.44,0.01,0.01,0.01,12.0,12.0,12.0,12.0
441,501,2.0,0.441,0.01,0.01,0.01,12.0,12.0,12.0,12.0
442,501,2.0,0.442,0.01,0.01,0.01,12.0,12.0,12.0,12.0
443,501,2.0,0.443,0.01,0.01,0.01,12.0,12.0,12.0,12.0
444,501,2.0,0.444,0.01,0.01,0.01,12.0,12.0,12.0,12.0
445,501,2.0,0.445,0.01,0.01,0.01,12.0,12.0,12.0,12.0
446,501,2.0,0.446,0.01,0.01,0.01,12.0,12.0,12.0,12.0
447,501,2.0,0.447,0.01,0.01,0.01,12.0,12.0,12.0,12.0
448,501,2.0,0.448,0.01,0.01,0.01,12.0,12.0,12.0,12.0
449,501,2.0,0.449,0.01,0.01,0.01,12.0,12.0,12.0,12.0
450,501,2.0,0.45,0.01,0.01,0.01,12.0,12.0,12.0,12.0
451,501,2.0,0.451,0.01,0.01,0.01,12.0,12.0,12.0,12.0
452,501,2.0,0.452,0.01,0.01,0.01,12.0,12.0,12.0,12.0
453,501,2.0,0.453,0.01,0.01,0.01,12.0,12.0,12.0,12.0
454,501,2.0,0.454,0.01,0.01,0.01,12.0,12.0,12.0,12.0
455,501,2.0,0.455,0.01,0.01,0.01,12.0,12.0,12.0,12.0
456,501,2.0,0.456,0.01,0.01,0.01,12.0,12.0,12.0,12.0
457,501,2.0,0.457,0.01,0.01,0.01,12.0,12.0,12.0,12.0
458,501,2.0,0.458,0.01,0.01,0.01,12.0,12.0,12.0,12.0
459,501,2.0,0.459,0.01,0.01,0.01,12.0,12.0,12.0,12.0
460,501,2.0,0.46,0.01,0.01,0.01,12.0,12.0,12.0,12.0
461,501,2.0,0.461,0.01,0.01,0.01,12.0,12.0,12.0,12.0
462,501,2.0,0.462,0.01,0.01,0.01,12.0,12.0,12.0,12.0
463,501,2.0,0.463,0.01,0.01,0.01,12.0,12.0,12.0,12.0
464,501,2.0,0.464,0.01,0.01,0.01,12.0,12.0,12.0,12.0
465,501,2.0,0.465,0.01,0.01,0.01,12.0,12.0,12.0,12.0
466,501,2.0,0.466,0.01,0.01,0.01,12.0,12.0,12.0,12.0
467,501,2.0,0.467,0.01,0.01,0.01,12.0,12.0,12.0,12.0
468,501,2.0,0.468,0.01,0.01,0.01,12.0,12.0,12.0,12.0
469,501,2.0,0.469,0.01,0.01,0.01,12.0,12.0,12.0,12.0
470,501,2.0,0.47,0.01,0.01,0.01,12.0,12.0,12.0,12.0
471,501,2.0,0.471,0.01,0.01,0.01,12.0,12.0,12.0,12.0
472,501,2.0,0.472,0.01,0.01,0.01,12.0,12.0,12.0,12.0
473,501,2.0,0.473,0.01,0.01,0.01,12.0,12.0,12.0,12.0
474,501,2.0,0.474,0.01,0.01,0.01,12.0,12.0,12.0,12.0
475,501,2.0,0.475,0.01,0.01,0.01,12.0,12.0,12.0,12.0
476,501,2.0,0.476,0.01,0.01,0.01,12.0,12.0,12.0,12.0
477,501,2.0,0.477,0.01,0.01,0.01,12.0,12.0,12.0,12.0
478,501,2.0,0.478,0.01,0.01,0.01,12.0,12.0,12.0,12.0
479,501,2.0,0.479,0.01,0.01,0.01,12.0,12.0,12.0,12.0
480,501,2.0,0.48,0.01,0.01,0.01,12.0,12.0,12.0,12.0
481,501,2.0,0.481,0.01,0.01,0.01,12.0,12.0,12.0,12.0
482,501,2.0,0.482,0.01,0.01,0.01,12.0,12.0,12.0,12.0
483,501,2.0,0.483,0.01,0.01,0.01,12.0,12.0,12.0,12.0
484,501,2.0,0.484,0.01,0.01,0.01,12.0,12.0,12.0,12.0
485,501,2.0,0.485,0.01,0.01,0.01,12.0,12.0,12.0,12.0
486,501,2.0,0.486,0.01,0.01,0.01,12.0,12.0,12.0,12.0
487,501,2.0,0.487,0.01,0.01,0.01,12.0,12.0,12.0,12.0
488,501,2.0,0.488,0.01,0.01,0.01,12.0,12.0,12.0,12.0
489,501,2.0,0.489,0.01,0.01,0.01,12.0,12.0,12.0,12.0
490,501,2.0,0.49,0.01,0.01,0.01,12.0,12.0,12.0,12.0
491,501,2.0,0.491,0.01,0.01,0.01,12.0,12.0,12.0,12.0
492,501,2.0,0.492,0.01,0.01,0.01,12.0,12.0,12.0,12.0
493,501,2.0,0.493,0.01,0.01,0.01,12.0,12.0,12.0,12.0
494,501,2.0,0.494,0.01,0.01,0.01,12.0,12.0,12.0,12.0
495,501,2.0,0.495,0.01,0.01,0.01,12.0,12.0,12.0,12.0
496,501,2.0,0.496,0.01,0.01,0.01,12.0,12.0,12.0,12.0
497,501,2.0,0.497,0.01,0.01,0.01,12.0,12.0,12.0,12.0
498,501,2.0,0.498,0.01,0.01,0.01,12.0,12.0,12.0,12.0
499,501,2.0,0.499,0.01,0.01,0.01,12.0,12.0,12.0,12.0
500,501,2.0,0.5,0.01,0.01,0.01,12.0,12.0,12.0,12.0
501,501,2.0,0.501,0.01,0.01,0.01,12.0,12.0,12.0,12.0
502,501,2.0,0.502,0.01,0.01,0.01,12.0,12.0,12.0,12.0
503,501,2.0,0.503,0.01,0.01,0.01,12.0,12.0,12.0,12.0
504,501,2.0,0.504,0.01,0.01,0.01,12.0,12.0,12.0,12.0
505,501,2.0,0.505,0.01,0.01,0.01,12.0,12.0,12.0,12.0
506,501,2.0,0.506,0.01,0.01,0.01,12.0,12.0,12.0,12.0
507,501,2.0,0.507,0.01,0.01,0.01,12.0,12.0,12.0,12.0
508,501,2.0,0.508,0.01,0.01,0.01,12.0,12.0,12.0,12.0
509,501,2.0,0.509,0.01,0.01,0.01,12.0,12.0,12.0,12.0
510,501,2.0,0.51,0.01,0.01,0.01,12.0,12.0,12.0,12.0
511,501,2.0,0.511,0.01,0.01,0.01,12.0,12.0,12.0,12.0
512,501,2.0,0.512,0.01,0.01,0.01,12.0,12.0,12.0,12.0
513,501,2.0,0.513,0.01,0.01,0.01,12.0,12.0,12.0,12.0
514,501,2.0,0.514,0.01,0.01,0.01,12.0,12.0,12.0,12.0
515,501,2.0,0.515,0.01,0.01,0.01,12.0,12.0,12.0,12.0
516,501,2.0,0.516,0.01,0.01,0.01,12.0,12.0,12.0,12.0
517,501,2.0,0.517,0.01,0.01,0.01,12.0,12.0,12.0,12.0
518,501,2.0,0.518,0.01,0.01,0.01,12.0,12.0,12.0,12.0
519,501,2.0,0.519,0.01,0.01,0.01,12.0,12.0,12.0,12.0
520,501,2.0,0.52,0.01,0.01,0.01,12.0,12.0,12.0,12.0
521,501,2.0,0.521,0.01,0.01,0.01,12.0,12.0,12.0,12.0
522,501,2.0,0.522,0.01,0.01,0.01,12.0,12.0,12.0,12.0
523,501,2.0,0.523,0.01,0.01,0.01,12.0,12.0,12.0,12.0
524,501,2.0,0.524,0.01,0.01,0.01,12.0,12.0,12.0,12.0
525,501,2.0,0.525,0.01,0.01,0.01,12.0,12.0,12.0,12.0
526,501,2.0,0.526,0.01,0.01,0.01,12.0,12.0,12.0,12.0
527,501,2.0,0.527,0.01,0.01,0.01,12.0,12.0,12.0,12.0
528,501,2.0,0.528,0.01,0.01,0.01,12.0,12.0,12.0,12.0
529,501,2.0,0.529,0.01,0.01,0.01,12.0,12.0,12.0,12.0
530,501,2.0,0.53,0.01,0.01,0.01,12.0,12.0,12.0,12.0
531,501,2.0,0.531,0.01,0.01,0.01,12.0,12.0,12.0,12.0
532,501,2.0,0.532,0.01,0.01,0.01,12.0,12.0,12.0,12.0
533,501,2.0,0.533,0.01,0.01,0.01,12.0,12.0,12.0,12.0
534,501,2.0,0.534,0.01,0.01,0.01,12.0,12.0,12.0,12.0
535,501,2.0,0.535,0.01,0.01,0.01,12.0,12.0,12.0,12.0
536,501,2.0,0.536,0.01,0.01,0.01,12.0,12.0,12.0,12.0
537,501,2.0,0.537,0.01,0.01,0.01,12.0,12.0,12.0,12.0
538,501,2.0,0.538,0.01,0.01,0.01,12.0,12.0,12.0,12.0
539,501,2.0,0.539,0.01,0.01,0.01,12.0,12.0,12.0,12.0
540,501,2.0,0.54,0.01,0.01,0.01,12.0,12.0,12.0,12.0
541,501,2.0,0.541,0.01,0.01,0.01,12.0,12.0,12.0,12.0
542,501,2.0,0.542,0.01,0.01,0.01,12.0,12.0,12.0,12.0
543,501,2.0,0.543,0.01,0.01,0.01,12.0,12.0,12.0,12.0
544,501,2.0,0.544,0.01,0.01,0.01,12.0,12.0,12.0,12.0
545,501,2.0,0.545,0.01,0.01,0.01,12.0,12.0,12.0,12.0
546,501,2.0,0.546,0.01,0.01,0.01,12.0,12.0,12.0,12.0
547,501,2.0,0.547,0.01,0.01,0.01,12.0,12.0,12.0,12.0
548,501,2.0,0.548,0.01,0.01,0.01,12.0,12.0,12.0,12.0
549,501,2.0,0.549,0.01,0.01,0.01,12.0,12.0,12.0,12.0
550,501,2.0,0.55,0.01,0.01,0.01,12.0,12.0,12.0,12.0
551,501,2.0,0.551,0.01,0.01,0.01,12.0,12.0,12.0,12.0
552,501,2.0,0.552,0.01,0.01,0.01,12.0,12.0,12.0,12.0
553,501,2.0,0.553,0.01,0.01,0.01,12.0,12.0,12.0,12.0
554,501,2.0,0.554,0.01,0.01,0.01,12.0,12.0,12.0,12.0
555,501,2.0,0.555,0.01,0.01,0.01,12.0,12.0,12.0,12.0
556,501,2.0,0.556,0.01,0.01,0.01,12.0,12.0,12.0,12.0
557,501,2.0,0.557,0.01,0.01,0.01,12.0,12.0,12.0,12.0
558,501,2.0,0.558,0.01,0.01,0.01,12.0,12.0,12.0,12.0
559,501,2.0,0.559,0.01,0.01,0.01,12.0,12.0,12.0,12.0
560,501,2.0,0.56,0.01,0.01,0.01,12.0,12.0,12.0,12.0
561,501,2.0,0.561,0.01,0.01,0.01,12.0,12.0,12.0,12.0
562,501,2.0,0.562,0.01,0.01,0.01,12.0,12.0,12.0,12.0
563,501,2.0,0.5630000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
564,501,2.0,0.5640000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
565,501,2.0,0.5650000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
566,501,2.0,0.5660000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
567,501,2.0,0.5670000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
568,501,2.0,0.5680000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
569,501,2.0,0.5690000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
570,501,2.0,0.5700000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
571,501,2.0,0.5710000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
572,501,2.0,0.5720000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
573,501,2.0,0.5730000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
574,501,2.0,0.5740000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
575,501,2.0,0.5750000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
576,501,2.0,0.5760000000000001,0.01,0.01,0.01,12.0,12.0,12.0,12.0
577,501,2.0,0.577,0.01,0.01,0.01,12.0,12.0,12.0,12.0
578,501,2.0,0.578,0.01,0.01,0.01,12.0,12.0,12.0,12.0
579,501,2.0,0.579,0.01,0.01,0.01,12.0,12.0,12.0,12.0
580,501,2.0,0.58,0.01,0.01,0.01,12.0,12.0,12.0,12.0
581,501,2.0,0.581,0.01,0.01,0.01,12.0,12.0,12.0,12.0
582,501,2.0,0.582,0.01,0.01,0.01,12.0,12.0,12.0,12.0
583,501,2.0,0.583,0.01,0.01,0.01,12.0,12.0,12.0,12.0
584,501,2.0,0.584,0.01,0.01,0.01,12.0,12.0,12.0,12.0
585,501,2.0,0.585,0.01,12.0,0.01,12.0,12.0,12.0,12.0
586,501,2.0,0.586,0.01,12.0,0.01,12.0,12.0,11.999999999908669,12.0
587,501,2.0,0.587,0.01,12.0,0.01,12.0,12.0,12.0,12.0
588,501,2.0,0.588,0.01,11.999999998120954,0.01,12.0,11.999999996241907,11.999999996241907,12.0
589,501,2.0,0.589,0.01,11.999999998398494,0.01,12.0,11.999999996796989,12.0,12.0
590,501,2.0,0.59,0.01,11.99999990958066,0.01,12.0,12.0,12.0,12.0
591,501,2.0,0.591,0.01,11.99999990958066,0.01,12.0,12.0,12.0,12.0
592,501,2.0,0.592,0.01,11.99999992262991,0.01,12.0,12.0,12.0,12.0
593,501,2.0,0.593,0.01,11.999999921613096,0.01,12.0,12.0,12.0,12.0
594,501,2.0,0.594,0.01,11.99999983279526,0.01,12.0,12.0,12.0,12.0
595,501,2.0,0.595,0.01,11.999999837898468,0.01,11.999999994896791,11.999999989793588,12.0,12.0
596,501,2.0,0.596,0.01,11.999999811651916,0.01,12.0,11.999999972295887,12.0,12.0
597,501,2.0,0.597,0.01,11.999999789447456,0.01,12.0,11.999999972295887,12.0,12.0
598,501,2.0,0.598,0.01,11.999999789447456,0.01,12.0,11.999999972295884,12.0,12.0
599,501,2.0,0.599,0.01,11.999999789447456,0.01,12.0,11.999999972295884,12.0,12.0
600,501,2.0,0.6,0.01,11.99999978280439,0.01,12.0,11.99999996565282,12.0,12.0
601,501,2.0,0.601,0.01,11.99999976059993,0.01,12.0,11.999999987857278,12.0,12.0
602,501,2.0,0.602,0.01,11.999999745549704,0.01,12.0,11.999999987857278,12.0,12.0
603,501,2.0,0.603,0.01,11.999999759405478,0.01,12.0,11.999999974001504,12.0,12.0
604,501,2.0,0.604,0.01,11.99999975940542,0.01,12.0,11.999999974001389,12.0,12.0
605,501,2.0,0.605,0.01,11.999999692792043,0.01,12.0,11.99999992959247,12.0,12.0
606,501,2.0,0.606,0.01,11.999999686495393,0.01,12.0,11.99999992959247,12.0,12.0
607,501,2.0,0.607,0.01,11.99999969460501,0.01,12.0,11.999999945811703,12.0,12.0
608,501,2.0,0.608,0.01,11.99999969460501,0.01,12.0,11.999999945811703,12.0,12.0
609,501,2.0,0.609,0.01,11.999999672400552,0.01,12.0,11.999999945811703,12.0,12.0
610,501,2.0,0.61,0.01,11.999999672400552,0.01,12.0,11.999999945811703,12.0,12.0
611,501,2.0,0.611,0.01,11.999999672400552,0.01,12.0,11.999999945811703,12.0,12.0
612,501,2.0,0.612,0.01,11.999999627991636,0.01,12.0,11.999999879198327,12.0,12.0
613,501,2.0,0.613,0.01,11.999999627991636,0.01,12.0,11.999999879198327,12.0,12.0
614,501,2.0,0.614,0.01,11.999999605787176,0.01,12.0,12.0,12.0,12.0
615,501,2.0,0.615,0.01,11.9999995391738,0.01,12.0,12.0,12.0,12.0
616,501,2.0,0.616,0.01,11.999999561378258,0.01,12.0,11.99999997779554,12.0,12.0
617,501,2.0,0.617,0.01,11.999999561378258,0.01,12.0,11.999999975389342,12.0,12.0
618,501,2.0,0.618,0.01,11.999999561378258,0.01,12.0,11.999999953184885,12.0,12.0
619,501,2.0,0.619,0.01,11.999999561378258,0.01,12.0,11.999999953184885,12.0,12.0
620,501,2.0,0.62,0.01,11.999999566882504,0.01,12.0,11.999999953184885,12.0,12.0
621,501,2.0,0.621,0.01,11.999999522473589,0.01,12.0,12.0,12.0,12.0
622,501,2.0,0.622,0.01,11.999999524295454,0.01,12.0,11.999999996356264,12.0,12.0
623,501,2.0,0.623,0.01,11.999999457682078,0.01,12.0,12.0,12.0,12.0
624,501,2.0,0.624,0.01,11.999999475445644,0.01,12.0,12.0,12.0,12.0
625,501,2.0,0.625,0.01,11.999999475445644,0.01,12.0,11.999999933386624,12.0,12.0
626,501,2.0,0.626,0.01,11.999999429223246,0.01,12.0,11.999999917979158,12.0,12.0
627,501,2.0,0.627,0.01,11.999999429223132,0.01,12.0,11.999999917979045,12.0,12.0
628,501,2.0,0.628,0.01,11.999999429223132,0.01,12.0,11.999999917960386,12.0,12.0
629,501,2.0,0.629,0.01,11.999999434959586,0.01,12.0,11.99999990648748,12.0,12.0
630,501,2.0,0.63,0.01,11.99999936834621,0.01,12.0,11.999999862078562,12.0,12.0
631,501,2.0,0.631,0.01,11.99999936834621,0.01,12.0,12.0,12.0,12.0
632,501,2.0,0.632,0.01,11.999999301732831,0.01,12.0,12.0,12.0,12.0
633,501,2.0,0.633,0.01,11.999999301732831,0.01,12.0,12.0,12.0,12.0
634,501,2.0,0.634,0.01,11.999999299096368,0.01,12.0,12.0,12.0,12.0
635,501,2.0,0.635,0.01,11.999999210278531,0.01,12.0,12.0,12.0,12.0
636,501,2.0,0.636,0.01,11.999999212434984,0.01,12.0,12.0,12.0,12.0
637,501,2.0,0.637,0.01,11.999999145821608,0.01,12.0,12.0,12.0,12.0
638,501,2.0,0.638,0.01,11.99999915710372,0.01,12.0,12.0,12.0,12.0
639,501,2.0,0.639,0.01,11.99999915710372,0.01,12.0,12.0,12.0,12.0
640,501,2.0,0.64,0.01,11.99999915710372,0.01,12.0,11.999999990831824,11.999999995415912,12.0
641,501,2.0,0.641,0.01,11.999999134899262,0.01,12.0,12.0,12.0,12.0
642,501,2.0,0.642,0.01,11.999999134899262,0.01,12.0,12.0,12.0,12.0
643,501,2.0,0.643,0.01,11.999999134899262,0.01,12.0,12.0,12.0,12.0
644,501,2.0,0.644,0.01,11.999999112694804,0.01,12.0,12.0,12.0,12.0
645,501,2.0,0.645,0.01,11.999999112694804,0.01,12.0,12.0,12.0,12.0
646,501,2.0,0.646,0.01,11.999999110080187,0.01,12.0,12.0,12.0,12.0
647,501,2.0,0.647,0.01,11.999999117279518,0.01,12.0,11.99999998560134,12.0,12.0
648,501,2.0,0.648,0.01,11.999999108544111,0.01,12.0,11.999999991265884,12.0,12.0
649,501,2.0,0.649,0.01,11.999999108544111,0.01,12.0,11.99999999127107,12.0,12.0
650,501,2.0,0.65,0.01,11.99999910476464,0.01,12.0,11.999999991766328,12.0,12.0
651,501,2.0,0.651,0.01,11.99999908984013,0.01,12.0,11.999999992873164,12.0,12.0
652,501,2.0,0.652,0.01,11.99999908984013,0.01,12.0,11.999999992874876,12.0,12.0
653,501,2.0,0.653,0.01,11.99999908984013,0.01,12.0,11.999999992874876,12.0,12.0
654,501,2.0,0.654,0.01,11.999999101823771,0.01,12.0,11.999999996720272,12.0,12.0
655,501,2.0,0.655,0.01,11.999999101823771,0.01,12.0,11.999999996720272,12.0,12.0
656,501,2.0,0.656,0.01,11.99999910182331,0.01,12.0,11.99999999672034,12.0,12.0
657,501,2.0,0.657,0.01,11.99999910182331,0.01,12.0,11.9999999970369,12.0,12.0
658,501,2.0,0.658,0.01,11.99999910182331,0.01,12.0,11.9999999970369,12.0,12.0
659,501,2.0,0.659,0.01,11.99999910181238,0.01,12.0,11.999999997037628,12.0,12.0
660,501,2.0,0.66,0.01,11.99999910181238,0.01,12.0,11.999999997083624,12.0,12.0
661,501,2.0,0.661,0.01,11.999999102254062,0.01,12.0,11.999999997141634,12.0,12.0
662,501,2.0,0.662,0.01,11.999999013436229,0.01,12.0,12.0,12.0,12.0
663,501,2.0,0.663,0.01,11.999999013436229,0.01,12.0,12.0,12.0,12.0
664,501,2.0,0.664,0.01,11.999999013436229,0.01,12.0,12.0,12.0,12.0
665,501,2.0,0.665,0.01,11.999999013429038,0.01,12.0,12.0,12.0,12.0
666,501,2.0,0.666,0.01,11.999999013429038,0.01,12.0,12.0,12.0,12.0
667,501,2.0,0.667,0.01,11.999999013428356,0.01,12.0,12.0,12.0,12.0
668,501,2.0,0.668,0.01,11.999999013428356,0.01,12.0,12.0,12.0,12.0
669,501,2.0,0.669,0.01,11.999998985182756,0.01,12.0,12.0,12.0,12.0
670,501,2.0,0.67,0.01,11.999998985182756,0.01,12.0,12.0,12.0,12.0
671,501,2.0,0.671,0.01,11.999998985182756,0.01,12.0,12.0,12.0,12.0
672,501,2.0,0.672,0.01,11.999998985182756,0.01,12.0,12.0,12.0,12.0
673,501,2.0,0.673,0.01,11.999998985251016,0.01,12.0,12.0,12.0,12.0
674,501,2.0,0.674,0.01,11.999998988575689,0.01,11.999999996675326,11.999999996675326,11.999999998337662,11.999999998337662
675,501,2.0,0.675,0.01,11.999998988575689,0.01,12.0,12.0,12.0,12.0
