,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,CAN,KOR,RUS,MEX,ZAF
49,1020,20.22,pop_weighted,0.0100000877995539,0.01,0.01,0.01,12.0,11.999999990643955,11.99999982094666,0.01,0.01,12.0,0.0922221659994273,
50,1020,20.23,pop_weighted,0.01,0.0100008248372116,0.01,0.01,11.999999175162788,12.0,11.999999175162788,0.0100008248372116,0.01,11.999999175162788,0.100279883514123,
51,1020,20.24,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.1091259295608125,
52,1020,99.0,negishi,0.01,12.0,0.01,12.0,12.0,12.0,12.0,0.0100014691806953,0.01,12.0,12.0,
53,1020,99.0,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.0823772276267805,
54,1020,99.1,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
55,1020,99.1,pop_weighted,0.0100001489979643,0.0100002039817737,0.01,11.999999757450125,12.0,11.99999993108148,12.0,0.01,0.01,11.99999977978575,0.0100002008953012,
56,1020,99.2,negishi,0.01,0.077394629537569,0.01,11.99999999995919,12.0,12.0,11.99999999995919,0.01,0.01,12.0,12.0,
57,1020,99.2,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.0698126593409039,
58,1020,99.3,negishi,0.01,0.0100000000000004,0.01,12.0,12.0,12.0,11.999999492309753,0.01,0.0100001097538908,12.0,12.0,
59,1020,99.4,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
60,1020,99.6,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
61,1020,99.6,pop_weighted,0.0100000046388394,0.01,0.0100000046388394,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.0344629964421234,
62,1020,99.7,negishi,0.01,11.999999833021358,0.0100001668021343,11.999999832986356,11.999999833055467,11.99999983301472,11.999999833091122,0.01,0.0100000000491361,11.99999983298038,11.99999983305944,
63,1020,99.7,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
