,delta_dom,delta_int,welfare
USA,0.01,0.01,57.46865862009892
EUR,12.0,12.0,11.82023580581442
JAP,12.0,12.0,28.875082293173563
CHN,12.0,12.0,-17.11111915351364
BRA,12.0,12.0,-20.252732553432793
IND,12.0,12.0,-15.22772260947825
CAN,12.0,12.0,17.055390630694347
KOR,12.0,12.0,41.047634479677555
RUS,12.0,12.0,-17.47340396245457
MEX,12.0,12.0,-11.669821468594336
ZAF,12.0,12.0,-12.390142431922428
ROW,12.0,12.0,-11.561045286929954
Negishi,,,-0.46152834003767396
Equal,,,-12.848591683059155
