,delta_dom,delta_int,welfare
USA,0.01,0.01,66.56930897677654
EUR,0.01,0.01,14.084320754436689
JAP,0.01,0.01,33.20368980578132
CHN,0.01,12.0,-12.112091639524465
BRA,0.01,12.0,-15.223417590498627
IND,2.284025155964251,11.999999998306947,-9.790328365253004
CAN,0.01,0.01,18.291196157366386
KOR,0.01,0.01,45.17402517273135
RUS,0.01,12.0,-11.692357811354853
MEX,0.01,0.01,-10.454491254124036
ZAF,0.01,12.0,-6.545470731060604
ROW,0.053867593093979,12.0,-5.474005941525277
Negishi,,,4.783496121524749
Equal,,,-7.245810630759706
