,delta_dom,delta_int,welfare
USA,0.01,0.01,66.46388579481209
EUR,0.01,0.01,14.037594982047224
JAP,0.01,0.01,33.141927046282916
CHN,0.01,12.0,-12.14057494490254
BRA,0.01,12.0,-15.248695341692624
IND,0.0189118396024837,12.0,-9.836251238878418
CAN,0.01,0.01,18.23156791411529
KOR,0.01,0.01,45.08551650394233
RUS,0.01,12.0,-11.71839140810664
MEX,1.337650573996901,12.0,-6.166904743865572
ZAF,0.01,12.0,-6.570791915805984
ROW,0.01,7.10699127685548,-5.570474755976008
Negishi,,,4.843170194252849
Equal,,,-7.273422668341851
