0,49136.592773544944
1,22361.084099702635
2,4536.209676117152
3,11759.250798067906
4,9788.656377948058
5,5446.74426807966
6,51354.15168133824
7,15984.050423376038
8,27046.190303607113
9,42.081835720149385
10,51.03969143124296
11,7.852589307855615e-05
12,1224.1734478537514
13,7726.9340433139
14,2852.4050138641683
15,142.32086422295913
16,0.022166893173616226
17,459.07086283245746
18,9510.423417482201
19,21393.72590064568
20,78249.27523758693
21,8200.12336303934
22,5426.2110905547715
23,349.2397654070174
24,2154.0409269024367
25,17.315239503597716
26,571.6027323746346
27,1660.1360083950042
28,1465.0076840197794
29,425.87242489508
30,3675.523177844148
31,122.50402033516349
32,374.5377386444077
33,102.84870556842712
34,182.1431932902362
35,424.72794123932886
