config,country,obj,status,delta_rest_1992,delta_pharma_1992,delta_rest_2015,delta_pharma_2015,ratio_rest,ratio_pharma,nu_rest,nu_pharma
s_base,USA,1.3480037305183228,successful,0.19769791491471722,0.2576662071089474,0.1212202900718791,0.13701524655687,1.6308978867934547,1.8805659485639767,0.083606847819459,0.1871585428452483
s_base,EUR,1.3480037305183228,successful,0.1698920113183224,0.2824029744587867,0.1219394005751662,0.1740172701707801,1.3932495199826502,1.6228445267624136,0.083606847819459,0.1871585428452483
s_base,JAP,1.3480037305183228,successful,0.16641668884571087,0.2429796528132507,0.1356928064152104,0.1608186844395823,1.2264223376476389,1.510891931867129,0.083606847819459,0.1871585428452483
s_base,CHN,1.3480037305183228,successful,0.2971046708391721,0.5667476104770295,0.2025410164142365,0.2557986897711793,1.4668864415666514,2.215600130649632,0.083606847819459,0.1871585428452483
s_base,BRA,1.3480037305183228,successful,0.2561002682183142,0.45185514200411014,0.1856514674603722,0.2744065248087913,1.3794680522683156,1.6466632574388183,0.083606847819459,0.1871585428452483
s_base,IND,1.3480037305183228,successful,0.5313766836503481,1.2296154530580623,0.2662426603277438,0.3719205021577519,1.995835990356411,3.3061244161703,0.083606847819459,0.1871585428452483
s_base,CAN,1.3480037305183228,successful,0.07271343608464716,0.0819081700489008,0.0892055222589352,0.0986868526166133,0.8151225870701505,0.8299805686083062,0.083606847819459,0.1871585428452483
s_base,KOR,1.3480037305183228,successful,0.10862627508178273,0.21169593412620805,0.0799984751239969,0.1346096070304543,1.3578543205156475,1.572665865359176,0.083606847819459,0.1871585428452483
s_base,RUS,1.3480037305183228,successful,0.5165596573599097,1.0932148487641964,0.2380960988846998,0.4042962992347577,2.169542717329688,2.7039942013652047,0.083606847819459,0.1871585428452483
s_base,MEX,1.3480037305183228,successful,0.2935891593710817,0.42981173172959397,0.2252908601978069,0.2689110711593665,1.3031561027966623,1.5983415256074445,0.083606847819459,0.1871585428452483
s_base,ZAF,1.3480037305183228,successful,0.18688288626855507,0.27322467953177404,0.1685554719231022,0.3050908899471323,1.1087322418925334,0.8955517471502339,0.083606847819459,0.1871585428452483
s_base,ROW,1.3480037305183228,successful,1.5394674382872433,3.2309150682361034,1.5355600080221343,2.399372092591471,1.0025446288290236,1.3465669114899617,0.083606847819459,0.1871585428452483
s_fefo,USA,1.3429616870189776,successful,0.15950116249938365,0.5438620412722562,0.1212202900718791,0.13701524655687,1.3157959150634388,3.969354177285074,0.083606847819459,0.1871585428452483
s_fefo,EUR,1.3429616870189776,successful,0.13776913064663665,0.5195276385168555,0.1219394005751662,0.1740172701707801,1.1298163677761615,2.985494704100302,0.083606847819459,0.1871585428452483
s_fefo,JAP,1.3429616870189776,successful,0.13548229662573863,0.46739314800958526,0.1356928064152104,0.1608186844395823,0.998448629702391,2.906336099181183,0.083606847819459,0.1871585428452483
s_fefo,CHN,1.3429616870189776,successful,0.2530801879063519,0.9573038630238188,0.2025410164142365,0.2557986897711793,1.2495256140551443,3.7424111275947496,0.083606847819459,0.1871585428452483
s_fefo,BRA,1.3429616870189776,successful,0.2169442332137452,0.7835294145339701,0.1856514674603722,0.2744065248087913,1.1685565225066294,2.8553599994750116,0.083606847819459,0.1871585428452483
s_fefo,IND,1.3429616870189776,successful,0.4648636854635838,1.974957604935718,0.2662426603277438,0.3719205021577519,1.7460150258840497,5.3101606216320665,0.083606847819459,0.1871585428452483
s_fefo,CAN,1.3429616870189776,successful,0.0524163743143469,0.19598852123359425,0.0892055222589352,0.0986868526166133,0.5875911377122917,1.9859638445962644,0.083606847819459,0.1871585428452483
