country_code,country,fee
1,USA,20699.50240043286
2,EUR,45441.87193297574
3,JAP,37130.141499874706
4,CHN,22833.93405092837
5,BRA,34361.80425414402
6,IND,18609.91684367292
7,ROW,151833.88804580367
