,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,zeta
0,-50,0.9043793655296556,0.6128254838942555,0.5870463918819262,0.2359554075912018,0.6337963443028564,0.7058324413725447,0.6297483967626749,0.4981012835491344,0.6361328605430343,
1,-40,0.8132539394317252,0.6108215085264369,0.5913596608217278,0.295912817678415,0.6275888445716141,0.6763860989527365,0.6245514386234237,0.5298549907441911,0.6293782353241185,
2,-30,0.743114926711282,0.6086678157333052,0.5950140241803143,0.3610416627757998,0.6215483840165512,0.6529205912638107,0.6193564798542485,0.5548857196596656,0.6228850540732428,
3,-20,0.6872723275085542,0.6068179363273601,0.5981899090763458,0.4327436409096096,0.6154882337249421,0.6336528305121008,0.6148077607414575,0.5746449246998631,0.6163192615215526,
4,-10,0.6416667296279353,0.6050933721863168,0.6037230615120078,0.5128674774724898,0.6099197766141509,0.6174948994994796,0.6096691356284025,0.5906808315161111,0.6098586861799963,0.552009526434723
5,0,0.603661988022175,0.603661988022175,0.603661988022175,0.603661988022175,0.603661988022175,0.6036620094722276,0.603661988022175,0.603661988022175,0.6036621234832086,
6,10,0.5712991375154143,0.6022009318444802,0.6058711679377903,0.7082668005059672,0.5976254162566994,0.5918137457333599,0.597368611120399,0.6152915990896992,0.5975182221843259,
7,20,0.5435238189724302,0.6007868404954597,0.6079957052519452,0.8314376346388578,0.5918995456425221,0.5806644211134706,0.5910181157694293,0.6234882903698304,0.5915568861716428,
8,30,0.5195479256654111,0.5995524389770387,0.6099527043003918,0.979429719487787,0.5860312449394609,0.5710956314571826,0.5839490490097565,0.6312683261984117,0.5858937320340596,
9,40,0.4981367289936265,0.5985350105850836,0.6117401802353163,1.1620669530041852,0.5805174104322551,0.5625562250046041,0.5764054658674403,0.6379977316050777,0.5803142402725316,
10,50,0.4794747490869467,0.5975417688676524,0.6134392133232826,1.389113912985891,0.5746843919528867,0.5542751008898282,0.5731692352632881,0.6437713508404961,0.5741135440331813,
11,-100,,,,,,,,,,0.1685407097339168
12,-95,,,,,,,,,,0.1901145351553628
13,-90,,,,,,,,,,0.21091218006501
14,-86,,,,,,,,,,0.2309695973534508
15,-81,,,,,,,,,,0.250397732739059
16,-76,,,,,,,,,,0.2693812346545489
17,-71,,,,,,,,,,0.2879021359883728
18,-67,,,,,,,,,,0.3062505293027872
19,-62,,,,,,,,,,0.3244331041951152
20,-57,,,,,,,,,,0.3427090686041021
21,-52,,,,,,,,,,0.3611577986705149
22,-48,,,,,,,,,,0.3799188797284296
23,-43,,,,,,,,,,0.3991272128782243
24,-38,,,,,,,,,,0.4188559953761564
25,-33,,,,,,,,,,0.4391989337705277
26,-29,,,,,,,,,,0.4602402855292427
27,-24,,,,,,,,,,0.4819580502228189
28,-19,,,,,,,,,,0.5044521917630203
29,-14,,,,,,,,,,0.527792632263446
30,-5,,,,,,,,,,0.5772369711414264
