,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,zeta
0,-50,-0.0006610522253772122,-0.0012602474584202245,-0.0012497063276252496,-0.000574036402996303,-0.0012803108369506544,-0.001327130222573969,-0.00285869335145926,-0.0010575208735832953,-0.0012813877702935045,
1,-40,-0.0007888792623381158,-0.0012591376439361618,-0.0012530012295806914,-0.0006878405963771372,-0.0012750161184838654,-0.0013054723546700175,-0.002405510869009364,-0.0011120784402924438,-0.0012759518894598504,
2,-30,-0.0009058838949436987,-0.0012607968455494167,-0.0012540901496039397,-0.0008085755578691317,-0.0012719971712376807,-0.0012908009144180915,-0.002041643146167074,-0.0011585339687113227,-0.001273311134208574,
3,-20,-0.0010260764181278803,-0.0012612300314265162,-0.001255838070114354,-0.0009401813748446258,-0.001266934932667163,-0.0012771264934357401,-0.0017310695159613448,-0.0011976071529019167,-0.0012685060036828066,
4,-10,-0.0011433618845133053,-0.0012601483002576408,-0.001257134300481147,-0.0010896657063122483,-0.0012661624519984954,-0.0012653661084723045,-0.001481935522180608,-0.0012309862337158556,-0.0012626240996477939,-0.0011602425290031804
5,0,-0.0012595442586745692,-0.0012595442586745692,-0.0012595442586745692,-0.0012595442586745692,-0.0012595442586745692,-0.001259544279898217,-0.0012595442586745692,-0.0012595442586745692,-0.0012595463529659762,
6,10,-0.0013741181549477982,-0.0012575212825983312,-0.0012612223936885048,-0.0014540778508220081,-0.0012543815613146742,-0.0012544816768884914,-0.00106389331043788,-0.0012917910571914187,-0.001255943822449368,
7,20,-0.001491972305095457,-0.0012591402482952513,-0.0012622414750293465,-0.0016842250365682598,-0.0012557925631734301,-0.0012464237440681925,-0.0008875929439669528,-0.0013056104175290795,-0.0012525880725762495,
8,30,-0.0016043866056435208,-0.0012595048250765156,-0.0012632957706162906,-0.0019600125547216546,-0.001245815865000277,-0.0012407758200230767,-0.0007303708812418652,-0.001325156572942049,-0.0012514954369879927,
9,40,-0.0017106985416539405,-0.0012584350731224825,-0.0012635305142508907,-0.0023017686686763184,-0.0012464703129377863,-0.0012369584793697763,-0.0005934291127485808,-0.0013421648020348759,-0.001249953248429192,
10,50,-0.0018276013487816128,-0.001257822826275165,-0.0012644893254854656,-0.002724497773334486,-0.001242465480883262,-0.0012307199307368816,-0.00047388862448143054,-0.0013564415821024078,-0.0012424705049758622,
11,-100,,,,,,,,,,-0.0004029805887841714
12,-95,,,,,,,,,,-0.0004369877571283598
13,-90,,,,,,,,,,-0.00047109182290082374
14,-86,,,,,,,,,,-0.0005056687938233967
15,-81,,,,,,,,,,-0.0005401610442535426
16,-76,,,,,,,,,,-0.0005758583394230299
17,-71,,,,,,,,,,-0.0006107278361290602
18,-67,,,,,,,,,,-0.0006473204005642136
19,-62,,,,,,,,,,-0.000683536366045609
20,-57,,,,,,,,,,-0.000721650628447354
21,-52,,,,,,,,,,-0.0007605817963194511
22,-48,,,,,,,,,,-0.0007999722948244525
23,-43,,,,,,,,,,-0.0008416262379969119
24,-38,,,,,,,,,,-0.0008827049525584468
25,-33,,,,,,,,,,-0.0009278669508009513
26,-29,,,,,,,,,,-0.000971204424865188
27,-24,,,,,,,,,,-0.0010179069252450046
28,-19,,,,,,,,,,-0.0010638222338491682
29,-14,,,,,,,,,,-0.0011106647032833872
30,-5,,,,,,,,,,-0.0012100494238737741
