,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,zeta
0,-50,0.1041613907205031,0.1046416246774642,0.1052458162369962,0.0316489296476806,0.1140251032662476,0.112761453426815,0.1046265071758259,0.09681522928808,0.1076678122318433,
1,-40,0.1041411558214865,0.1047497979786006,0.1051953388742327,0.0436676660936727,0.1122410391914315,0.1105011769547182,0.1046555360826555,0.0989375867721835,0.1071113672485713,
2,-30,0.1042240893880148,0.1048245325134899,0.1051510467928397,0.0566927817907996,0.1104551691076981,0.1087210515823394,0.1047057679079912,0.1008606638535885,0.1065791983320888,
3,-20,0.1044120062693844,0.1049022762029488,0.1051134490116933,0.0710013618922003,0.1086640927973673,0.1072768743606378,0.1048155589188289,0.1025021608023902,0.10605386637565,
4,-10,0.104694218209037,0.1049790820789366,0.105056833393037,0.0869611277027206,0.1068864858010199,0.1060782240922465,0.1049398786132739,0.1038909482253054,0.1055430868298161,0.095
5,0,0.1050564600351902,0.1050564600351902,0.1050564600351902,0.1050564600351902,0.1050564600351902,0.1050564623300224,0.1050564600351902,0.1050564600351902,0.1050564728938909,
6,10,0.1054852617595012,0.1051235168683873,0.1050285293674909,0.1259374856026588,0.1033416508665583,0.1041817288983926,0.1052039985898671,0.1061078743611272,0.1045830036128127,
7,20,0.1059752426274246,0.1051870890533237,0.1050044314826071,0.1505490770461977,0.1014269756301019,0.1033838515450065,0.105382800371141,0.1068898176946839,0.1041276959045964,
8,30,0.1065395242534918,0.1052541899393595,0.1049873729931524,0.1802069187322601,0.0996010700529452,0.1026905538017096,0.1055762202038712,0.107623115886615,0.103697048122038,
9,40,0.1071304392668348,0.1053083514883645,0.1049669824705565,0.2170266155530689,0.0977857449313437,0.1020706921778952,0.1057552038115138,0.1082603307269088,0.1032791264822281,
10,50,0.1077855950354214,0.1053821192202403,0.1049498683220592,0.2634050827157483,0.0959508533896792,0.1014890482176948,0.106182986015246,0.1088173200503241,0.1028442464465873,
11,-100,,,,,,,,,,0.0
12,-95,,,,,,,,,,0.005
13,-90,,,,,,,,,,0.01
14,-86,,,,,,,,,,0.015
15,-81,,,,,,,,,,0.02
16,-76,,,,,,,,,,0.025
17,-71,,,,,,,,,,0.03
18,-67,,,,,,,,,,0.035
19,-62,,,,,,,,,,0.04
20,-57,,,,,,,,,,0.045
21,-52,,,,,,,,,,0.05
22,-48,,,,,,,,,,0.055
23,-43,,,,,,,,,,0.06
24,-38,,,,,,,,,,0.065
25,-33,,,,,,,,,,0.07
26,-29,,,,,,,,,,0.075
27,-24,,,,,,,,,,0.08
28,-19,,,,,,,,,,0.085
29,-14,,,,,,,,,,0.09
30,-5,,,,,,,,,,0.1
