country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,23041249.051162,23764999.132614,-723750.0814520009,0.0,198081570.0,,
2,28742400.608356997,28659307.944213,83092.66414399818,36.0,386568433.0,,
3,8399130.693348,8341266.697378,57863.99596999958,8.0,84011699.0,,
4,6026144.228201,5927796.966273,98347.26192799956,0.0,937712257.0,,
5,1635861.033029,1607090.122191,28770.91083800001,9.0,124649426.0,,
6,1558546.396397,1589059.477653,-30513.081256000092,0.0,716911600.0,,
7,2085931.2337920002,2039357.8776780001,46573.35611400008,0.0,22350146.0,,
8,1981059.8719000001,1956521.169163,24538.702737000072,0.0,34536910.0,,
9,1424545.1306099999,1322588.676301,101956.45430899994,0.0,101892381.0,,
10,1394836.4679979999,1412565.32522,-17728.857222000137,0.0,13587612.0,,
11,1492257.2402239998,1501912.441033,-9655.20080900006,0.0,65666260.0,,
12,586145.0905930001,576840.7752650001,9304.315327999997,0.0,149892735.0,,
13,9958865.232274,9627665.672903,331199.55937100016,47784318319950.9,1383690109.0,,
