moments,weights
GPDIFF,1
GROWTH,5
KM,5
OUT,5
RD,10
RP,10
SRGDP,5
SINNOVPATUS,1
TOPATENT,5
SPFLOW,10
UUPCOSTS,1
DOMPATINUS,1
TE,5
TEPHARMACHEM,5
TOPHARMACHEM,5
RDPHARMACHEM,10
KMPHARMACHEM,5
AGGAVMARKUP,5
