,Non patent,Patent,Pharmaceuticals,Chemicals
USA,55755.06120299095,39844.58572209054,3509.3813185469967,8685.90267651565
EUR,21139.122362702325,14217.27904650344,3193.53589094413,4229.872521409163
JAP,39696.86796005697,25506.18067470032,3412.0069169488056,8627.643415695404
CHN,2228.7593552812164,1651.642838066663,1151.354530842806,1059.6705752211462
BRA,3748.685074261557,157.60683516167023,1969.3265299843872,4121.221137426544
IND,162.65077829292403,124.58642753517007,3372.0791339647003,0.4460992945639517
CAN,20216.15216400661,11722.95798234745,45291.41795835714,13745.040946097706
KOR,25352.37336049168,16591.284102448924,153.41630634859138,6082.87097162581
RUS,6545.431709217429,4158.014251881904,6009.086948149209,106.04983082060988
MEX,3185.825472655102,2258.434048093722,7784.960956826262,441.42467136465143
ZAF,1813.0141546250777,1107.4959748412475,2097.027014201298,38.08560043865296
ROW,273.6374765170015,330.02685609660614,4477.025177953992,366.7103375580346
count,12.0,12.0,12.0,12.0
mean,15009.79842259157,9805.841229980639,6868.384890255694,3958.7448986223276
std,17976.343672777566,12524.974434523181,12273.869386463117,4513.513934869792
min,162.65077829292403,124.58642753517007,153.41630634859138,0.4460992945639517
25%,2124.823055117182,913.1286951550871,2065.1018931470703,301.54521087367846
50%,5147.058391739492,3208.224149987813,3392.0430254567527,2590.4458563238454
75%,22192.435112149666,14810.78031048981,4860.040620502797,6719.064082643208
max,55755.06120299095,39844.58572209054,45291.41795835714,13745.040946097706
