,k,g_0,fe,fo,zeta,nu,theta,delta USA,delta EUR,delta JAP,delta CHN,delta BRA,delta IND,delta CAN,delta KOR,delta RUS,delta MEX,delta ZAF,delta ROW,eta USA,eta EUR,eta JAP,eta CHN,eta BRA,eta IND,eta CAN,eta KOR,eta RUS,eta MEX,eta ZAF,eta ROW,T Non patent USA,T Non patent EUR,T Non patent JAP,T Non patent CHN,T Non patent BRA,T Non patent IND,T Non patent CAN,T Non patent KOR,T Non patent RUS,T Non patent MEX,T Non patent ZAF,T Non patent ROW,T Patent USA,T Patent EUR,T Patent JAP,T Patent CHN,T Patent BRA,T Patent IND,T Patent CAN,T Patent KOR,T Patent RUS,T Patent MEX,T Patent ZAF,T Patent ROW
theta,-0.05260888447326029,-0.00139504423884107,0.19721167881937784,-0.19107932221557322,0.013518063584286866,0.018396569622969317,-0.00044700526847574196,0.015071845492781177,0.052748704132862256,0.14059808715514044,0.01688648672298787,0.08247320544640169,0.05308609006037801,0.08983622712631312,0.09125488695926443,0.08682015668015408,0.0878888914417808,0.13184694233499328,0.08005966326189995,-0.21094983175340143,-0.21423857616259367,-0.21873149517582513,-0.18933149765762103,-0.2243384275493815,-0.2115211793062871,-0.21792280321528135,-0.21472397717991198,-0.22080416730973773,-0.22239846614843573,-0.23842160229674614,-0.19735936016423428,1.1700503757170455,-0.4484388567331582,-0.5263435043018105,-0.28177864504614847,-0.3177117251530359,-0.16789459791960004,-1.2391420775122952,0.8303695773880915,-0.40082587884375465,-0.329537353305826,-0.31538664916235193,-0.22023331863935736,-1.1946764835080315,1.2642569006322801,1.4483379486691017,0.9112736235040308,0.9782646513905413,0.6903767188447285,3.55137909813373,-0.7834154678737576,1.1625892822106942,1.0188064293045074,0.983046721238714,0.7849504517889416
gamma,-0.025804857840573403,0.0034349026935454052,0.20607760049933366,-0.1324508417512077,-0.1746779616888844,0.26311259986182,-0.05880833778429906,0.3690229428499703,0.3235065082346156,0.26248917089415347,0.21775693600611157,0.21122542779563158,0.14994985789849924,0.4003233881687329,0.4151011918955472,0.17246401433164138,0.16757644451653508,0.23363247315852265,0.08553177291105163,-0.1653750895898881,-0.12999595938621766,-0.2458231613075973,-0.05385901934014614,-0.0009545455770565425,-0.011953058674858408,-0.09493880868704285,-0.12690238428799905,0.003038645623513192,0.00232831282645396,0.023009840672624238,-0.04587203912828797,0.035159043643838706,-0.06838436019474148,-0.0662612269987084,-0.07730125034002278,-0.061110797987035115,-0.051474832181460095,-0.0567954319517211,0.6679931643164461,-0.062122809145460645,-0.06112817069701737,-0.05873322687327431,-0.04957495229718334,-0.15302075976971197,0.05791871345047994,0.062191963417775886,0.06520575847560828,0.039637152896274674,0.023520116308830552,0.026788015337322335,-1.6061405824792212,0.042898773567583426,0.04367724933187711,0.0363455946215574,0.025654279042146566
kappa,0.22076821348154585,-9.857059506401811e-05,-0.6435547679892056,0.7469108803612157,-0.030792558824093152,0.010010721425377511,-0.00800406221185268,-0.04931513238769669,-0.5453035037052534,-0.5691364602974208,-0.6265407685718599,-0.5711797047198119,-0.4299280428831448,-0.7196717441433326,-0.7458576172416342,-0.5681650243420883,-0.5751580638080045,-0.7550284299355575,-0.5011914447626165,-1.473433446665492,-1.385756906970932,-1.775282866484588,-1.7372372949564612,-2.570441966099657,-1.8503023417387725,-2.291198501783156,-1.9298676649215734,-2.567271961679719,-2.741786342990079,-2.6024356631823653,-1.4807812147344346,0.782940602047052,0.9621165314110813,-0.003472322235884562,0.0018247216967792745,-0.002599894857967522,-0.0016267267438313526,0.005391764673365884,-0.0006936084583647473,-0.0028886053656163035,-0.003222158792355878,-0.0023406330509423423,-0.0016485999971688203,-1.072360004256158,-1.2353563992237708,0.012190066951551781,0.013191211825686056,0.006958620335880683,0.003692193868805038,-0.00163064461754181,0.011392152711353631,0.0076739178281493015,0.008580868413115006,0.0063103157523980435,0.005395807076951087
rho,0.01665235627532513,-0.004948770443843342,-0.13838818211227288,0.06934947023846783,0.13728802134220675,-0.18782272028641744,-0.001858063178348246,-0.25831308460218694,-0.2536264671359706,-0.13351954072646333,-0.1591379616237515,-0.1647210675996058,-0.11702489518374604,-0.2913178156283963,-0.3073866117163382,-0.13759717883324696,-0.1269931387285106,-0.17533953389048895,-0.060601250050529853,0.12346622777992367,0.08610900831024004,0.18497437811916928,0.00309666262224062,0.03443205300940444,0.02581239216895348,0.11781982347203179,0.13080750525926055,0.03208909447261821,0.03345110757647762,0.028769662256011852,0.004284840902766263,0.0004586103482939752,0.0021467577329115084,-5.82898841972046e-07,0.0023343981262446967,0.0007173116950420777,0.0033808957428060893,0.00011205858343577013,0.001677478882726735,3.828610064759985e-05,0.00019332120485771043,0.0005587788790928361,0.0016219001747419526,0.0036065526233286516,0.0032232315386238053,0.0030443630756404882,0.0028342105705825293,0.002592458917405338,0.0029748005059238025,0.00684741784844789,0.0033872343374574676,0.002519524138433482,0.0026061512626762706,0.002603190238774644,0.0023493912524008564
sigma,0.20422269473520216,-0.009693531053032722,-0.5091164692156336,3.676577591708999,-3.7318787205711312,-2.4777804659374483,0.003372745597985949,-2.846939697836446,-2.923507505498127,-2.6950391712183572,-2.801980596786367,-2.6064511053221406,-2.3391458428122185,-3.0629601119081395,-3.3347274514054375,-2.472143434472061,-2.362269978303469,-2.6566652989387674,-1.951050262169487,0.04420320940598965,-0.05877520384616308,1.4678358837878913,-0.5201255328181964,1.5456148198433073,0.9223884773931734,1.9812570851568323,2.0285788306760897,1.5970698632182057,1.481748041863351,3.175910353104879,-0.13256739151857655,0.1616613407635592,0.12364545545743844,0.04973102943993224,0.29624660931372726,0.10555381381758489,0.15282588381745787,0.013343636434260953,0.13101398696027222,0.08479140965657384,0.1639860030347895,0.19437648902930205,0.4643840058536297,-0.005941587800983306,0.04231244216416519,0.05978225215394706,-0.16882584085854524,0.10278728810039883,0.015950236080605196,0.26697129113934404,0.03933582864935614,0.12886073236694884,0.0024059165885015332,-0.044133083415916485,-0.4447707053823102
KM,-0.1833137327573925,-4.515046744424378e-05,1.1803916916596724,1.0658870995001746,-0.3584188783935338,0.04306824454443969,-0.023316002656405543,-0.749430131308636,-0.5322550970221962,-0.5679751538173872,-0.5582754049333788,-0.2922358459007929,-0.34172861496117146,-0.5100289100215821,-0.5293092578473113,-0.22905523714723874,-0.2504295982522142,-0.12372981016150308,-0.10147519464114074,-0.9156107945243674,-0.8632204392010129,-0.831650126804041,-0.8133423385176886,-0.8922873329933195,-0.8685898121095836,-0.8750717450966833,-0.8335525307816688,-0.8895186570327623,-0.9007168014969996,-0.9284161568521682,-0.8112991073164172,0.12338990435297736,0.0011544013015096777,-0.0073218862802199025,-0.00921131182377466,-0.012742696222095007,-0.012522683998372752,-0.004295883535362366,-0.09244709279836005,-0.01242414939217229,-0.013359038454763272,-0.01079806149036966,-0.024705564253033607,-0.18134894471256824,0.025913358542464238,0.03481868941597077,0.03103234434994273,0.022138827420870033,0.011731921313682392,0.0294889113299579,0.17456285825604545,0.0198430099927005,0.025601970277500108,0.016184147247551017,0.029637498498620296
TE,-0.3233943907739434,0.0013470284930894305,1.2693488299572675,-3.186739396759787,0.6116732666946056,1.4646039428693947,1.183665782210005,1.3952616854730193,1.501049566401964,1.4678575091024781,1.1609499091834752,1.5982278520972593,1.2817639164287997,1.6679910556950084,2.093278592996167,1.585990573760302,1.460587649134445,1.9023022232251807,1.362444347048929,-1.0610251835550248,-1.0969249277799558,-1.508983824484245,-0.9094624507174787,-1.8660340789745244,-1.6114719376734143,-1.8421363093953096,-1.7315824374321742,-1.8409403053622224,-1.8215118847331557,-2.2222532964616413,-1.1262849505090888,1.119614933979074,1.2736261233235724,0.7526914754444258,0.6763128523270545,0.5289571298881734,0.3454009629747157,0.43282047802193135,0.7812873961627154,0.5934371263268379,0.6337744284293245,0.5286422914914446,0.415989577441509,-1.3717395821609317,-1.5192151671885994,-0.9782183367664699,-0.9307255253086782,-0.7453526491017437,-0.49740811835532195,-0.5688554970783427,-1.045881245925816,-0.8065954036404144,-0.824915716575938,-0.7183193378984731,-0.5780144114567637
TO,-0.03959114388881857,0.0028459624921473026,-0.6645424226823299,-1.0050392424630805,3.121744744381166,1.4570702764201526,-0.067143445578558,1.585722100643897,1.5111637406380574,1.4527684175721522,1.3554977908213928,1.3720725839539383,1.2794483052163008,1.6263056985794877,1.6339555672769701,1.3204562223833838,1.3123242478266839,1.4111036551242373,1.1677631727467974,0.7943283965621573,0.8488105145765579,0.6943459408692054,0.9745785147322927,1.0214266858514398,1.011903761002888,0.8909828054600233,0.8505784248484605,1.027238128449196,1.0250258575426774,1.0508221783067273,0.9889278891286779,-0.06679697142460639,-0.07274932161838055,-0.06947977072783884,-0.07491890251385525,-0.6540779403361557,-0.05242436822003482,-0.047252244998640114,-0.07283717746065677,-0.06768884504431916,-0.0696220813078191,-0.06312829009852916,0.7838974127281284,0.0398067221101861,0.05124023526534849,0.054934860413362596,0.04602448554059668,1.1814275844106248,0.00968195958195528,0.0029002605511752044,0.05508313790730357,0.034824810504332504,0.04106727570332591,0.02751963873450336,-1.2453074216763342
UUPCOST,0.15914154785076629,-0.0037037971962822214,0.19404797905297366,0.1054459022107257,-0.04646901927766289,-0.012182565779942922,0.0006678775086377264,-0.27096372684567716,-0.3521849853938891,-0.23884304810019907,-0.20802053548670651,-0.43079874385312633,-0.3218678419144705,-0.52276193348052,-0.5340678787281478,-0.42559037558772994,-0.42959693448632763,-0.5664810660771308,-0.35452598420682324,0.623405274473039,0.6180270118943021,0.6173829387735186,0.5658136795545099,0.6992757028087049,0.6597636395795425,0.635307782420188,0.6324113063868164,0.695260151019752,0.6913597707838337,0.7587263157406676,0.5724766184901342,0.0019119751230067816,5.163151682752165e-05,-0.000985575817318285,-0.0009002962357257394,-0.0002623468910384341,-0.005768665802933226,-0.0013527876299157526,0.002840358301018364,0.0023882215571691123,-0.017198574437062852,-0.00026926146206585067,0.014529502591298371,0.0006407708916678079,-0.0010701428928000523,0.006210729019233696,-0.0010168756995188044,-0.000853173233808513,0.009074879247232825,-0.003718453696410773,0.008207466607023095,-0.004696572279613842,0.02632406085002925,-0.0008668828142294194,-0.020660175066236075
OUT,-0.07688150940757421,-0.023351946716214655,-0.33655285250705436,0.706111700571832,-0.14504665710626863,-0.35620540798965983,-0.446449084008671,-0.17979954735116765,-0.17577486986069701,-0.04839074612909777,-0.1252653491725475,-0.04435572199371296,-0.06639156182723704,0.040001994261196216,-0.05546986120449238,-0.04472910776253225,0.0026318721535856238,0.04930031131104573,0.021849630810850673,-0.4106592904100753,-0.41695531636427086,-0.2847956430153087,-0.5432862475514177,0.016355622242333334,-0.14167879810126682,0.09255501293891855,-0.00827177481005914,0.01623176232411483,0.019515327001683458,0.1641790204789817,-0.45115870305202477,0.015572727395609665,0.009949391710266653,0.025831091359667102,0.052519517636915314,0.12519423026439935,0.015559849663748793,0.021125671850839023,0.030675054799086388,0.0861320940283028,0.0766733724186397,0.122963528103045,-0.41487689006337314,0.9313338562991924,0.8673001292142457,0.8966669171430874,0.8123977696235696,0.7215323758814407,0.9192283096041509,0.8338943585386838,0.8909705951677482,0.7819795537848906,0.780310925607206,0.7080067751593233,1.8290198678971659
