,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,DOMPATINUS_target,DOMPATINEU_target,TE_target,OUT_target,gamma,rho
0,-50,0.0315700816741544,0.0122933936052362,0.0227252663702072,0.0080527964097097,0.0231482260585855,0.0227747213770801,,0.0141730602272185,0.03059871867422,0.0198275986989204,0.0216237668136879
1,-40,0.0306697298691265,0.015050497368169,0.0230936028438767,0.0105356668521928,0.0221394741553867,0.022619378448341,,0.0188540292257185,0.0296724465182041,0.0194764901959798,0.0210913630382875
2,-30,0.0294341872687131,0.0177675296487721,0.0229101380995338,0.0142267922414887,0.0233944545862906,0.0229891977988714,,0.023083365344672,0.0285847686909406,0.021273494645452,0.0229685406013211
3,-20,0.0272260928117276,0.0207557861495722,0.0229635541773325,0.0177403451659681,0.0233506502143586,0.0230853318152263,,0.0254429490804231,0.027417997312266,0.022425438682387,0.0231423826646674
4,-10,0.0246026486270784,0.0218110334933292,0.0235023233389327,0.0214631671426715,0.0227750626297256,0.0231952319932858,,0.0241275849623287,0.0237773673733449,0.0235605635400577,0.0225688310059465
5,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
6,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
7,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
8,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
9,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
10,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
11,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
12,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
13,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
14,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
15,0,0.0233055914608243,0.0233021638385881,0.0233021638385881,0.0233136865450424,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0233021638385881,0.0232906727210767,0.0233021638385881,0.0233068117320047
16,10,0.0227397751372814,0.0251751347406469,0.0231191903771974,0.0240364187266272,0.0230446385749735,0.0230812048297999,,0.0195530838955344,0.0224615535606711,0.0222991348415325,0.0228668138186623
17,20,0.0196101544117423,0.026187556758076,0.0230017306717298,0.0269261739191372,0.0238168725327197,0.0228748459842748,,0.0225221345341863,0.0201283299205207,0.0231384038957082,0.0237540575327167
18,30,0.0189677313822506,0.0277798578612727,0.0223069345300869,0.0285430712225447,0.0232101658763634,0.0219662841794978,,0.0190035411301709,0.0187592063098347,0.0231031986018211,0.023026017991491
19,40,0.0156968020047901,0.0284212176079824,0.0223647565829773,0.0308558203364785,0.0228409369035144,0.0209826640282644,,0.0161123588081822,0.0162529133470975,0.0228915466920898,0.0225069974537644
20,50,0.0163344177191943,0.0289586674114285,0.022378058844276,0.0322761117431253,0.0224265776898117,0.0200157383695491,,0.0166026324446316,0.0174593260364482,0.0215526535573209,0.0222374826958803
