,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,DOMPATINUS_target,DOMPATINEU_target,TE_target,OUT_target,gamma,rho
0,-50,1.3095336552339905,1.1077680436152737,1.2259752399173265,1.1225707398426312,1.2319315724724147,1.2225948663383974,,1.2342555690536436,1.3226449206821107,1.16725389819963,1.2136572379330657
1,-40,1.3014075592797958,1.1353916720364856,1.2287005552060912,1.1441513737890607,1.218323596556896,1.2212513373529124,,1.2833406767023214,1.3101484204045706,1.1740674899941228,1.2064555222394366
2,-30,1.289657203535982,1.1640828026594958,1.2240924060856042,1.1811357896769268,1.2319612239789486,1.2247937198807606,,1.3026197936269988,1.29556930944966,1.196699060248614,1.2273600828339446
3,-20,1.2664438060468175,1.196863697076746,1.2255956957086838,1.2085088622319566,1.2303868920488603,1.2253281068469486,,1.3007195338736317,1.2801790201280163,1.2125030432593598,1.228128686694775
4,-10,1.2401727285822377,1.2108249217856892,1.230629788401227,1.2321636424286466,1.2229098305852628,1.2270467624033812,,1.2553541995447517,1.233591179541315,1.228502831406396,1.2194035050415042
5,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
6,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
7,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
8,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
9,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
10,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
11,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
12,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
13,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
14,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
15,0,1.2279611518968263,1.228092915184199,1.228092915184199,1.2281520947798847,1.228092915184199,1.228092915184199,1.228092915184199,1.228092915184199,1.2278063381896378,1.228092915184199,1.2279599889799373
16,10,1.2228173445244443,1.250976433733494,1.225474272837054,1.2130426707696875,1.224053969300018,1.2254995472345862,,1.176231177563095,1.219369342032039,1.2176235209183723,1.2207933776058006
17,20,1.1933384035911692,1.2646241294092282,1.224227934536373,1.2212691185288893,1.232055835295499,1.2216718288118786,,1.200662188133705,1.1939575516769565,1.229489033634369,1.231449335110668
18,30,1.1881281456593746,1.2849122033071552,1.215543625604969,1.216173326356778,1.223710518895594,1.2108704008994375,,1.1585048806441374,1.17791058997147,1.2300066972535646,1.2208980580280546
19,40,1.1574100736912545,1.2933924053378183,1.2149578832430863,1.2179318166056632,1.218296040315643,1.1985186528133351,,1.127555210159728,1.1482467520672812,1.228515671646922,1.2136444375036617
20,50,1.1681927360912048,1.300556739826943,1.2143806767492942,1.211934568300581,1.212503614489597,1.1871640610853111,,1.1296713065270387,1.1627085186398982,1.21456623197946,1.2095522614921763
