,Patent,Pharmaceuticals,Chemicals,welfare
USA,0.01,0.01,0.01,8.464160908016922
EUR,0.01,0.01,0.01,9.191649986595408
JAP,0.01,0.01,0.01,9.508271525563345
CHN,12.0,12.0,12.0,20.942698147972806
BRA,12.0,12.0,12.0,20.273249289616217
IND,12.0,12.0,12.0,20.00662950906542
CAN,0.01,0.01,0.01,11.063063145378038
KOR,0.01,0.01,0.01,10.309497019600684
RUS,12.0,0.8060272964445584,0.8060272964445584,20.038626380289443
MEX,0.01,0.01,0.01,8.315745690127272
ZAF,12.0,12.0,12.0,20.106795773311376
ROW,12.0,12.0,12.0,19.571782210471156
Negishi,,,,14.937012628767903
Equal,,,,19.399847938808847
