,Non patent,Patent,Pharmaceuticals,Chemicals
USA,36996.73671204997,38510.804198421654,16366.784452065203,9137.213826934198
EUR,16386.696895271296,42917.013990156294,20711.0533737097,19260.14151361748
JAP,45141.94157941164,36097.299861372936,966.1504569172243,3577.5936175751904
CHN,1526.1083985733444,1799.5077615521768,27200.976194405528,1675.6565980542116
BRA,1070.704065701853,5397.922767940701,5038.602611324297,4232.8966961008055
IND,80.80610772076078,536.2618536903752,72.4641215041076,284.38846597586024
CAN,29880.557434266553,44410.863113433734,33950.557464280595,16562.205697178637
KOR,11470.826334496169,46948.216419914825,14090.423638559265,44666.04066339598
RUS,9895.149742838685,2950.648312713123,12918.92825028408,4786.56025719535
MEX,7667.4131119531185,5077.890894897531,9469.818330699403,39.67408326915795
ZAF,3867.860078714584,134.8895551977328,6181.057746714843,574.2354157511804
ROW,35.57253260200563,44728.31602306586,93592.09932640608,69933.14384769942
count,12.0,12.0,12.0,12.0
mean,13668.36441613333,22459.13622936308,20046.576330572527,14560.812556895622
std,15470.680053786731,20931.20441005371,25309.177462607127,21589.325658275546
min,35.57253260200563,134.8895551977328,72.4641215041076,39.67408326915795
25%,1412.2573153554715,2662.863174922886,5895.443962867206,1400.3013024784539
50%,8781.281427395901,20747.611314656817,13504.675944421673,4509.728476648077
75%,19760.16203002011,43290.476270975654,22333.534078883655,17236.689651288347
max,45141.94157941164,46948.216419914825,93592.09932640608,69933.14384769942
