,Patent,Pharmaceuticals,Chemicals,welfare
USA,11.9999998,0.0100000003,0.0100000003,8.30345127078644
EUR,11.9999997,0.0100000003,0.0100000003,7.498366765201595
JAP,11.9999997,11.9999998,11.9999997,10.492974572542408
CHN,11.9999997,0.0100000003,11.9999997,7.994502766677613
BRA,11.9999998,11.9999998,11.9999997,9.66081783333614
IND,11.9999998,11.9999998,11.9999997,9.494145243329498
CAN,11.9999997,11.9999998,11.9999998,11.035074632441038
KOR,11.9999997,11.9999998,11.9999998,11.36751525337445
RUS,11.9999998,11.9999998,11.9999997,9.412933595112477
MEX,11.9999997,11.9999998,11.9999951,9.484956899208257
ZAF,11.9999997,11.9999998,11.9999997,9.393684091035254
ROW,11.9999996,0.0100000003,11.9999996,7.102923503268798
Negishi,,,,8.199625337843017
Equal,,,,8.140024693344046
