delt,growth,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,AUS,MEX,ROW
0.09999999999999915,0.016821803637259127,1.0020221776086968,1.0022597496938477,1.0026525490692195,1.0019478887997828,1.0018351987791547,1.0020518634550213,1.0021787714683628,1.002614268284748,1.0020132582326775,0.8950391904021152,1.0019528813727938,1.0023238902920217
0.10427538888537478,0.016819946721665688,1.0019931683050658,1.0022276011534017,1.0026145825854638,1.0019201969268858,1.0018091926927493,1.0020225683175337,1.002147784499728,1.002576701907347,1.001984872518855,0.8963476024813299,1.001925174021996,1.002290612442475
0.10873356727196554,0.01681804815707364,1.0019635080635818,1.002194729724862,1.0025757644491913,1.0018918842256404,1.0017826016636238,1.0019926193969344,1.002116100182327,1.0025382963240637,1.001955843880529,0.8976910573022041,1.0018968448268457,1.0022565946116482
0.11338235012178313,0.016816108209827884,1.0019332011014659,1.0021611399819272,1.0025361003121755,1.0018629546964013,1.0017554293087976,1.0019620211540061,1.002083722894501,1.0024990573819217,1.0019261759610965,0.8990697624898021,1.0018678977283653,1.0022218420538551
0.11822988651686886,0.016814127229041912,1.0019022529409236,1.002126837943813,1.0024955975533332,1.0018334135758888,1.0017276804029274,1.0019307793639063,1.0020506584090076,1.0024589926432064,1.0018958736636414,0.9004838730348804,1.001838337901092,1.002186361519752
0.12328467394420636,0.016812105649049,1.0018706704484666,1.0020918311193376,1.002454265331713,1.0018032673738901,1.0016993609131168,1.0018989011543553,1.0020169139358241,1.002418111437238,1.0018649431902278,0.9019334879000417,1.001808171789641,1.002150161299084
0.12855557319138877,0.016810043991588478,1.0018384618700902,1.0020561285464582,1.0024121146340785,1.0017725239059696,1.001670478030032,1.0018663950395517,1.0019824981606191,1.0023764249066889,1.0018333920773266,0.9034186466435898,1.0017774071413392,1.0021132512585036
0.1340518238791471,0.016807942867703454,1.0018056368619441,1.0020197408268925,1.0023691583166057,1.0017411923219088,1.0016410401950722,1.0018332709494506,1.001947421278448,1.0023339460480156,1.0018012292269802,0.9049393260818772,1.001746053034562,1.0020756428740925
0.139783060657919,0.016805802979321,1.0017722065160461,1.0019826801552185,1.0023254111400106,1.0017092831293963,1.0016110571230659,1.0017995402539523,1.001911695022188,1.0022906897453356,1.0017684649332974,0.9064954370121365,1.0017141199023114,1.002037349257981
0.1457593300969273,0.016803625120490766,1.0017381833806005,1.0019449603421173,1.0022808897977,1.0016768082126473,1.0015805398203026,1.0017652157815995,1.0018753326853136,1.0022466727972836,1.0017351109038835,0.9080868210193784,1.0016816195507428,1.001998385178765
0.15199110829529086,0.016801410178258303,1.0017035814745918,1.0019065968312526,1.0022356129363001,1.0016437808455563,1.001549500597426,1.0017303118324243,1.001838349138585,1.0022019139362652,1.0017011802758145,0.9097132473917339,1.0016485651722373,1.0019587670751682
0.15848931924610893,0.016799159133150478,1.00166841629625,1.001867606709429,1.002189601168126,1.0016102156990807,1.0015179530769494,1.001694844184587,1.0018007608402286,1.0021564338397093,1.001666687625824,0.9113744101700885,1.001614971352665,1.0019185130626334
0.16526535398566858,0.016796873059256125,1.001632704825142,1.0018280087096803,1.0021428770751943,1.001576128842582,1.0014859121951556,1.0016588300945444,1.0017625858393269,1.002110255132836,1.001631648974445,0.9130699253584653,1.0015808540726618,1.0018776429325162
0.17233109056134974,0.016794553123881877,1.0015964655175043,1.001787823206938,1.0020954652043312,1.0015415377388346,1.0014533941980381,1.00162228829042,1.001723843772067,1.0020634023825774,1.0015960817837233,0.9147993283224851,1.0015462307025615,1.0018361781435343
0.17969891485325828,0.01679220058677194,1.0015597182946976,1.001747072206051,1.002047392053058,1.0015064612325237,1.0014204166311813,1.0015852389584115,1.001684555850592,1.002015902082343,1.0015600049483686,0.9165620714037533,1.0015111199908011,1.0017941418052854
0.18738174228603707,0.016789816798880423,1.0015224845245176,1.001705779321939,1.001998686046041,1.0014709195320712,1.0013869983233934,1.0015477037220686,1.001644744844273,1.0019677826273732,1.0015234387801213,0.9183575217783021,1.0014755420457127,1.001751558653647
0.19539304046896083,0.016787403200688607,1.001484786995271,1.0016639697517153,1.0019493775018327,1.0014349341846667,1.0013531593639395,1.0015097056143063,1.0016044350532483,1.0019190742804545,1.0014864049851855,0.9201849595873285,1.0014395183104983,1.0017084550179105
0.20374685280396887,0.01678496132006516,1.0014466498825696,1.0016216702387222,1.001899498589854,1.0013985280444633,1.0013189210734317,1.001471269042147,1.0015636522741105,1.0018698091279763,1.0014489266347022,0.9220435763682464,1.0014030715314122,1.0016648587796722
0.21245782310305575,0.016782492769667395,1.0014080987087386,1.0015789090284102,1.0018490832775078,1.0013617252339313,1.0012843059682437,1.0014324197441467,1.001522423757732,1.0018200210261983,1.0014110281281603,0.9239324738136088,1.0013662257191,1.0016207993234278
0.22154122125811557,0.016779999243890974,1.0013691602950245,1.0015357158161768,1.0017981672675518,1.0013245510984479,1.0012493377185963,1.001393184740662,1.0014807781593322,1.0017697455378207,1.0013727351498487,0.9258506628846584,1.001329006103218,1.0015763074790305
0.23101297000831497,0.016777482515374077,1.001329862706607,1.001492121687219,1.0017467879257647,1.0012870321542344,1.001214041100402,1.0013535922770338,1.0014387454807512,1.0017190198590356,1.0013340746184467,0.9277970633052713,1.0012914390804195,1.0015314154561574
0.2408896728518293,0.016774944431070814,1.0012902351906694,1.0014481590486628,1.0016949841991871,1.0012491960298338,1.0011784419410146,1.0013136717599387,1.0013963570053053,1.00166788273721,1.0012950746298526,0.9297705034604591,1.0012535521559212,1.0014861567710485
