country,d_other_1992,d_pharma_1992,gap_1992,d_other_2015,d_pharma_2015,gap_2015
USA,0.20199418253026696,0.274350261258269,1.3582087257248616,0.1212202900718791,0.13701524655687,1.1302996097074598
EUR,0.1755802039146133,0.2982068411134173,1.698408103332872,0.1219394005751662,0.1740172701707801,1.4270799212557381
JAP,0.17162197319982203,0.2583023530850114,1.5050657457729268,0.1356928064152104,0.1608186844395823,1.1851673547637338
CHN,0.3048574539219599,0.5965483533423356,1.9568107837541846,0.2025410164142365,0.2557986897711793,1.2629475959971501
BRA,0.2630106248205464,0.4766710102062877,1.8123640842704474,0.1856514674603722,0.2744065248087913,1.478073556662643
IND,0.5436041092918104,1.2901154592694755,2.3732628896977905,0.2662426603277438,0.3719205021577519,1.3969230239057822
CAN,0.07625714201135543,0.08923340011167037,1.1701644955220412,0.0892055222589352,0.0986868526166133,1.106286361175677
KOR,0.11264100029729489,0.22558563685063404,2.002695610437078,0.0799984751239969,0.1346096070304543,1.682652160829449
RUS,0.5281542150368999,1.1467672685402166,2.1712735331670068,0.2380960988846998,0.4042962992347577,1.698038317841326
MEX,0.30108873488066856,0.454676517851339,1.510108035199465,0.2252908601978069,0.2689110711593665,1.1936173128517544
ZAF,0.19250514351530593,0.29054640156528605,1.5092916285750304,0.1685554719231022,0.3050908899471323,1.810032545762263
ROW,1.5758554553366286,3.3886952880355956,2.150384590515451,1.5355600080221343,2.399372092591471,1.5625388002139773
