delt,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW
0.1,1.0014899323476896,1.0015601684088689,1.0016729715677293,1.0014521939360712,1.0014629061317055,1.0014955533585843,1.0015429314867377,1.0017294717853817,1.0015240464836743,1.0015180146440088,0.9938936659128154
0.10427538888537677,1.0013911670665763,1.0014577829167337,1.0015648358923241,1.0013566598771504,1.0013656654373764,1.0013961849969972,1.001440203028521,1.0016164835310732,1.0014229582361576,1.0014169613193937,0.9942776722481348
0.10873356727196559,1.0012979477102346,1.0013606748802193,1.001462294469894,1.0012661006867896,1.0012734592633437,1.0013019600103867,1.0013428206181605,1.0015092351595951,1.0013270894351438,1.0013211640940247,0.9946399950096191
0.11338235012178494,1.001209763839517,1.0012686797631694,1.0013652866103417,1.0011802052210896,1.0011860940274926,1.0012126842056344,1.0012505786501071,1.0014076283589313,1.001236241896255,1.001230416203808,0.994984839282818
0.11822988651687073,1.0011263318788923,1.0011815049407937,1.0012734150583154,1.001098382987086,1.0011033045723332,1.0011280909737015,1.0011631856444008,1.0013112649768916,1.0011501515115335,1.0011444430594563,0.9953111914769436
0.1232846739442066,1.0010476496310001,1.0010991467708852,1.0011866807767975,1.001021130245761,1.001025107545668,1.0010481855108906,1.0010806755771944,1.0012202883965722,1.0010688202408917,1.0010632662317676,0.9956204214455281
0.12855557319139024,1.0009735245450229,1.0010213911327208,1.0011049299869426,1.000948263674308,1.0009513071902627,1.0009727797092745,1.0010028268408202,1.0011343910583894,1.00099205863902,1.0009866652376256,0.9959104193535974
0.13405182387914732,1.0009037593299297,1.000948098369133,1.0010278407011521,1.0008795888192572,1.0008817345603593,1.0009016867548035,1.0009294482163293,1.0010533364243268,1.0009196777097555,1.0009144638063692,0.9961850199777208
0.1397830606579213,1.000838157097114,1.0008790590149204,1.0009553663388073,1.000814936773807,1.0008162059482524,1.000834721884644,1.0008603583178055,1.0009769725803912,1.0008514911130921,1.000846474101546,0.9964435456482214
0.14575933009692957,1.0007765263754003,1.0008140517276123,1.00088718618063,1.0007541248393335,1.0007545332237786,1.0007717040134811,1.0007953564161742,1.0009050976658194,1.0007873124154736,1.0007825077790804,0.9966848054425684
0.15199110829529336,1.0007185285379523,1.0007529644223667,1.0008231001722383,1.000696996274989,1.0006965842753288,1.0007124796718556,1.0007342927862861,1.0008374802219686,1.0007269903102862,1.000722401567461,0.9969134954040466
0.15848931924611132,1.0006641289132512,1.000695580064086,1.0007629935272175,1.0006433626507087,1.0006421462035966,1.0006568578917807,1.0006769532693396,1.0007739473306354,1.0006703225063611,1.0006659594769476,0.9971268762758687
0.1652653539856689,1.0006131595379335,1.0006417067009363,1.0007066327793823,1.0005930564824344,1.0005910623239203,1.0006046639218225,1.0006231595456765,1.000714320398554,1.000617135204096,1.0006130038378074,0.9973272564081846
0.17233109056135085,1.0005652156467804,1.0005910312276518,1.0006511483302112,1.0005457656105727,1.000543048397563,1.0005555997586535,1.000572589015582,1.0006581211599022,1.000567109889903,1.000563242562578,0.997522280678169
0.17969891485325942,1.000519892723057,1.0005432289046443,1.0005974382812424,1.000501513352536,1.000498120877556,1.0005096782970673,1.0005252581054394,1.000605424058424,1.0005202611866513,1.0005166783498838,0.9977134819067004
0.1873817422860384,1.000476287054616,1.0004976572277884,1.0005473403844443,1.0004603101491982,1.0004563247207072,1.0004669101530868,1.0004811834245877,1.000556202739869,1.0004766056463534,1.0004733005711002,0.9979010399620616
0.19539304046896105,1.0004357916531943,1.0004554607348775,1.000500940042065,1.000422073427539,1.0004176233346793,1.000427309468108,1.0004403729381282,1.0005103817702405,1.0004361869521214,1.0004331426035329,0.9980757355569784
0.2037468528039708,1.00039854523267,1.0004162071998803,1.000457780731844,1.0003856903299317,1.0003816172343074,1.0003904739533322,1.0004024141021972,1.0004664214052106,1.0003985798740975,1.0003958021661408,0.9982402480821276
0.2124578231030568,1.0003646106482238,1.00037979289208,1.0004177656244544,1.0003519336388362,1.0003482079825214,1.0003563012997663,1.0003672005412045,1.000425641166568,1.0003636862629839,1.0003611681318756,0.9983920196911248
0.22154122125811834,1.0003333453243801,1.0003461705424403,1.0003808175555708,1.0003207657484992,1.000317358697289,1.0003247493007255,1.0003346866434033,1.0003880015689501,1.0003314664898253,1.0003291923139912,0.9985319901338909
0.23101297000831592,1.0003045638850638,1.000315155990914,1.0003467342958279,1.0002920130178767,1.000288898848372,1.0002956425231524,1.0003046928781691,1.0003532775435402,1.0003017416771787,1.0002996976432112,0.9986610327411087
0.24088967285183036,1.000278089910608,1.0002865693391123,1.0003153235249833,1.000265509653819,1.0002626673448138,1.0002688146084895,1.0002770483634373,1.0003212743324856,1.0002743454702347,1.0002725107313901,0.998779855334067
0.25118864315095796,1.0002537608559252,1.000260246327042,1.00028639991401,1.0002411047208608,1.0002385068590829,1.000244108019556,1.0002515912720273,1.0002918023345657,1.0002491142204806,1.0002474777601373,0.9988891753167859
0.2619279344815629,1.0002314287388163,1.0002360240397492,1.0002597909166258,1.0002186493624963,1.0002162763286342,1.0002213739590335,1.0002281662585535,1.0002646888114706,1.0002258981220236,1.0002244438503654,0.9989896720366788
0.27312637228008446,1.0002109414733444,1.0002137536164342,1.0002353253791572,1.0001980004159565,1.0001958364463333,1.000200471633888,1.0002066288207128,1.0002397598976247,1.0002045524433747,1.0002032674071522,0.9990818793641236
0.28480358684358015,1.0001913562895406,1.0001935680623224,1.000213127408871,1.0001792928681514,1.0001773248903243,1.0001815308138235,1.0001871103323707,1.000217145525023,1.0001852199689192,1.000184064739852,0.9991673190022698
