,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
0,0.5,-8.166120442837245e-05,-7.326662037001743e-05,-9.359454113510054e-05,-6.434139413003883e-05,-6.590175769499665e-05,-6.098806298792694e-05,-7.347420511132756e-05,-8.230471689634848e-05,-6.977804356484475e-05,-6.788726209155859e-05,-6.442270764804844e-05,0.0001189592539755,1.8628239239042177e-05,-2.683195948537928e-05
1,0.52,-8.056788449131495e-05,-7.256930823618166e-05,-9.206597506071852e-05,-6.412400508319986e-05,-6.505651315939877e-05,-5.9949296793991264e-05,-7.261157139910765e-05,-8.147220877731095e-05,-6.874869306002823e-05,-6.734157570027286e-05,-6.322839739432074e-05,0.0001201658984741,1.952071445883618e-05,-2.6218886592591208e-05
2,0.54,-7.929783224069488e-05,-7.195447499177142e-05,-9.04774975250762e-05,-6.367357949305684e-05,-6.408828324023528e-05,-5.904000486175863e-05,-7.163279422652266e-05,-8.037879674729426e-05,-6.745734443021165e-05,-6.633468350581457e-05,-6.210559128090411e-05,0.0001211485840402,2.08422701967477e-05,-2.55999102750141e-05
3,0.56,-7.81690513907238e-05,-7.119509614356368e-05,-8.873090641258422e-05,-6.347905807331887e-05,-6.320352079107125e-05,-5.800624362758615e-05,-7.082758376023983e-05,-7.950746491829746e-05,-6.639300601803328e-05,-6.551401341182128e-05,-6.099636983459378e-05,0.0001220368902746,2.191186108321902e-05,-2.522329020088663e-05
4,0.58,-7.678351466484559e-05,-7.059589030541599e-05,-8.679681088897164e-05,-6.29462287059675e-05,-6.242455291479141e-05,-5.7284994675332255e-05,-6.991853197686445e-05,-7.830182443722092e-05,-6.50936991907326e-05,-6.466697158597416e-05,-5.997427265739623e-05,0.0001224449901965,2.263090764793801e-05,-2.458112730494685e-05
5,0.6,-7.515283375907181e-05,-6.963548252462248e-05,-8.491341420071098e-05,-6.224090602103527e-05,-6.155124729139124e-05,-5.6713886349046e-05,-6.88963472055017e-05,-7.705277734239666e-05,-6.378860398133214e-05,-6.377328160359302e-05,-5.889846787054326e-05,0.0001229943174206,2.357111917373624e-05,-2.382115176375673e-05
6,0.62,-7.356598602916545e-05,-6.860127635825486e-05,-8.291114234321316e-05,-6.176021288311736e-05,-6.0554488939121066e-05,-5.574044577526106e-05,-6.782849452952921e-05,-7.585874696952209e-05,-6.269779065907719e-05,-6.283989178582631e-05,-5.799471512250837e-05,0.0001232110322511,2.4416074647118745e-05,-2.3355757120274586e-05
7,0.64,-7.207246289886187e-05,-6.767719272219886e-05,-8.08244744925714e-05,-6.093509293055179e-05,-5.9736376946128105e-05,-5.509288394429087e-05,-6.660754460842172e-05,-7.488500783606783e-05,-6.139401226578817e-05,-6.184303305605313e-05,-5.67991745588908e-05,0.000123520003747,2.530129673776999e-05,-2.261802629964208e-05
8,0.66,-7.022148872479992e-05,-6.658432718538658e-05,-7.864627473821951e-05,-5.986133415403699e-05,-5.857045159045591e-05,-5.428765066794639e-05,-6.537887769722715e-05,-7.369908198909736e-05,-6.016855247278477e-05,-6.077733854417665e-05,-5.62594517233333e-05,0.0001237057068469,2.5885248121146534e-05,-2.196310594131323e-05
9,0.6799999999999999,-6.844734748311836e-05,-6.522258197864237e-05,-7.65341802847109e-05,-5.894605986229344e-05,-5.77401566428271e-05,-5.354056087828356e-05,-6.411859976017604e-05,-7.241843992293627e-05,-5.900105583245323e-05,-5.9753053255029024e-05,-5.522777492302211e-05,0.0001236531875877,2.6609312752409232e-05,-2.126918168603472e-05
10,0.7,-6.67473495198477e-05,-6.401758049538377e-05,-7.443815655244646e-05,-5.793556634649668e-05,-5.670782476077437e-05,-5.276520826078237e-05,-6.283364004264821e-05,-7.112111554948227e-05,-5.791015086564829e-05,-5.85151404253804e-05,-5.426049159568871e-05,0.0001234213209514,2.7248294633454303e-05,-2.0529525506543865e-05
11,0.72,-6.486753978177807e-05,-6.263307551497861e-05,-7.214365621808473e-05,-5.690736364427646e-05,-5.562153657838118e-05,-5.235960132497114e-05,-6.130621265565899e-05,-6.974456115830669e-05,-5.68371649848802e-05,-5.74481081471264e-05,-5.3436947970548286e-05,0.0001231296576098,2.7708499322648112e-05,-1.983777497001507e-05
12,0.74,-6.3091146114505e-05,-6.140430505801272e-05,-7.000581535038404e-05,-5.570560820259815e-05,-5.453752875526764e-05,-5.161461822055749e-05,-5.994280362288704e-05,-6.83315089557141e-05,-5.576228960328816e-05,-5.621151424331774e-05,-5.269464594887247e-05,0.0001225169668278,2.806619621226593e-05,-1.918252092907955e-05
13,0.76,-6.122076615001413e-05,-5.9944422681504056e-05,-6.795840662238983e-05,-5.447383316873295e-05,-5.34666218245368e-05,-5.096322838636965e-05,-5.841698585586863e-05,-6.693045658037875e-05,-5.45921091824126e-05,-5.5019567172255e-05,-5.177417633663207e-05,0.0001219573650346,2.8432801434365752e-05,-1.835597469709993e-05
14,0.78,-5.938666701834221e-05,-5.850748560980231e-05,-6.58901050320261e-05,-5.328091506386299e-05,-5.238042765370611e-05,-5.0222106327786326e-05,-5.708292442630975e-05,-6.551480907352382e-05,-5.348945693094404e-05,-5.389510855330531e-05,-5.0905822510776e-05,0.0001209952118173,2.8603433986066566e-05,-1.753005918574541e-05
15,0.8,-5.76060192782468e-05,-5.701441579180031e-05,-6.378359158238675e-05,-5.198049044062784e-05,-5.116122835153577e-05,-4.93782524635011e-05,-5.548605006812093e-05,-6.394886750389273e-05,-5.248406928168337e-05,-5.2587574453594105e-05,-4.997843532649701e-05,0.0001200530786596,2.8799122056289344e-05,-1.7007767559659615e-05
16,0.8200000000000001,-5.590098395948568e-05,-5.559997714470314e-05,-6.184680594904449e-05,-5.079587128748233e-05,-5.002935413229199e-05,-4.8715593378265215e-05,-5.412523292876099e-05,-6.241193258475815e-05,-5.14398309370505e-05,-5.164759247655359e-05,-4.905815408287723e-05,0.0001189937650474,2.881719402046096e-05,-1.6163531474309106e-05
17,0.8400000000000001,-5.420043686401218e-05,-5.4216494581389424e-05,-5.984431010012271e-05,-4.953597489520721e-05,-4.884448966255693e-05,-4.7792188266195865e-05,-5.26002484604144e-05,-6.096078955662025e-05,-5.022493738502554e-05,-5.041094674105152e-05,-4.8047004706136064e-05,0.0001176398703023,2.886892452042528e-05,-1.5569853602778084e-05
18,0.86,-5.270248546493687e-05,-5.270009548063325e-05,-5.798769515880084e-05,-4.8298611138953656e-05,-4.775733446994093e-05,-4.698363443148252e-05,-5.11122573103574e-05,-5.934273162722913e-05,-4.912306676225672e-05,-4.919897368552459e-05,-4.7075438967988816e-05,0.0001161733469414,2.89021437769192e-05,-1.491601500592601e-05
19,0.88,-5.104726459361045e-05,-5.130158458575382e-05,-5.607919016469862e-05,-4.70796215158676e-05,-4.6549054938976224e-05,-4.605418876226832e-05,-4.969857279933009e-05,-5.781095986074423e-05,-4.794634198546891e-05,-4.80440346273416e-05,-4.613922880334699e-05,0.000114628750804,2.87476924021462e-05,-1.4263521769004056e-05
20,0.9,-4.944522740621466e-05,-4.991212476450275e-05,-5.436772755423144e-05,-4.590271222971871e-05,-4.5393729197688814e-05,-4.511119985601792e-05,-4.825479943527124e-05,-5.640082481730904e-05,-4.680009565580139e-05,-4.688765499945778e-05,-4.520090340427723e-05,0.0001130920510498,2.860832645392727e-05,-1.3552685290126412e-05
21,0.92,-4.795727508398417e-05,-4.851623080779203e-05,-5.272647695252305e-05,-4.4694925765104376e-05,-4.427379932792745e-05,-4.418467285291008e-05,-4.6884542576469377e-05,-5.482073590788105e-05,-4.578646439292265e-05,-4.5691715101715466e-05,-4.4137878235638606e-05,0.0001114886287998,2.846783516032711e-05,-1.2992101230776691e-05
22,0.94,-4.652225590990565e-05,-4.725732736256736e-05,-5.107857514119435e-05,-4.35590154513683e-05,-4.317261861579869e-05,-4.3212518022684026e-05,-4.557557418478621e-05,-5.337424586768492e-05,-4.472877659493598e-05,-4.4545219213948366e-05,-4.313351495147657e-05,0.0001098420139229,2.823154751797501e-05,-1.2393740938017776e-05
23,0.96,-4.514178986146743e-05,-4.601075633191199e-05,-4.956129415920193e-05,-4.243861503863036e-05,-4.209916879322559e-05,-4.22615483000131e-05,-4.4293309362469904e-05,-5.196596938483858e-05,-4.3539983575407926e-05,-4.338096896804371e-05,-4.213924990875222e-05,0.0001081454322791,2.801393394309123e-05,-1.1894102268639692e-05
24,0.98,-4.381363317987229e-05,-4.470635568631597e-05,-4.805322266425346e-05,-4.134453536406344e-05,-4.108810511409922e-05,-4.132770877927135e-05,-4.299245731705148e-05,-5.055725724672197e-05,-4.255039968954454e-05,-4.228878151415985e-05,-4.116619552555668e-05,0.0001064574059007,2.7785504091316343e-05,-1.1424904468220385e-05
25,1.0,-4.255090048176497e-05,-4.357229057645524e-05,-4.6591056752845867e-05,-4.026538595911496e-05,-4.0056580728811634e-05,-4.034855357567429e-05,-4.1811233430188655e-05,-4.9200073273104974e-05,-4.147321372148191e-05,-4.118771501406069e-05,-4.024642207963228e-05,0.0001046719056379,2.7590784423253324e-05,-1.0905150580946483e-05
26,1.02,-4.133956646816182e-05,-4.240025667451147e-05,-4.5275513373756127e-05,-3.927422554735023e-05,-3.9037597628570864e-05,-3.9426149504074e-05,-4.059929454932387e-05,-4.785679620373978e-05,-4.05103848911832e-05,-4.018623965424613e-05,-3.92684171559086e-05,0.0001030751935744,2.7369914530132408e-05,-1.03917954048051e-05
27,1.04,-4.018262521877618e-05,-4.126659479478989e-05,-4.392494933873068e-05,-3.829253736101923e-05,-3.80136292177112e-05,-3.853258326058031e-05,-3.947609164521831e-05,-4.6662634035314026e-05,-3.9512760080013005e-05,-3.920905072500957e-05,-3.8355048345999e-05,0.0001014344962141,2.710822943151173e-05,-9.952457577597934e-06
