,Non patent,Patent
USA,65839.54824884536,42945.0933442123
EUR,20758.440298144324,25116.089279541604
JAP,50008.20721653125,27068.05225919809
CHN,1056.3988642340337,13251.322978233748
BRA,1874.861928047846,1605.9198878583136
IND,157.51799546478097,124.04224441155765
CAN,284008.9527863751,278.50546361588897
KOR,24860.866154952215,27414.336283721164
RUS,8315.683633884677,3588.3129798357163
MEX,2513.1416852059174,6016.601291798237
ZAF,1909.122802440817,1307.3106546271715
ROW,366.6410265981121,360.9321054516938
count,12.0,12.0
mean,38472.448553393704,12423.043231042124
std,80265.51260511196,14574.337776909808
min,157.51799546478097,124.04224441155765
25%,1670.246162094393,1070.716017333302
50%,5414.412659545297,4802.457135816977
75%,31147.701420346973,25604.080024455725
max,284008.9527863751,42945.0933442123
