,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
0,0.5,-0.0137189535636798,-0.0164414406307319,-0.0181758396849337,0.1026113748399934,-0.0130232483303239,-0.0142539385473899,-0.0161045680460763,-0.0251350940175897,-0.0157692732266869,-0.0145163580972153,-0.0127042172681641,-0.0152809985893094,-0.0010112109039913,0.0093899341531559
1,0.52,-0.0139416782121267,-0.016680800021484,-0.0184064006982828,0.1027863180374864,-0.0133046125963451,-0.0145109168662944,-0.0163171676521883,-0.0253218153525508,-0.016022566519681,-0.0147743146757108,-0.0129530765814421,-0.015503540277464,-0.0012184201625184,0.0093051062956142
2,0.54,-0.0141703854393045,-0.0169255459067732,-0.0186428847768236,0.1029100556115297,-0.0135840547673073,-0.0147726829082465,-0.0165340663131235,-0.025509834221506,-0.0162830258738448,-0.0150354574337609,-0.0132042083006089,-0.0157354598378486,-0.0014389110546091,0.0092049059506303
3,0.56,-0.0143970646572086,-0.0171681222025212,-0.0188795741665366,0.1029980722747061,-0.0138688887965382,-0.0150336424299305,-0.0167543523281022,-0.0256977441963867,-0.0165467973024608,-0.015299251355557,-0.0134611747098072,-0.0159690948365821,-0.0016623829390422,0.0090884357025563
4,0.58,-0.0146283892143668,-0.0174173510973387,-0.0191208094380544,0.1030496368530243,-0.0141540403461541,-0.0153005022176282,-0.016978652838177,-0.0258935558456503,-0.0168106413141219,-0.0155647939422981,-0.0137212807950006,-0.0162099285683595,-0.0018935507456275,0.0089601381167473
5,0.6,-0.014861919296677,-0.0176690555470408,-0.0193641452648076,0.1030747336827052,-0.0144434048704977,-0.0155697976570841,-0.0172091129454131,-0.0260920024481706,-0.0170804729325648,-0.0158344944701532,-0.0139873239678773,-0.016456514858283,-0.002132916931078,0.0088206832729876
6,0.62,-0.0150972088370355,-0.0179209489649393,-0.0196097094359206,0.1030746311529692,-0.014733038630701,-0.0158445921750649,-0.0174409185383034,-0.026295563015949,-0.0173504762345849,-0.0161074120745852,-0.0142565866549373,-0.0167073390204182,-0.0023764240917309,0.0086714203433055
7,0.64,-0.0153385159091478,-0.0181770969564708,-0.0198593017252311,0.1030550985986765,-0.0150263902617177,-0.0161212193290814,-0.017678526798591,-0.0265019245485792,-0.0176280289006341,-0.016383114059972,-0.0145308566607052,-0.0169602037494059,-0.0026268905928925,0.0085110789440242
8,0.66,-0.0155802377939419,-0.0184377591085856,-0.0201129097578421,0.1030175545375485,-0.0153220379960065,-0.0164020083075058,-0.0179203083658505,-0.0267129784767339,-0.017907158138445,-0.0166602843419599,-0.0148050424826157,-0.0172207305459461,-0.0028808174446099,0.0083419273235149
9,0.6799999999999999,-0.0158253843261558,-0.0186992356004864,-0.0203677947274244,0.102967345139243,-0.0156194297419642,-0.0166851573078565,-0.0181659153035517,-0.0269292327946105,-0.0181882099489744,-0.0169422181822494,-0.0150859995400518,-0.0174862090187219,-0.0031399177572667,0.0081656175877268
10,0.7,-0.0160733636317215,-0.0189629859623843,-0.0206282736010219,0.1029035972925844,-0.0159196875579342,-0.0169711894683321,-0.0184158831403958,-0.0271488687959966,-0.0184740939347825,-0.017226676447721,-0.0153706618094474,-0.0177550890796733,-0.0034021809678146,0.0079819147331515
