,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
0,0.5,-1.454483539274949e-05,-1.492553197334967e-05,-1.7867392279072463e-05,-1.2923537719282115e-05,-1.2240335521643565e-05,-1.2797577233062394e-05,-1.4229703317609954e-05,-1.9083531426755967e-05,-1.3196152139277666e-05,-1.34361830148993e-05,-1.2952508760275654e-05,0.0001045987152801,4.981766420901802e-05,5.323623913052403e-06
1,0.52,-1.4851057680669218e-05,-1.5287819242832804e-05,-1.8234976788337147e-05,-1.3221863573121584e-05,-1.2483723739466136e-05,-1.3143609709601128e-05,-1.4312269117952438e-05,-1.9248689175789377e-05,-1.3739884142358817e-05,-1.3724334011057158e-05,-1.2959529551445706e-05,0.0001044931516144,4.964998911787352e-05,5.262731216474654e-06
2,0.54,-1.5095850346039178e-05,-1.5320008219569782e-05,-1.81766858487578e-05,-1.3494512975069386e-05,-1.294722146288775e-05,-1.344263462973329e-05,-1.4716171693254496e-05,-1.9448395692712104e-05,-1.399267997200971e-05,-1.4169731518722376e-05,-1.3444674597432566e-05,0.0001042928805399,4.952357036367349e-05,4.958237201478961e-06
3,0.56,-1.532996536526517e-05,-1.5676517100568298e-05,-1.854043534034757e-05,-1.3622538762266148e-05,-1.316594058274431e-05,-1.376445026238646e-05,-1.4712994327470378e-05,-1.966656635811952e-05,-1.424549092085449e-05,-1.4242407559888326e-05,-1.3589162190839457e-05,0.0001041074141448,4.934713333619259e-05,4.783616650786599e-06
4,0.58,-1.5488980249705224e-05,-1.5773185084857088e-05,-1.86128028735912e-05,-1.3925492947209485e-05,-1.3563640044309807e-05,-1.4002715834440644e-05,-1.5163544858808362e-05,-1.985152439145077e-05,-1.4615256324272617e-05,-1.472478737213392e-05,-1.3937510665003396e-05,0.0001040212984326,4.921102958913017e-05,4.487080501234004e-06
5,0.6,-1.594333184478293e-05,-1.6119121764890972e-05,-1.8953200862006003e-05,-1.426053522370046e-05,-1.37689505245925e-05,-1.4223754021287664e-05,-1.536403762521419e-05,-2.014244840490771e-05,-1.4626250761219291e-05,-1.4969223491812524e-05,-1.4290567530771922e-05,0.0001037270290754,4.891174218686844e-05,4.406456735279041e-06
6,0.62,-1.6005971795885594e-05,-1.643270790796255e-05,-1.912338764116773e-05,-1.4570725026009296e-05,-1.401502926134438e-05,-1.4593459329765142e-05,-1.573559289446473e-05,-2.0290809999865345e-05,-1.5120157677455728e-05,-1.5109688197425198e-05,-1.4508379491652137e-05,0.0001036262817284,4.874081298112265e-05,4.104481729250695e-06
7,0.64,-1.638134082488665e-05,-1.654218068928499e-05,-1.9350419130810563e-05,-1.486622154190028e-05,-1.426708566034667e-05,-1.4745186814151348e-05,-1.601221152171576e-05,-2.0656820592968867e-05,-1.5203044527528776e-05,-1.5485547377621648e-05,-1.4791456511306833e-05,0.0001033255165076,4.854344786118971e-05,3.856700743092575e-06
8,0.66,-1.656848393052644e-05,-1.6843990059734626e-05,-1.96307014199771e-05,-1.5127059666567529e-05,-1.4709738362438373e-05,-1.5129089310038244e-05,-1.623271948673064e-05,-2.079186067279921e-05,-1.575238907056944e-05,-1.5820456166096248e-05,-1.516773446159921e-05,0.000103227473198,4.839941050988701e-05,3.577772088058313e-06
9,0.6799999999999999,-1.6831946582770163e-05,-1.718728209977239e-05,-2.0020161456910333e-05,-1.5446472808645115e-05,-1.5010617164494411e-05,-1.5522985247966035e-05,-1.6487175982497343e-05,-2.104943031999813e-05,-1.6137644613150284e-05,-1.6073525984324895e-05,-1.5528894047758797e-05,0.0001029679303455,4.82310752849248e-05,3.246618609220896e-06
10,0.7,-1.7199928934640448e-05,-1.7509353422299487e-05,-2.027184781382576e-05,-1.560349676180007e-05,-1.53384717953021e-05,-1.584123775143004e-05,-1.670232647327342e-05,-2.1317061243678527e-05,-1.6325257779594752e-05,-1.6417860044492457e-05,-1.579254991581059e-05,0.0001028852335684,4.781960659211262e-05,3.0491429921390267e-06
11,0.72,-1.7460658052783518e-05,-1.7804584181092248e-05,-2.0426037002570703e-05,-1.6040802659001546e-05,-1.5706705071452904e-05,-1.6173465889939192e-05,-1.7127858116494777e-05,-2.1558487946190125e-05,-1.6561710120457153e-05,-1.6687294521318237e-05,-1.613958082455541e-05,0.0001027077731793,4.775980147884976e-05,2.686261381930586e-06
