moments,weights
GPDIFF,1
GROWTH,1
KM,5
OUT,4
RD,3
RP,3
SRDUS,1
SRGDP,1
SINNOVPATUS,3
TO,3
SPFLOW,1
DOMPATUS,3
DOMPATEU,3
UUPCOST,1
SINNOVPATEU,3
