,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0
GPDIFF,9.97727544605732,12.050165943801403,7.4408218562603,33.27867241576314,11.74025034531951,20.281139198690653,25.205365050584078,-0.007190082222223282,-0.03231365978717804,-0.005115940105978805,-0.047310080379247665,-0.00011006825211307497,-9.908782825623921e-05,-0.0478929802775383,-2.106264913773198e-09,-9.074300910845687e-09,-5.629683578837508e-09,-8.737803010846079e-07,-3.162225025351742e-07,-1.643673734265434e-06,-2.773540252710437e-07,-0.0381162166595459,-18.58286563679576
GROWTH,0.44913920760154724,0.5424529016017914,0.33495765924453735,1.4980801939964294,0.5285016596317291,0.9129802286624908,1.134650319814682,-0.0003236830234527588,-0.0014546513557434082,-0.00023030702709878759,-0.0021297335624694824,-4.953616417317392e-06,-4.462448148149772e-06,-0.0021559596061706543,-9.494450599479833e-11,-4.0904399612534415e-10,-2.5377032243405213e-10,-3.9387561598719876e-08,-1.4254422172307006e-08,-7.409219500166887e-08,-1.2502340395470125e-08,-0.0017158687114715576,2.587769031524658
KM,1.3891315571963787,-0.7363253831863403,-0.25381936877965927,-1.2700856626033783,-0.4743399880826473,-0.7470774427056313,-1.9141285605728626,-0.061435069888830185,-0.026688039302825928,-0.0005597017391798662,0.0010512731969356537,-9.527717210643712e-05,-0.0009072840918107062,-1.4447217099368572,-1.0617994327136828e-09,-4.574162831937917e-09,-2.83841294010326e-09,-4.404856302458118e-07,-1.5941246118070416e-07,-8.286003470868938e-07,-1.3983827746170023e-07,-1.4785941056907177,-1.8526059240102768
OUT,3.186569679528475,-0.6425018645823002,-0.5791134387254715,-2.6070016883313656,-0.9104399159550667,-1.593147225677967,-0.6003436781466007,0.0002580508589744568,0.0023147687315940857,0.0007152737880892859,0.003978848457336426,0.0001383306105691546,0.00010036343966204626,0.020299606025218964,2.6299019321322932e-06,1.2615605848516145e-08,7.82670420347112e-09,1.2147787454905827e-06,4.3963039044110396e-07,2.2851280973355857e-06,3.855932371756428e-07,0.008705735206604004,0.3497895449399948
RD,71.28578542172909,1.250623419880867,2.224429316818714,10.377355217933655,3.6215058341622353,6.31506460160017,-3.4995658546686172,-0.008230306208133698,-0.0144929438829422,-0.0014016304763410322,-0.01443319022655487,6.747558137462088e-05,-3.4980683911822377e-06,-0.16734642535448074,1.2863563480116147e-09,5.542371715090684e-09,3.438479651359899e-09,5.336846632611196e-07,1.9314134178991033e-07,1.003917646453849e-06,1.6940138087017862e-07,-0.030249670147895813,-3.6440233811736107
RD,1.790177822113037,147.43591359630227,2.3687002696096897,11.42741958424449,4.059311971068382,6.841108795255423,-2.949570283293724,-0.11030155792832375,-0.021985013037919998,-0.0012394518859745038,-0.015747331082820892,0.0002705273416544244,0.00013962136697323715,-0.07517852634191513,4.7273102341168075e-09,2.036683694673465e-08,1.263555712317759e-08,1.9611583409349817e-06,7.097311751799543e-07,3.689147546275792e-06,6.225079226174154e-07,-0.016291283071041107,-3.8353198654949665
RD,2.0544664599001408,2.013598181307316,35.07565623894334,8.065238986164331,2.8777134008705616,4.99553956463933,-0.26495032757520676,-0.006690438836812973,-0.4286813400685787,-0.0026524829080527374,-0.012790493667125702,-0.0004836840142972533,-0.0004280103662056785,-0.09709297120571136,-9.167914377369792e-09,-3.949760224419714e-08,-2.450446003399111e-08,-3.8032931814951532e-06,-1.3764179465186937e-06,-7.154399221834921e-06,-1.2072355852657901e-06,-0.018628086894750595,-3.038222346454859
RD,1.3202004730701447,1.1629398614168167,0.861818328499794,7.410020425915718,1.6319953501224518,2.819632664322853,0.6923455148935318,-0.0018494278192520142,-0.0061995238065719604,-0.005837148996609338,-0.006605014204978943,-5.204204290071358e-05,-4.943322963328583e-05,-0.013317123055458069,-1.3777075384810236e-09,-5.935498754010724e-09,-3.6823751158314324e-09,-5.715395532198041e-07,-2.0684108761969154e-07,-1.0751267229932995e-06,-1.8141722294535592e-07,-0.0028423964977264404,-2.0311088263988495
RD,1.0437081605196,1.0111540406942368,0.9077903181314468,4.156015321612358,1.6448742598295212,2.5178536772727966,1.9587665349245071,-0.0009421408176422119,-0.0039200931787490845,-0.0006445117800652777,-0.023562610149383545,-3.3099692797873136e-05,-2.8133587637352884e-05,-0.014161482453346252,-7.913391768308458e-10,-3.4097174900896224e-09,-2.1156545004629933e-09,-3.2836965000212094e-07,-1.1882231019751437e-07,-6.176982568369408e-07,-1.0423059903259742e-07,-0.0035731345415115356,-1.9131720066070557
RD,1.8974205926060677,1.0176030918955803,1.5474440082907677,7.008096590638161,2.470724008977413,65.58454362303019,-0.6515210419893265,-0.0049320608377456665,-0.0071111321449279785,-0.0011570597209778182,-0.010113134980201721,-0.00047631754481281533,-0.000111629148641167,-0.01562902331352234,-1.7245384017978428e-09,-7.430166447741659e-09,-4.60966486012004e-09,-7.154637188697106e-07,-2.589274756746833e-07,-1.3458633950276493e-06,-2.2710141452901677e-07,-0.005784489214420319,-2.656976595520973
RD,-0.4764994075521827,-1.8974260035902262,1.6452657897025347,10.122655356302857,3.668592811562121,5.982083580456674,283.0636213980615,-0.020065056160092354,-0.04163734149187803,-0.0025352620236445303,-0.015728116035461426,-0.00034562775675003784,-0.0005202795912257223,-0.0641059409826994,-5.9551170483476475e-09,-2.565707206746529e-08,-1.591761158444971e-08,-2.470564330665334e-06,-8.941012224095465e-07,-4.647394424075561e-06,-7.841878087430834e-07,-0.007899254560470581,-3.563206206075847
RP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP,3.973799410276115,-5.275247311219573,0.026434932835400105,0.10192468948662281,0.04354683682322502,0.060286845080554485,0.619472193531692,-0.010393708012998104,-0.00039621349424123764,-0.00038931715636365106,-0.0006442749872803688,-0.00020356194788616455,-0.0001602163542149313,0.013780694454908371,2.623774595315376e-06,-1.1331423151961173e-05,-8.550341911286132e-09,-1.3271178029421556e-06,-4.802936751201405e-07,-2.4964498195534987e-06,-4.212583957145063e-07,0.00389719195663929,-0.016526872292160988
RP,3.9877133015543222,0.21750078909099102,-2.7701157424598932,0.057100579142570496,0.018681716173887253,0.022840647026896477,0.5762919690459967,0.001242760568857193,-0.10137417539954185,0.002053357615533242,0.00202825665473938,0.0008397855156186189,0.0006263465700299703,0.005225472152233124,2.643021392818399e-06,6.913737500607929e-08,-6.978556170143055e-06,6.657405965641625e-06,2.4093430700457048e-06,1.2523200240993695e-05,2.1131987552395653e-06,0.002061363309621811,-0.016819288954138756
RP,3.7201968170702457,-0.11852460354566574,-0.2153399270027876,-4.4729084353893995,-0.2612736988812685,-0.47087387368083,-0.004838844761252403,-0.00011906586587429047,0.0008230600506067276,0.00032635584216913317,0.0016532093286514282,0.0003175656214927509,0.00022421390995060184,0.01802791841328144,2.6341415383514746e-06,3.088085934287653e-08,1.9158205169481937e-08,-0.001086821790271426,1.0761271922190126e-06,5.593733627678633e-06,9.438667206130268e-07,0.006319580599665642,0.1527734138071537
RP,3.6490423250943422,-0.14104871777817607,-0.203919546213001,-0.9089535167440772,-0.8988899067044258,-0.5629322589375079,0.4022961566224694,-0.00014215288683772087,0.0007251603528857231,0.0005747525817174211,-7.629813626408577e-05,0.0002637682643238557,0.00018929076005837127,0.017540279310196638,2.6328104933047462e-06,2.514629854605091e-08,1.5600449408417226e-08,2.4213377519801533e-06,-0.0003935224270034347,4.554875448833772e-06,7.685773771951948e-07,0.006139358039945364,0.18380990577861667
RP,3.8978399829939008,-0.23640994913876057,-0.00782759953290224,-0.03656374383717775,-0.003465418703854084,-7.435410932637751,-0.6500828992575407,-3.053806722164154e-06,0.00018774531781673431,0.0005040827660834147,0.0005720518529415131,0.00024275591158594715,0.00020426604344355462,0.017488382756710052,2.6325021134480547e-06,2.381820017416966e-08,1.477728530682244e-08,2.29349614079966e-06,8.300199584474342e-07,-0.0020457067916789698,7.279980857943325e-07,0.005916147492825985,0.009352205321192741
RP,3.651197586368653,-0.6014379599073436,-0.09447149481275119,0.006665246997727081,0.009833499949309044,-0.009211004129610956,-11.185241957238759,0.0003588403487810865,0.0014331453567137942,0.0008066581085311777,0.0008776975446380675,0.0003624032744074594,0.00026302528508517667,0.018790317088132724,2.633762140001927e-06,2.924625606072316e-08,1.8144201036100423e-08,2.81617313305016e-06,1.0191928326089605e-06,5.297481866365964e-06,-0.0003450273436776742,0.006937371144886129,0.008096295714494772
SRDUS,72.8119560033083,0.3649896830320358,1.7282897680997849,8.166967317461967,2.8393999487161636,4.968885153532028,-5.554517671465874,-0.009670153260231018,-0.015542596578598022,-0.001144215407623608,-0.0113869309425354,3.983823907448212e-05,-1.7814724237800268e-05,-0.2308649867773056,8.170490963646185e-10,3.5200459879784415e-09,2.1838316020124403e-09,3.389513829689412e-07,1.2266705306488503e-07,6.377616017521049e-07,1.0758943675078342e-07,-0.1772930771112442,-2.022942006587982
SPFLOW,5.039480250328779,-29.02837210521102,8.459518104791641,-0.9381895177066326,-0.6596335098147392,-0.10354684293270111,3.9425229132175446,0.7465143017470837,0.2827315963804722,0.2456429493799766,0.05997174605727196,0.025380577570045793,0.07773507633284954,-0.07124767079949379,-4.557589338139432e-09,-1.9635202016564826e-08,-1.2181651836968921e-08,-1.8907079342481454e-06,-6.842502558010463e-07,-3.5566228339473806e-06,-6.001456607853258e-07,19.871297512203455,-0.8694645389914513
SPFLOW,9.197088200598955,8.834559513255954,-29.719119888730347,-3.258397231809795,-1.4664731714874506,-1.6796034751459956,4.886416685767472,0.6842756634578109,0.685647988691926,0.2476329821301925,0.06460756715387106,0.02596366131940829,0.07819226411819087,0.004997855983674526,6.541498062517281e-09,2.8182362740239655e-08,1.7484298381811425e-08,2.7137289850075373e-06,9.82102903643084e-07,5.104813016538556e-06,8.61387761376946e-07,18.999819916673005,-0.21501544769853354
SPFLOW,11.379715543240309,9.558499690145254,8.47788505256176,-10.327732890844345,-0.7227657437324524,-0.3905143365263939,4.829542078077793,0.680039070546627,0.27801773324608803,0.2517473345440571,0.06059788540005684,0.02558572676826286,0.0778615492585454,-0.040355004370212555,-7.039861825094055e-10,-3.0329434893942094e-09,-1.881633893953979e-09,-2.9204743168347197e-07,-1.0569243732238296e-07,-5.493722987597089e-07,-9.270125527771292e-08,22.74063717201352,-0.8556843958795071
SPFLOW,11.698032930493355,9.732289910316467,8.427336990833282,-0.7292006760835648,-1.5589977502822876,-0.0492459237575531,3.4186052083969116,0.678959995508194,0.27506034076213837,0.2458977413142766,0.08035725355148315,0.02557289940180663,0.07784038988996865,-0.02492488920688629,-1.2114028227566593e-09,-5.219017639262387e-09,-3.2378712354911897e-09,-5.025483339162894e-07,-1.8187305389996828e-07,-9.453468974200138e-07,-1.5951813417162735e-07,22.486435189843178,-0.9820864051580429
SPFLOW,10.732688071206212,9.740434591658413,7.811376487836242,-3.4656474110670388,-1.4995078188367188,-102.35760381165892,6.088930791243911,0.6830747732892632,0.2781550129875541,0.24638758774889075,0.06384389381855726,0.026027087014121306,0.07792564147144186,-0.042974610812962055,-1.4767071769613407e-10,-6.362013245972711e-10,-3.9469841094195507e-10,-6.126093794097273e-08,-2.2170432406521606e-08,-1.152383436718054e-07,-1.9445354523005155e-08,22.960133219137788,-0.2602751739323139
SPFLOW,5.07265954464674,11.49002705141902,9.14165511727333,1.1590506844222546,0.038690242916345596,1.2016223035752773,-5.560473408550024,0.6890175230801105,0.291189257055521,0.24612977390459959,0.05801023170351982,0.025712253294640396,0.07808655549413723,-0.08923467993736267,9.847708942680095e-10,4.242632236997306e-09,2.6321230991054298e-09,4.085304763261681e-07,1.478478393543442e-07,7.684893018883117e-07,1.2967512761996677e-07,22.502393532544374,-1.3736107610166073
SPFLOW,-49.132051430642605,6.235417239367962,8.33808059245348,-1.3903221115469933,-0.736603070050478,-0.4581201281398535,10.304000351577997,-2.6820075307041407,0.279799135401845,0.24580865737334906,0.06044816039502621,0.025460273670795,0.07779755663429712,0.09397154673933983,-2.438102541535135e-09,-1.0503938022570021e-08,-6.516628441108015e-09,-1.0114425582873832e-06,-3.660426958071753e-07,-1.9026310901168157e-06,-3.210505713200835e-07,12.69092869386077,0.7438715659081936
SPFLOW,12.001309351995587,8.170308079570532,-35.906173929572105,-1.1295573394745588,-0.7097067609429359,-0.3892382215708494,7.82622954249382,-2.670065313577652,0.7078606616705656,0.2473700363878145,0.061600636690855026,0.02597209286002823,0.07820039942856116,0.04993438720703125,6.742540270406986e-09,2.9048501409807038e-08,1.8021649599604053e-08,2.797130991940221e-06,1.012286224686111e-06,5.2617010672420495e-06,8.878611006245236e-07,15.704805962741375,0.669855959713459
SPFLOW,12.550491765141487,10.040468901395798,9.122889444231987,-7.373395256698132,0.29492543637752533,1.3683540597558022,7.0112570486962795,-2.656201969832182,0.2751000188291073,0.2512755947818133,0.05648045614361763,0.025567727756497707,0.07784714602769786,-0.027620740234851837,-1.1317678653031332e-09,-4.875930897309706e-09,-3.025020701189494e-09,-4.695119116478535e-07,-1.6991711931141548e-07,-8.832018713884968e-07,-1.4903176284312401e-07,22.464377589523792,-0.18183283135294914
SPFLOW,12.855798088014126,10.21122869849205,9.067735940217972,2.1341416388750076,-0.5453874170780182,1.6961845085024834,5.585725098848343,-2.6457309126853943,0.27217094600200653,0.24543993130031835,0.07625661045312881,0.025555096616043924,0.0778261543296925,-0.022693708539009094,-1.663249597554932e-09,-7.16568330952202e-09,-4.445579891509962e-09,-6.899961750428198e-07,-2.497107304214805e-07,-1.2979562348266768e-06,-2.190175451794937e-07,22.001312740147114,-0.310462087392807
SPFLOW,12.030195765197277,10.04376294836402,8.462210275232792,-0.5562077648937702,-0.47288447991013527,-99.82575622946024,8.309457704424858,-2.659436520189047,0.27521703764796257,0.24592215316335747,0.059690408408641815,0.026007746397909797,0.07791093974862126,-0.02840723842382431,-5.774609879534377e-10,-2.4878422152399663e-09,-1.5434538267444216e-09,-2.3955867688773656e-07,-8.669667216738962e-08,-4.5063536512209047e-07,-7.604035389782203e-08,22.861596286296844,0.40935348719358444
SPFLOW,14.91251586843282,2.600642346777022,9.566786222159863,2.744851939380169,0.6234434563666582,2.175222313962877,-69.31902851071209,-2.6841692281886935,0.2924471730366349,0.2459583578107028,0.05571739375591278,0.025726615947875026,0.07811845975183002,-0.014298194088041782,1.2905759632500562e-09,5.560114761564404e-09,3.4494874125475704e-09,5.353931722297208e-07,1.9375965394570537e-07,1.0071315336437535e-06,1.6994369321009408e-07,22.069738215766847,-0.3388162301853299
SPFLOW,-60.60143206641078,9.687910459935665,5.815971411764622,-5.420942176133394,-2.1646854653954506,-2.9250423051416874,8.217120368033648,0.6855862438678741,-4.901310488581657,0.24632699604004113,0.06621604785323143,0.025483705235776036,0.07781806669036703,0.07989675179123878,-1.7516907085495535e-09,-7.546709100155837e-09,-4.681967758489443e-09,-7.266858146450388e-07,-2.6298877026482087e-07,-1.366973351439372e-06,-2.3066351524403744e-07,14.981713723391294,0.2835710048675537
SPFLOW,12.184425186365843,-77.78078573197126,4.1126787550747395,-3.418884798884392,-1.5320584028959274,-1.632728461176157,6.701876997947693,0.7614046670496464,-5.018469862639904,0.24585569114756148,0.06341808289289474,0.025361327072442815,0.0777260582862358,-0.033713847398757935,-4.648586258064084e-09,-2.002723885293656e-08,-1.2424870941306035e-08,-1.9284578466972386e-06,-6.979120101005175e-07,-3.627634436619556e-06,-6.121281810577433e-07,18.571382984519005,-0.29952744394540787
SPFLOW,11.624620109796524,9.48540635406971,8.20381560921669,-10.50029669702053,-0.7907761186361313,-0.5079512447118759,4.681091129779816,0.6800816059112549,-4.756714463233948,0.25166262539295703,0.06086266040802002,0.025583829916905877,0.07786024734587349,-0.037174373865127563,-7.324290462455871e-10,-3.1554822558240834e-09,-1.957656773062688e-09,-3.038469037615533e-07,-1.0996268532922548e-07,-5.715683614414456e-07,-9.644662590791239e-08,22.60190297663212,-0.8795443326234818
SPFLOW,11.937049578875303,9.659534271806479,8.16045012138784,-0.9187951311469078,-1.624001406133175,-0.16544269397854805,3.2721288595348597,0.6790025755763054,-4.682893585413694,0.24582628351462996,0.0806100182235241,0.025570894262766816,0.07783905510071412,-0.02091003954410553,-1.2390612302865938e-09,-5.338176777792504e-09,-3.311797398183199e-09,-5.140223757146372e-07,-1.8602552816284982e-07,-9.669307911131973e-07,-1.6316020721327148e-07,22.242637107148767,-1.0055355373769999
SPFLOW,11.081317886710167,9.66931164264679,7.514833740890026,-3.7211730554699898,-1.5895854383707047,-103.81158421933651,6.000454060733318,0.6831356659531593,-4.726256914436817,0.24632008682922818,0.06419814378023148,0.026027405336303055,0.07792484983072943,-0.029673434793949127,-1.3821612253293935e-10,-5.954686318860954e-10,-3.6942790541972086e-10,-5.7338715738861394e-08,-2.075097385531473e-08,-1.0786022630573437e-07,-1.820036866739281e-08,22.912202291190624,-0.2626381143927574
SPFLOW,14.076647525653243,12.37825168762356,3.2142557157203555,-0.14428758062422276,-0.42905458621680737,0.3745151059702039,-58.11824383120984,0.6902017286047339,-5.101989100687206,0.2463318570142649,0.06001995783299208,0.025765243399838114,0.07814501087995708,-0.06134901288896799,1.983231814586975e-09,8.5442444318581e-09,5.300837281482934e-09,8.227402359212348e-07,2.977510204984587e-07,1.5476619399962138e-06,2.6115296476923777e-07,22.278755717910826,-1.099555978551507
SPFLOW,-32.94722566008568,11.168298128992319,8.749509304761887,-1.4338452108204365,0.4037502370774746,1.510921586304903,7.959110226482153,0.6836059466004372,0.27778252959251404,-1.453040296284772,0.05575452744960785,0.0254715145136833,0.07780428044338675,0.09164172038435936,-2.4470984828680645e-09,-1.0542694723162388e-08,-6.540673043886615e-09,-1.01517450875336e-06,-3.673932947096953e-07,-1.9096512860984504e-06,-3.2223516140819373e-07,-75.4795675650239,1.4543922506272793
SPFLOW,13.97680165246129,4.906288303434849,9.05647949129343,-2.1578713227063417,1.3346686139702797,3.256370449438691,1.740636721253395,0.735722417011857,0.2791802864521742,-1.4535328750061143,0.0518666785210371,0.025398708125908883,0.0777457047840688,-0.0012741424143314362,-4.309081203512055e-09,-1.8564568603998478e-08,-1.151743236696263e-08,-1.7876147709538415e-06,-6.469406734601238e-07,-3.3626936225897344e-06,-5.67421984385082e-07,-31.485109394416213,0.6793264783918858
SPFLOW,13.549240685999393,10.421397905796766,5.315351638942957,-0.098520677536726,1.4805144034326077,3.4021454080939293,2.72586689889431,0.6817253194749355,0.556444812566042,-1.4526150145291727,0.05228877812623978,0.025817882478520345,0.0780689884401552,0.023732896894216537,3.4545679970394145e-09,1.4883118128742966e-08,9.23346564704944e-09,1.433121467689883e-06,5.186489743328453e-07,2.695853993881351e-06,4.5489925473571294e-07,-46.92187637463212,0.611723143607378
SPFLOW,13.709769017994404,11.806667268276215,9.711081147193909,4.937446519732475,0.46622661501169205,3.440947376191616,7.771417208015919,0.6777136027812958,0.26940561830997467,-1.451367881103684,0.07204797118902206,0.025551212794721428,0.07782289954801275,-0.024709753692150116,-1.7771728827331255e-09,-7.6564924967705e-09,-4.750077224025448e-09,-7.372570498609e-07,-2.668145173670365e-07,-1.3868589698739884e-06,-2.3401902078194746e-07,12.886579386889935,0.5089252889156342
SPFLOW,12.882144391536713,11.79333022609353,9.091592444106936,2.0866948794573545,0.5416212249547243,-96.36225918494165,10.25436364300549,0.6818016692996025,0.27252199687063694,-1.451808449401233,0.05546969920396805,0.026001534028024933,0.07790756825507318,-0.025167761370539665,-6.764163426156601e-10,-2.914165921756e-09,-1.8079444573090167e-09,-2.8061013201348124e-07,-1.0155326009510991e-07,-5.278575209200719e-07,-8.90708448670347e-08,21.048133950680494,1.226129187270999
SPFLOW,15.138182636350393,11.915913404896855,9.513672238215804,-1.581612316891551,1.948342865332961,4.380879543721676,65.81544680148363,0.6864653639495373,0.28617608174681664,-1.4530660544906426,0.05008707568049431,0.02567076166980456,0.0780316324231488,-0.01285223662853241,2.7205447333424223e-10,1.1720767596864539e-09,7.271547805139911e-10,1.1286132056179034e-07,4.084469423626669e-08,2.1230415470760714e-07,3.5824270147041396e-08,13.588558722287416,0.2380636241286993
SPFLOW,12.009570367634296,7.811922702938318,9.098186396062374,2.930148223415017,-0.05947939679026604,2.0445405393838882,1.2202343307435513,0.6829603407531977,0.2753806672990322,0.24523719849522538,-2.7683944702148438,0.02541713229401267,0.07781076425342322,0.04898059740662575,-2.6150986361994785e-09,-1.1266480194984393e-08,-6.9897085371274656e-09,-1.0848690773711376e-06,-3.9261587168249546e-07,-2.04075418658248e-06,-3.4435750626041287e-07,-32.86353916302323,0.13820119202136993
SPFLOW,11.826040513813496,33.824445920065045,9.28769751638174,3.816359868273139,0.04079576954245567,2.606129966676235,-1.309534566476941,0.7269332055002451,0.27717054076492786,0.2450086326866623,-2.7716105468571186,0.02534802731005477,0.07775882418436486,-0.009590337052941322,-4.006989648990226e-09,-1.7263084801827805e-08,-1.0709993638493089e-08,-1.6622926200035436e-06,-6.015863845760617e-07,-3.1269493198365568e-06,-5.276424162504546e-07,-7.894079603254795,-0.13186511397361755
SPFLOW,11.939127065241337,8.873361550271511,-15.042710520327091,1.2662931233644485,-0.22782130539417267,1.029140442609787,4.55886285007,0.6832266598939896,0.6312868222594261,0.24674602262895262,-2.757744073867798,0.02582232154675347,0.07813571365636256,0.04018896073102951,5.10792332438007e-09,2.2006174518626125e-08,1.3652599857303613e-08,2.1190130221076765e-06,7.668742359192053e-07,3.9860890004975655e-06,6.726139174272992e-07,-16.63503824174404,0.578346461057663
SPFLOW,12.787627816200256,10.885604120790958,9.303438164293766,-6.496843885630369,0.5751432217657566,1.862772949039936,7.576850511133671,0.6792281866073608,0.274442657828331,0.2511509193599079,-2.751526318490505,0.025496818946843244,0.07784926218373275,-0.02450559288263321,-1.0898627208661966e-09,-4.695393355309821e-09,-2.9130154629296884e-09,-4.5212763605950593e-07,-1.6362572189208169e-07,-8.505001989677176e-07,-1.4351367230610415e-07,19.79304653033614,0.14712874218821526
SPFLOW,12.162686854600906,10.427446134388447,8.79187785834074,1.0886843502521515,-0.06827681511640549,-72.22803377360106,7.017884306609631,0.6820639446377754,0.2739877328276634,0.24567656307326707,-2.7545211389660835,0.025892521035747237,0.07790466580077055,-0.026004567742347717,-6.914854932872759e-10,-2.9790874835077705e-09,-1.848221703313675e-09,-2.868615427096533e-07,-1.0381565572506963e-07,-5.396170897163122e-07,-9.105515822137969e-08,21.923868216574192,0.528028130531311
SPFLOW,12.819417864084244,8.556129924952984,9.593484163284302,4.330243922770023,0.1967359259724617,2.9486323669552803,60.81322427839041,0.6876246556639671,0.2859499454498291,0.24554080716977086,-2.771586410701275,0.025596144188703856,0.07803152776602744,-0.014231860637664795,2.557327232365224e-10,1.1017586953205565e-09,6.835295518439581e-10,1.0609027119314048e-07,3.839424053127255e-08,1.9956709026835437e-07,3.367501386903547e-08,17.685988761484623,-0.23676051199436188
SPFLOW,-39.81730192154646,11.905713848769665,9.447814270853996,3.6205941885709763,1.0312862768769264,-4.4042545929551125,11.281309373676777,0.6833973973989487,0.2749103605747223,0.2450564039999947,0.05335455387830734,-0.844909531789409,0.07774436177566861,0.0967462882399559,-2.8111367726444953e-09,-1.2111060109158977e-08,-7.513684733261954e-09,-1.1661951540516501e-06,-4.2204791021364213e-07,-2.193737191560606e-06,-3.701719068584158e-07,-258.52910793572664,1.7207504287362099
SPFLOW,14.831368062645197,-5.47093937639147,10.284198367968202,7.294314634986222,2.278558684512973,-10.915162591263652,6.440973594784737,0.7385095991194248,0.27410899940878153,0.2444034600952024,0.048183267936110497,-0.8449567285035752,0.07767803053050969,-0.002564036287367344,-4.973540915242176e-09,-2.14272224553469e-08,-1.3293418807920344e-08,-2.0632647156391256e-06,-7.466988337480869e-07,-3.881220503281051e-06,-6.54918374071717e-07,-132.79666520562023,0.7178668482229114
SPFLOW,13.37094746157527,11.344969131052494,-33.02747592329979,3.5358387790620327,0.9372483529150486,0.09729279205203056,10.558775901794434,0.6829516775906086,0.6967270150780678,0.246628343391813,0.05495716631412506,-0.8443880706358259,0.07813674926871521,0.05456933379173279,6.220636495383074e-09,2.6800013164048202e-08,1.662669064037135e-08,2.580620127283292e-06,9.339305929982788e-07,4.854421089680237e-06,8.191365485226116e-07,-176.88491634652019,1.7389084622263908
SPFLOW,13.901746038347483,12.239784512668848,10.133422765880823,-2.819458145648241,1.8906293585896492,3.6819382682442665,10.429212164133787,0.6784311048686504,0.27082985639572144,0.2505754509825587,0.050056617707014084,-0.844717109664358,0.07778832653372546,-0.028054658323526382,-1.5238188331542553e-09,-6.564981705404044e-09,-4.07290545744503e-09,-6.321535672579194e-07,-2.2877739722067786e-07,-1.1891481339580213e-06,-2.0065723185885394e-07,6.547560431063175,0.9251288920640945
SPFLOW,14.208958007395267,12.409156806766987,10.07977356761694,6.663006991147995,1.0538133457303047,4.022578038275242,9.014036864042282,0.6773584932088852,0.26789431273937225,0.24474364566561133,0.06981896609067917,-0.8446833224537885,0.0777673775752775,-0.026928022503852844,-2.0653972759316203e-09,-8.898233199293867e-09,-5.520451417128821e-09,-8.568264332855854e-07,-3.1008687039011137e-07,-1.6117817047004832e-06,-2.719725541253389e-07,-6.038504786789417,0.7947815209627151
SPFLOW,16.124935714993626,13.019900263752788,10.84432175802067,8.891865427140146,2.808890145737678,-11.797941473312676,22.88162882439792,0.6870433609001338,0.2825407851487398,0.2448991794459815,0.04682295024394989,-0.8446430179962675,0.07800230116900361,-0.013061591889709234,1.4292602290028527e-10,6.15760026816487e-10,3.8201665842159665e-10,5.929260963613265e-08,2.1458091213209358e-08,1.1153570866039472e-07,1.8820570721259247e-08,-4.018221233971417,0.33939104061573744
SPFLOW,-2.1398201659321785,10.562337338924408,9.903227966278791,7.226279027760029,2.2924598939716816,4.757304146885872,-8.905577346682549,0.6825813613831997,0.27272289991378784,0.24457254354768423,0.04834781587123871,0.0254670696313464,-0.6058970123515129,0.06257401034235954,-2.998242230353861e-09,-1.2917155873378271e-08,-8.013785416651448e-09,-1.2438155246435835e-06,-4.501388477248463e-07,-2.3397493690239165e-06,-3.9481004781899847e-07,-37.02647785842419,0.9506956711411476
