,0
eta,0.0006548615513395362
eta,0.0029432158280613407
eta,0.0013080034938561802
eta,0.000980854245048235
eta,0.0011452870060733034
eta,0.002253313809571722
eta,0.0033556388658837477
delta,0.0007856308768052767
delta,0.0008556714117125552
delta,0.0006235653656484486
delta,0.0007928656288909153
delta,0.00016399278411483031
delta,8.007519691971554e-05
fe,0.0008525995850610091
T,-9.252821218392116e-10
T,5.48612459150783e-09
T,3.495141450730108e-09
T,7.792286415548135e-07
T,2.585032849906641e-07
T,2.039991614034112e-06
T,1.635386630713197e-07
fo,219.37425638172428
g_0,0.0003770543958374617
