,tariff_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
0,0.0,-4.584363133992014e-05,-4.704232372772833e-05,-5.058667699236012e-05,-4.328575291225882e-05,-4.3035704686723935e-05,-4.348662827571859e-05,-4.498977959699831e-05,-5.320716273947041e-05,-4.469030284998317e-05,-4.418703103691506e-05,-4.3056312647527424e-05,0.000113317095956,3.0024413056306728e-05,-1.1733817634091664e-05
1,0.0266666666666666,-4.580304982177452e-05,-4.691399081446944e-05,-5.038764162828855e-05,-4.319725988507663e-05,-4.2925660708883736e-05,-4.3326194607593405e-05,-4.500351798760096e-05,-5.309998566955285e-05,-4.459550291793979e-05,-4.4139799632323815e-05,-4.306959689516883e-05,0.0001131299043287,2.993490735942006e-05,-1.1662227266895905e-05
2,0.0533333333333333,-4.570302193092501e-05,-4.680358681549503e-05,-5.038912360600654e-05,-4.310300892351474e-05,-4.283080858494938e-05,-4.3319960359725246e-05,-4.488969372904398e-05,-5.295435934076541e-05,-4.44782799822498e-05,-4.402926607249328e-05,-4.293154384499402e-05,0.0001128295480821,2.989351038340817e-05,-1.1576183230258024e-05
3,0.08,-4.5574826936575775e-05,-4.678056936091206e-05,-5.020163462457315e-05,-4.301680259949979e-05,-4.272943148226117e-05,-4.319747428348401e-05,-4.4708334971894345e-05,-5.284927393806416e-05,-4.4401894547553264e-05,-4.398027537481964e-05,-4.2892494864541904e-05,0.0001125548905494,2.9866034822463965e-05,-1.1613460443030692e-05
4,0.1066666666666666,-4.552106124690196e-05,-4.664621279038963e-05,-5.014652993355876e-05,-4.293293608941438e-05,-4.267649528345642e-05,-4.311800527835852e-05,-4.471884999130992e-05,-5.273356541257428e-05,-4.437584633191384e-05,-4.3866419926094565e-05,-4.285170339532609e-05,0.0001123319732933,2.9801343032398868e-05,-1.1546980110371324e-05
5,0.1333333333333333,-4.539465211204274e-05,-4.655006137505766e-05,-5.001651128102888e-05,-4.286487132120934e-05,-4.260592290806782e-05,-4.305799991580028e-05,-4.458390755578476e-05,-5.270882422890447e-05,-4.422479013521187e-05,-4.376088685663713e-05,-4.267841650371834e-05,0.0001121416623993,2.967762724169637e-05,-1.1655958961981136e-05
6,0.16,-4.531216168159342e-05,-4.643516008904894e-05,-4.991636476756744e-05,-4.282715557158592e-05,-4.2487093447165616e-05,-4.290103436207603e-05,-4.453556646337959e-05,-5.24798259780329e-05,-4.411924730366554e-05,-4.3690478635772126e-05,-4.261963887821027e-05,0.0001116530847279,2.9609787471998265e-05,-1.1580436803214366e-05
7,0.1866666666666666,-4.526261491240072e-05,-4.629085508986887e-05,-4.978069785713864e-05,-4.276882763435094e-05,-4.239650443774738e-05,-4.284793616258206e-05,-4.44347947572229e-05,-5.2421769122539296e-05,-4.404636653974654e-05,-4.359838061176618e-05,-4.256174257526469e-05,0.0001116257233129,2.9561240324537296e-05,-1.1588100733995948e-05
8,0.2133333333333333,-4.514237707169778e-05,-4.62573466388421e-05,-4.969677812602637e-05,-4.263295153000192e-05,-4.232899824039139e-05,-4.276649137829115e-05,-4.432450366180535e-05,-5.235502582361005e-05,-4.398599399620877e-05,-4.3484947682127006e-05,-4.246755858104461e-05,0.0001112816496682,2.9432926193008185e-05,-1.1509628623392113e-05
9,0.24,-4.506865620210823e-05,-4.617056840196654e-05,-4.960163174274046e-05,-4.25685932461202e-05,-4.227396373644391e-05,-4.264287241457288e-05,-4.423403248109424e-05,-5.221347423336715e-05,-4.3905305773808e-05,-4.352137979056914e-05,-4.238865963633515e-05,0.0001112040469863,2.9459810147841645e-05,-1.14791577992283e-05
