,delta_dom,delta_int,welfare
USA,0.01,0.01,9.061097759438425
EUR,12.0,12.0,11.12992166122315
JAP,0.01,0.01,8.578747352686506
CHN,12.0,12.0,10.587809067113767
BRA,12.0,12.0,10.732034613937216
IND,12.0,12.0,10.5359326820398
CAN,12.0,12.0,14.545412221461334
KOR,0.0347565019972236,0.0347565019972236,9.52292825492205
RUS,12.0,12.0,10.579976827251315
MEX,12.0,12.0,12.802462881990763
ZAF,12.0,12.0,10.816094314918942
ROW,12.0,12.0,11.317299224485495
Negishi,,,10.25678454154027
Equal,,,10.91573195207458
