,Patent
USA,0.0156602800890694
EUR,0.0036857402370594
JAP,0.0187496272311651
CHN,0.0004993787568722
BRA,0.00019394105772
IND,0.000121372542598
CAN,0.0045581341713191
KOR,0.0257886200320573
RUS,0.0002099849222838
MEX,0.0001662702333307
ZAF,0.0002614398155645
ROW,0.0004086220785213
count,12.0
mean,0.005858617597296733
std,0.008969316732592601
min,0.000121372542598
25%,0.00020597395614285
50%,0.00045400041769675
75%,0.007333670650756675
max,0.0257886200320573
