,delta dom,delta int
USA,0.1870992897676471,0.1870992897676471
EUR,0.209363961113195,0.209363961113195
JAP,0.1429345013462049,0.1429345013462049
CHN,0.2950343318183622,0.2950343318183622
BRA,0.4572901240363533,0.4572901240363533
IND,0.5962644654484447,0.5962644654484447
CAN,0.1737088532362067,0.1737088532362067
KOR,0.0874160813786637,0.0874160813786637
RUS,0.5464299654248658,0.5464299654248658
MEX,0.4529732125715587,0.4529732125715587
ZAF,0.482253029217611,0.482253029217611
ROW,3.4544105110783914,3.4544105110783914
count,12.0,12.0
mean,0.5904315272031254,0.5904315272031254
std,0.9182371742648162,0.9182371742648162
min,0.0874160813786637,0.0874160813786637
25%,0.18375168063478697,0.18375168063478697
50%,0.37400377219496045,0.37400377219496045
75%,0.4982972632694247,0.4982972632694247
max,3.4544105110783914,3.4544105110783914
