,delta_dom,delta_int,welfare
USA,0.01,0.01,12.37444490714769
EUR,0.01,0.01,10.547911136151782
JAP,0.01,0.01,11.71510033397594
CHN,12.0,12.0,14.59372038743949
BRA,12.0,12.0,14.961805270122568
IND,12.0,12.0,14.734718062649605
CAN,0.01,0.01,11.434185649329848
KOR,0.01,0.01,11.954540573023323
RUS,12.0,12.0,16.25895713441652
MEX,0.01,0.01,9.15804939008244
ZAF,12.0,12.0,15.501878205433982
ROW,12.0,12.0,15.882778813263215
Negishi,,,12.971724269040081
Equal,,,15.09855691466106
