,delta_dom,delta_int,welfare
USA,0.01,0.01,12.274197864571207
EUR,0.01,0.01,10.473559038349194
JAP,0.01,0.01,11.642282824673103
CHN,9.641806409202312,9.641806409202312,14.515162475950191
BRA,6.558482941045493,6.558482941045493,14.888028792615614
IND,10.586802780265735,10.586802780265735,14.662003317295927
CAN,0.01,0.01,11.338293473014389
KOR,0.01,0.01,11.863655906838133
RUS,5.631050996942968,5.631050996942968,16.17536101171089
MEX,4.355941507610282,4.355941507610282,16.39271602420041
ZAF,2.8417260008487792,2.8417260008487792,15.421805527993143
ROW,6.165574598442524,6.165574598442524,15.80352435357291
Negishi,,,13.003751775595603
Equal,,,15.082808485127302
