,Non patent,Patent
USA,240829.11646291387,179036.6747992396
EUR,39941.20924300568,21122.572113392092
JAP,99656.51624673107,42301.30101293005
CHN,1074.934735719147,6162.2795734988895
BRA,1245.710031878965,1456.7021508072685
IND,494.1046287646398,17.127052520597267
CAN,601337.14730524,524.318119196263
KOR,60699.12339923032,55829.09072017099
RUS,13166.970889740704,1448.197539083995
MEX,2386.6454546791424,1922.3873614646848
ZAF,1680.3187413631674,1500.0951522774092
ROW,139.09112704897737,2137.8941332826566
count,12.0,12.0
mean,88554.24068885965,26121.553310655374
std,176042.02751804751,51585.35684152284
min,139.09112704897737,17.127052520597267
25%,1203.0162078390106,1454.5759978764502
50%,7776.808172209923,2030.1407473736708
75%,70438.4716111055,26417.254338276583
max,601337.14730524,179036.6747992396
