target,moment
0.14944324138343568,0.22075903348527753
0.1576544602523723,0.13796782718725256
0.0016197469514975063,0.001999502342608244
0.00047629409788137205,0.0007227192837188881
0.0009424816339881738,0.001564115876327277
0.0702116252692814,0.03983726793904873
0.07564313581918608,0.1605284981725339
0.04330639210664955,0.06444659681036326
0.00044312878522216956,0.0013758575540289179
0.00022346053631032772,0.000551995340973995
0.0003798295203048199,0.0009145618237135663
0.013805953097100322,0.023461900716527463
0.09503577845091296,0.04638174587075571
0.09457746041135139,0.03633007499493532
0.0005689536294459013,0.0005775062325967779
0.00015346901526542867,0.00014603575812413425
0.0002732832969743276,0.00028370647617775705
0.020769772433114876,0.008000291903251586
0.03751176179634516,0.021278082948138675
0.044792949410899396,0.03419874231657157
0.04344011558718103,0.03827682103262488
0.0001435375820435255,0.00011395595964756983
0.00024633828124492706,0.00021081757961675896
0.012996915595959077,0.007739406061092547
0.02538772729273562,0.02362621471829938
0.028234417917656487,0.022274421493183826
0.003658213264527335,0.004763992616140086
0.00010977948084729249,0.00013063292373479915
0.00022294598552266264,9.937809526344702e-05
0.0037989138724672986,0.0028951295285982634
0.008386667386661923,0.004976793769662444
0.009026181535073853,0.010324827979189764
0.002730480349259639,0.006559791117935652
0.00013562247040029032,7.494412304714515e-05
3.833442737399308e-05,2.5956315570929106e-05
0.0014128535229811902,0.0015071988528668739
0.024452999296087713,0.046656109875064654
0.018680991212697586,0.01443952772129646
0.008557754870859309,0.013758709775923968
0.0003011951156150593,0.00010649065526187989
8.735837590810481e-05,4.3742583109736605e-05
0.00011747867935705115,6.907418994295136e-05
