,labor_IND,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,2.848410228,0.010000228353509203,0.01,0.01,0.8527594943531359,0.3651937269691648,11.99999976841903,0.010000226312893783,0.01,0.20951660823257717,0.010000229733380576,0.20278969111383663,12.0
2,3.837885464,0.01,0.01,0.01,0.38504333097745924,0.39799587601008046,12.0,0.01,0.01,0.01,0.01,0.21115959582134938,12.0
3,4.332623082,0.01,0.01,0.01,0.01,12.0,11.999999795602394,0.01,0.01000020439760648,0.01,0.01000020439760648,0.9204670437467867,12.0
4,4.579991891,0.01,0.01,0.01,0.01,12.0,12.0,0.01,0.01,0.01,0.01,12.0,12.0
5,4.703676295499999,0.01,0.01,0.0100000973418966,0.01,12.0,11.99999999897895,0.01,0.01,0.01,0.01,0.42002621182557354,12.0
6,4.76551849775,0.010000199486681932,0.01,0.01,0.01,0.6605217690244061,12.0,0.01,0.01,0.01,0.01,0.21861980058581534,12.0
7,4.796439598875,0.01,0.010000090455042032,0.01,0.01,0.7990261833670209,12.0,0.01,0.010000090455042032,0.01,0.01,0.2270651672115291,12.0
