,Non patent,Patent,Pharmaceuticals,Chemicals
USA,58066.271091844195,41110.66302267317,5794.310358636973,10937.570278867175
EUR,21558.675396584775,14641.077196070026,1000.5503945340128,3515.255805444307
JAP,22088.627664722077,15185.284671689578,213.4760390604335,3242.3208845133004
CHN,2390.0943698240917,1788.4687816246792,1195.4616446738562,1167.1726337035077
BRA,3020.128309045656,2054.781050947156,1143.1854044948177,567.1621130517134
IND,142.21038633196082,119.99076195411187,11.832013690882317,1.9004584661122332
CAN,18765.936545911387,12937.781367362191,64.55620002115857,3035.5732925475
KOR,16917.840493660475,11591.381283537874,777.6205106785532,1785.485392971901
RUS,5841.28219501749,4676.336295335066,45.54014837164908,1581.5166648211946
MEX,3287.020682389031,2364.418818222096,702.0998048525463,620.3299479432992
ZAF,1948.060648049178,1181.2481335664536,1086.0933236530536,8.606092376166758
ROW,346.3276425352597,216.98290671085095,184.06716600972695,244.0966590530334
count,12.0,12.0,12.0,12.0
mean,12864.372952159632,8989.034524141103,1018.2327507231386,2225.582518646601
std,16625.660110288165,11691.06186406735,1573.433722473011,3016.527116895106
min,142.21038633196082,119.99076195411187,11.832013690882317,1.9004584661122332
25%,2279.5859393803635,1636.6636196101229,154.18942451258485,486.3957495520434
50%,4564.15143870326,3520.377556778581,739.8601577655497,1374.3446492623511
75%,19464.121258579733,13363.60532453915,1100.3663438634946,3087.26019053895
max,58066.271091844195,41110.66302267317,5794.310358636973,10937.570278867175
