origin_code,destination_code,sectors,patent flows
1.0,1.0,1,78801.4032024181
1.0,1.0,2,32015.23753354013
1.0,2.0,1,6708.113541856705
1.0,2.0,2,3787.3508529863143
1.0,3.0,1,10546.49869835425
1.0,3.0,2,5526.949275922634
1.0,4.0,1,856.3917055710347
1.0,4.0,2,667.3644151355757
1.0,5.0,1,1299.5102120125837
1.0,5.0,2,963.6693888822052
1.0,6.0,1,429.16920795976404
1.0,6.0,2,330.3779064158918
1.0,7.0,1,9226.36651137983
1.0,7.0,2,5753.964415067156
1.0,8.0,1,2802.2333426139476
1.0,8.0,2,1764.2989419988603
1.0,9.0,1,91.99351941304818
1.0,9.0,2,93.64997475349094
1.0,10.0,1,1156.9210623863864
1.0,10.0,2,836.2052645599075
1.0,11.0,1,614.4429924169532
1.0,11.0,2,804.9531808814929
1.0,12.0,1,580.9684262731946
1.0,12.0,2,452.99836465568507
2.0,1.0,1,17077.506075884434
2.0,1.0,2,6639.829873617361
2.0,2.0,1,19128.612737406413
2.0,2.0,2,6185.315850731587
2.0,3.0,1,10059.792128898898
2.0,3.0,2,5017.619420351623
2.0,4.0,1,729.1343727023685
2.0,4.0,2,503.5706435685348
2.0,5.0,1,1409.738803090599
2.0,5.0,2,798.9996343597021
2.0,6.0,1,459.75043863580237
2.0,6.0,2,287.45543754468025
2.0,7.0,1,4963.22507438813
2.0,7.0,2,3565.6625870231223
2.0,8.0,1,1927.1351775300693
2.0,8.0,2,1549.3673563010557
2.0,9.0,1,113.6120656968118
2.0,9.0,2,97.53220464275826
2.0,10.0,1,405.0917868502271
2.0,10.0,2,423.1189675959386
2.0,11.0,1,923.2945465655796
2.0,11.0,2,1204.835824267206
2.0,12.0,1,479.35723255973335
2.0,12.0,2,307.96108341750255
3.0,1.0,1,20482.032152383064
3.0,1.0,2,5199.390956587337
3.0,2.0,1,5309.508509500883
3.0,2.0,2,1938.9830234036456
3.0,3.0,1,238735.68408901888
3.0,3.0,2,87886.07808816453
3.0,4.0,1,500.9680135535924
3.0,4.0,2,260.8734330041306
3.0,5.0,1,132.11060032504312
3.0,5.0,2,115.27226037409544
3.0,6.0,1,66.35759984553519
3.0,6.0,2,39.10389018594434
3.0,7.0,1,2394.990246493897
3.0,7.0,2,1335.113321181448
3.0,8.0,1,4699.036460596461
3.0,8.0,2,1348.0126347538207
3.0,9.0,1,8.238040945574012
3.0,9.0,2,14.48795854513136
3.0,10.0,1,50.06670955316795
3.0,10.0,2,47.714960669780154
3.0,11.0,1,43.51421585347699
3.0,11.0,2,42.97959077108119
3.0,12.0,1,128.31397591908404
3.0,12.0,2,62.9022164380685
4.0,1.0,1,73.54832530366464
4.0,1.0,2,24.001141782289128
4.0,2.0,1,12.904352496733182
4.0,2.0,2,3.5554183404238477
4.0,3.0,1,19.26345381518185
4.0,3.0,2,4.253581401853364
4.0,4.0,1,3449.117709778963
4.0,4.0,2,1839.2267496801496
4.0,5.0,1,2.444703728002944
4.0,5.0,2,1.9600581767589604
4.0,6.0,1,7.682559007089199
4.0,6.0,2,4.0977138155760695
4.0,7.0,1,20.050493411158023
4.0,7.0,2,6.594698649034032
4.0,8.0,1,7.023715123928871
4.0,8.0,2,3.589334079120333
4.0,9.0,1,0.006676032
4.0,9.0,2,0.153323968
4.0,10.0,1,0.4900076859453695
4.0,10.0,2,0.6528494569117735
4.0,11.0,1,0.4382018576052584
4.0,11.0,2,0.5145909351875344
4.0,12.0,1,1.2324639797032488
4.0,12.0,2,0.3108877429381432
5.0,1.0,1,69.86318076338505
5.0,1.0,2,20.6400562785539
5.0,2.0,1,25.07079575714491
