,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
0,0.5,0.1048877682624137,-0.1005847356236204,-0.1044493930198256,-0.089725866281108,-0.093250407300654,-0.0917101096009895,-0.1087173791243079,-0.1102320558240718,-0.097416045963218,-0.0866271220740651,-0.0945385363526418,-0.0971930874358885,-0.0927846466412431,-0.0639249960922599
1,0.52,0.1054613877029383,-0.103788535246422,-0.1077651571285006,-0.0929471625051551,-0.0965907352694796,-0.0950685126260497,-0.1118601179991955,-0.1135446034408428,-0.1007885844246397,-0.0902367567524206,-0.0978585567046314,-0.1005758126134238,-0.096099182464697,-0.0666782281262504
2,0.54,0.1058733222652511,-0.1069624310027312,-0.1110549848681643,-0.0961522518159004,-0.0999105642449786,-0.0983983158275681,-0.1149668055276478,-0.1168213621671248,-0.1041353764298195,-0.0938002729173673,-0.1011560708478538,-0.1039295727383445,-0.0993863588707097,-0.0694264356471351
3,0.56,0.10613404964681,-0.1101080135193909,-0.1143046643710293,-0.0993351574589591,-0.1032010796292871,-0.1017091439712927,-0.1180429673319325,-0.1200540700431393,-0.1074555531277115,-0.0973185588196968,-0.1044344273018943,-0.1072616547057134,-0.1026557903884125,-0.0721815775226959
4,0.58,0.1062568346677624,-0.1132293135955817,-0.1175334702807362,-0.1025098235567049,-0.1064773590539551,-0.1050021248756317,-0.1210976256022822,-0.1232623454705859,-0.1107586350474678,-0.1008018549822123,-0.1076910960784729,-0.1105765089888313,-0.1059050574370417,-0.0749376982336362
5,0.6,0.1062481234774847,-0.1163329908467978,-0.1207371203417613,-0.1056641919115394,-0.1097295052530843,-0.1082683979522706,-0.1241309117866243,-0.1264388369696985,-0.1140416523385525,-0.1042453010496732,-0.1109357920778303,-0.1138701924422677,-0.1091374211838793,-0.0776996700631601
6,0.62,0.1061155541109619,-0.1194195370480381,-0.1239170164279373,-0.1088068542948877,-0.1129675246206064,-0.111528591937157,-0.127142144668036,-0.1295900346216124,-0.117312490047808,-0.1076608453004881,-0.1141637735558219,-0.1171510488215222,-0.1123591357550267,-0.0804642119422059
7,0.64,0.1058677855605048,-0.1224873331539579,-0.1270806977961426,-0.1119389245688104,-0.1161879996853406,-0.1147673132750287,-0.1301404481692122,-0.1327200539584808,-0.1205607156351928,-0.1110446823150957,-0.1173753210114401,-0.1204181287516392,-0.1155636335985162,-0.0832296453418045
8,0.66,0.1055124594404812,-0.1255425822123333,-0.1302235544656918,-0.1150613233626591,-0.119398719686475,-0.1179943604887639,-0.1331241150968209,-0.1358288575244328,-0.1237998759611621,-0.1144030156449413,-0.1205779534040167,-0.1236710263961285,-0.1187566059695202,-0.086005536253115
9,0.6799999999999999,0.1050590027776959,-0.1285827290931862,-0.1333559199076365,-0.118171513852592,-0.1225936226353727,-0.1212100893262592,-0.1360943826112215,-0.1389160045191686,-0.1270296563128211,-0.1177364835632855,-0.1237712490465157,-0.1269104635892656,-0.1219407308748936,-0.0887808400285975
