,0
eta,0.00036295824787657693
eta,0.0001605112961726718
eta,2.1481661356848036e-05
eta,2.7031889491269112e-05
eta,1.7343543604830813e-05
eta,-1.1166666805451086e-05
eta,0.00026086219261145516
delta,1.3101990966379873e-05
delta,7.453898650755519e-06
delta,1.2175404043412996e-05
delta,5.443523075632228e-06
delta,1.0759557984130197e-05
delta,7.354925318225902e-07
delta,-3.084382327045443e-07
fe,1.6252498707902685e-05
T,1.4616232675371819e-10
T,3.411709772375524e-10
T,2.0293339671419427e-10
T,1.2467954591925147e-08
T,5.847612156021281e-09
T,1.4950641177332972e-08
T,7.549041440758518e-09
fo,250.0031710179086
g_0,3.9502862962891063
