,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0
RD,-0.8176742559298873,-2.388438447378576,0.867302805185318,7.052614377811551,2.6311314245685935,4.041884996928275,284.09997341036797,-0.07453502435237169,-0.012545837089419365,-0.011658170260488987,-0.0011763481761283751,-0.0066123101860284805,-1.6976151215131415e-05,-0.00023576374772273637,-0.041364834643900394,2.281400940585386e-11,9.648871069690349e-11,5.927828971133984e-11,7.624463108768754e-09,2.566336391604725e-09,1.7045886034410918e-08,2.9018446100890113e-09,0.004043213091790676,-4.261667346581817
RP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP,2.6217324286699295,-3.198933457955718,0.032789070159196854,0.07507055252790451,0.027939705178141594,0.04434971511363983,0.48116473108530045,0.01901418063789606,-0.0031463075429201126,-4.702247679233551e-06,-8.823524267795145e-06,-6.801541894674301e-05,1.9606773472593246e-07,-4.2247296758836614e-07,0.0038813361898064613,4.003964707908018e-06,-1.687046083883189e-05,-1.284404542545494e-10,-1.652020511904169e-08,-5.560575608925437e-09,-3.693394927708572e-08,-6.287533626744443e-09,0.001554250717163086,-0.023448496125638485
RP,2.6367604825645685,0.18881482630968094,-1.7741790488362312,0.05958516709506512,0.02080659009516239,0.03303319960832596,0.42155282385647297,0.019174743443727493,2.321973443031311e-05,-0.012689756229519844,3.954678050954485e-06,-4.159100353717804e-05,2.962364370228773e-06,2.133163507115412e-06,0.0017004068940877914,4.004109315557663e-06,4.0114927554577897e-10,-1.0364073805398231e-05,3.160861632376302e-08,1.0658670386016423e-08,7.086782261211511e-08,1.2030131381446908e-08,0.0011551417410373688,-0.03220529668033123
RP,2.4628622103482485,-0.016516627743840218,-0.14228211157023907,-3.9144233986735344,-0.1786785814911127,-0.3010418638586998,0.11163419485092163,0.01968298852443695,0.00011884979903697968,0.00032297708094120026,-0.0003838480376535767,0.0004512723535299301,1.7387668738589138e-06,2.701660464526629e-06,0.005609015002846718,4.004015976753331e-06,9.425423529129099e-12,4.792181736664105e-12,-0.0013330735923227242,2.0746803671078197e-10,1.6651139199929821e-09,2.8346439980658974e-10,0.001476021483540535,0.11776681616902351
RP,2.390359447337687,-0.044766008388251066,-0.1229052972048521,-0.6393592278473079,-0.8381843427196145,-0.38299913750961423,0.48652315977960825,0.019288809038698673,1.0997988283634186e-05,0.00015668198466300964,7.595168044895986e-05,-0.0005916948430240154,2.7696674275038597e-06,1.1731749330723092e-06,0.005190381780266762,4.004106586747577e-06,3.9182541908054134e-10,2.4030794666980207e-10,3.090877086788445e-08,-0.0004486923040494296,6.90412213507435e-08,1.1753387042842629e-08,0.0011779367923736572,0.16267366521060467
RP,2.576235830783844,-0.14976451359689236,0.01163412630558014,-0.010170298628509045,-0.001840769313275814,-5.119190063327551,-0.4189674975350499,0.01890706829726696,3.69315966963768e-05,-3.059115260839462e-05,5.819654389375579e-07,1.0197050869464874e-05,-2.2767452772215297e-05,5.648138597450619e-07,0.005244174040853977,4.003999613535258e-06,-5.931516531262278e-11,-3.7538756937202154e-11,-4.828291585510824e-09,-1.625166287567792e-09,-0.002980343021496813,-1.855958721147456e-09,0.0014280211180448532,-0.008423826657235622
RP,2.36472022216185,-0.4355805234226864,-0.08635347618837841,0.02148637978825718,0.00893449760042131,-0.00161041141836904,-6.479599746235181,0.01955052578705363,0.00011779015767388046,0.00012210631393827498,-2.364940679145289e-06,-2.3477390641346574e-05,-1.7793217151211725e-07,-1.0707651837928478e-05,0.005548145796637982,4.0039857929076765e-06,-1.1954951255346344e-10,-7.404638362442548e-11,-9.601105169717055e-09,-3.2316591011282497e-09,-2.1465031988831948e-08,-0.0005073671540084905,0.00238605379126966,-0.005658588110236451
SRDUS,57.94040760397911,0.17488114535808563,1.356678083539009,7.217388153076172,2.5617225915193558,4.243191495537758,-4.591388523578644,-0.3583860546350479,-0.005671903491020203,-0.004352018237113953,-0.0009249305571724655,-0.006405457854270935,-8.975295501379647e-06,-6.152939630517744e-05,-0.12469275295734406,-1.8050644804631626e-11,-7.735347585974916e-11,-4.7522468888585704e-11,-6.1124116880402986e-09,-2.057391364048588e-09,-1.3665417688218267e-08,-2.3263630053092537e-09,-0.11758178472518921,-2.3656970858573914
SPFLOW,2.8309935182332993,-15.55696426704526,7.2560684606432915,-0.4797861762344837,-0.49881042540073395,0.024231191724538803,-0.8104287758469582,-2.539710607379675,0.6088230721652508,0.2643369771540165,0.20953790815636153,0.049453750252723694,0.020602793070611646,0.06296464573578267,-0.02203989028930664,-2.9158733915174165e-11,-1.2285552048313102e-10,-7.547686235245965e-11,-9.707947975122828e-09,-3.267621578194816e-09,-2.1703898681287837e-08,-3.6948118319617557e-09,20.35483007878065,-0.7890814058482647
SPFLOW,5.974123228341341,4.967968376353383,-22.179801270365715,-2.078597905114293,-1.1026995796710253,-1.0728639494627714,1.0812717862427235,-2.5287370961159468,0.5748205855488777,0.3632066585123539,0.20987543345494267,0.05092957429587841,0.020604073971572035,0.06298539457481135,-0.0040136538445949554,5.191488869024395e-11,2.1873482879668564e-10,1.343807628656226e-10,1.7284256580046726e-08,5.8177495294315105e-09,3.8642126488112996e-08,6.5783290024081e-09,19.408951247110963,-0.109985226765275
SPFLOW,8.081238500773907,5.2457370683550835,7.198515065014362,-11.27805694937706,-0.7943350896239281,-0.5770773515105247,0.669093407690525,-2.505299024283886,0.5726249665021896,0.2636500597000122,0.21431320755089373,0.05014292150735855,0.020600617786173656,0.06294421884282056,-0.02872413396835327,-1.2573739757072458e-11,-5.297738052579459e-11,-3.2546900961510376e-11,-4.186231534246087e-09,-1.4090537493273942e-09,-9.359088584788142e-09,-1.5932654196025561e-09,23.32435017824173,-0.556715652346611
SPFLOW,8.355362489819527,5.4111496061086655,7.121055945754051,-1.0289458632469177,-1.8831893801689148,-0.33730170130729675,-0.44030889868736267,-2.484808385372162,0.5717456638813019,0.26203081011772156,0.20953117372313948,0.06391666829586029,0.020600051493117486,0.06293094235899808,-0.018865033984184265,4.628370462726058e-13,1.9500876267163655e-12,1.1980454341660262e-12,1.5409441230353695e-10,5.186700917769549e-11,3.445063282744101e-10,5.86478068565358e-11,23.05233283340931,-0.7087002247571945
SPFLOW,7.674473755061626,5.516729041002691,6.775120185688138,-2.6518670078366995,-1.2375195887871087,-88.66913846833631,1.7628289218991995,-2.5052051157690585,0.5746663901954889,0.2627775161527097,0.2097535132221522,0.051293580792844296,0.020914954393094338,0.06297759485721845,-0.03106502303853631,-8.96264655229973e-12,-3.776263435485128e-11,-2.3199650647027528e-11,-2.9839740882528665e-09,-1.0043830214722492e-09,-6.6712215027305035e-09,-1.1356903431906256e-09,23.557710752356797,0.018239119555801153
SPFLOW,2.782320775091648,6.436801020056009,7.708363622426987,0.8415590301156044,-0.06664129719138145,0.8126282766461372,10.725989952683449,-2.5277067236602306,0.5775086469948292,0.2663794346153736,0.209461982734584,0.04838530719280243,0.020603200936443772,0.06303708836712546,-0.03333833068609238,-1.685498243509406e-11,-7.101569107292096e-11,-4.3628821227546116e-11,-5.6116048480538035e-09,-1.8888235842210774e-09,-1.2545772121326434e-08,-2.1357576330255124e-09,23.095856558531523,-1.2683111876249313
SPFLOW,-36.77860143408179,2.289794649928808,7.330661494284868,-0.6204635798931122,-0.5154125206172466,-0.09355835989117622,5.493221320211887,1.9603604301810265,-2.234775807708502,0.2635131888091564,0.20952094627595028,0.04949468374252319,0.020601438012227236,0.06296707051396382,0.04710385948419571,-2.6111723360546177e-11,-1.1001744360724828e-10,-6.758972991086664e-11,-8.693493094124542e-09,-2.9261637677749873e-09,-1.9435898686814637e-08,-3.3087137701562282e-09,12.791353926062584,0.8066445291042328
SPFLOW,9.457466999068856,3.3724597999826074,-31.90338364150375,-0.39000897109508514,-0.5071241874247789,-0.08423604629933834,4.202825964428484,1.748285978101194,-2.2322288770228624,0.3732977043837309,0.20969322086987813,0.04946042224764824,0.020603098689086406,0.06298790644741967,0.015512392856180668,4.992854636665735e-11,2.1036570273202791e-10,1.2923915121066007e-10,1.6622934727244047e-08,5.595153615043901e-09,3.716362016260199e-08,6.3266321646488e-09,15.930965211242437,0.7659699749201536
SPFLOW,9.539974763989449,4.92130684107542,7.747213818132877,-8.688119694590569,0.11620648205280304,0.9388193860650063,2.52942718565464,1.7274450808763504,-2.2266693264245987,0.2629075422883034,0.2139998231313599,0.047891512513160706,0.02059852564793836,0.06294053401193198,-0.02321803569793701,-1.7047831204374312e-11,-7.18282275840528e-11,-4.41280068251153e-11,-5.675810853180277e-09,-1.910434838045117e-09,-1.2689316424774106e-08,-2.1601942192157355e-09,23.02867855131626,-0.035440362989902496
SPFLOW,9.80513671040535,5.095621734857559,7.671251684427261,1.5406880304217339,-0.967868871986866,1.1827139779925346,1.42098917812109,1.722137711942196,-2.221419207751751,0.26128780096769333,0.20922023685604982,0.06165380775928497,0.020598020029138204,0.06292731125800487,-0.019198209047317505,8.485345848331106e-13,3.575160648980003e-12,2.1964166293043815e-12,2.8250642255648437e-10,9.508951682577506e-11,6.315949351697519e-10,1.075209792369823e-10,22.532942071557045,-0.191326305270195
SPFLOW,9.290073551237583,4.989527348428965,7.327791716903448,-0.07872972264885902,-0.3231284059584141,-86.8973658233881,3.675038866698742,1.7321142628788948,-2.2273144982755184,0.26203080639243126,0.20944183805892852,0.04903245344758034,0.020912489080094594,0.06297381968211065,-0.025492146611213684,-1.118522861825464e-11,-4.7127117645645493e-11,-2.89527646590123e-11,-3.723948297335476e-09,-1.2534527217943077e-09,-8.32556959996491e-09,-1.4173219990329486e-09,23.453504405915737,0.5357713028788567
SPFLOW,11.454687017016113,-1.5229133069515228,8.23663373105228,2.7078735791146755,0.5933551560156047,1.9264568714424968,-38.21806327672675,1.75946494191885,-2.229548430070281,0.2664600843563676,0.20926020652330277,0.0467603518627584,0.02060258548600425,0.0630500843938933,-0.01741473563015461,-2.8450014688069236e-11,-1.1986944880472159e-10,-7.364235528139292e-11,-9.471990906283036e-09,-3.18820022039147e-09,-2.1176373366117647e-08,-3.605007377712685e-09,22.626059807371348,-0.46532504772767425
SPFLOW,-45.83451274037361,5.848507024347782,4.9218479841947556,-3.7287599369883537,-1.6224969998002052,-1.935794860124588,4.063138864934444,1.9787114262580872,0.5756854340434074,-3.914099834859371,0.2099050532363175,0.05223436653614044,0.02060416385935873,0.06297459529914858,0.048499688506126404,-2.3527549852190795e-11,-9.91294543580819e-11,-6.090064290343966e-11,-7.833132625429794e-09,-2.636572966532854e-09,-1.7512405020615847e-08,-2.981263515207237e-09,15.239479452371597,0.5952530428767204
SPFLOW,9.541507594287395,-55.37875133007765,3.1478015445172787,-1.8181825652718544,-0.9804479256272316,-0.7648486718535423,2.1255135722458363,1.7504717148840427,0.6170471496880054,-3.9196799993515015,0.20972399542212916,0.05065421387553215,0.02060485824251094,0.06297386041283777,-0.007721763104200363,-3.594701059383905e-11,-1.5145680567497105e-10,-9.30481953868947e-11,-1.1967999355574702e-08,-4.028337712801016e-09,-2.675665816264585e-08,-4.554979665857614e-09,19.003447715193033,-0.16098548471927643
SPFLOW,8.805489242076874,5.278877705335617,6.6470359563827515,-11.132023498415947,-0.7528743743896484,-0.5081375241279602,0.7485805600881577,1.7300145626068115,0.5726169943809509,-3.892097294330597,0.21429967028977057,0.05004014074802399,0.020600644752509664,0.06294464521553862,-0.025869086384773254,-9.256740925452116e-12,-3.9001752534327305e-11,-2.3960908683320522e-11,-3.081888246070739e-09,-1.0373401835539098e-09,-6.8901265654882016e-09,-1.172956137130716e-09,23.177218720316887,-0.5137425363063812
SPFLOW,9.067848678678274,5.44282765313983,6.580105669796467,-0.9110098257660866,-1.8407492339611053,-0.2697695977985859,-0.3619452118873596,1.7247135937213898,0.5717387199401855,-3.869695443660021,0.20952094627595028,0.06381144747138023,0.02060006834707749,0.0629313938634414,-0.01648559421300888,8.986752648459763e-12,3.7864201418742763e-11,2.3262048846723674e-11,2.9919998388936754e-09,1.007084428200254e-09,6.6891645406614625e-09,1.1387449164644036e-09,22.793426517397165,-0.66499013453722
SPFLOW,8.526754647493362,5.55556246638298,6.195983678102493,-2.633615478873253,-1.232139028608799,-91.08312974870205,1.9356954768300056,1.734850101172924,0.574687160551548,-3.882450170814991,0.20975546918784044,0.05128054320812225,0.02091793965076024,0.0629785383801794,-0.022796571254730225,-3.2398593239082406e-12,-1.3650613387014557e-11,-8.386318039162183e-12,-1.0786608861247586e-09,-3.6306906424386845e-10,-2.4115442979208706e-09,-4.1053464799575064e-10,23.506974257528782,0.10093195736408234
SPFLOW,10.785643173381686,7.443049127236009,2.396757774055004,0.3868673127144575,-0.2383620124310255,0.5386084094643593,-29.292580934241414,1.760838869959116,0.5779921505600214,-3.918985603377223,0.20954764829146233,0.04881441593170166,0.02060437902824813,0.06305157117376,-0.02452007308602333,-1.6546424404245657e-11,-6.971563265511007e-11,-4.283012427143544e-11,-5.508875239851446e-09,-1.8542455781026138e-09,-1.2316101235810161e-08,-2.096659095121155e-09,22.860776398330927,-0.9881501980125904
SPFLOW,-28.83168215304613,7.054804537445307,7.607763137668371,-1.4743423759937286,0.31137849763035774,1.2771477028727531,4.694975767284632,1.9447299130260944,0.5746412426233292,0.2631318010389805,-1.2256067690135717,0.047447871416807175,0.02059941666062396,0.06296335621829391,0.04926382750272751,-1.8822039881752636e-11,-7.930356348646552e-11,-4.872051432275173e-11,-6.2665061003438355e-09,-2.1092583732262833e-09,-1.4009924016492678e-08,-2.3850108121657895e-09,-77.57781613245606,1.47012959420681
SPFLOW,10.860178508795798,2.4959166115149856,7.74919324554503,-3.209625056013465,1.0675080763176084,2.606049371883273,-0.5501449629664421,1.7394770877435803,0.6048012124374509,0.2636098023504019,-1.225594901926085,0.0455772764980793,0.020599025929651175,0.06295766344921885,-0.004701423458755016,-2.1791910928668524e-11,-9.181662575789553e-11,-5.640797252531706e-11,-7.255278579291531e-09,-2.442071682116496e-09,-1.622050628958681e-08,-2.7613342394952274e-09,-32.25141266360879,0.5803668778389692
SPFLOW,10.5866306014359,6.263520337641239,6.653098098933697,-1.4249176569283009,1.1956043429672718,2.7420305348932743,0.00018110498785972595,1.7363735251128674,0.5733554773032665,0.3327677696943283,-1.2257482360792427,0.04523929953575134,0.020597979579634194,0.06296400271026072,0.0014449991285800934,4.6013716350268226e-11,1.9387121155605198e-10,1.1910568358000577e-10,1.5319552823176632e-08,5.156445162415894e-09,3.424967080261427e-08,5.830569464987268e-09,-48.342822037637234,0.4411310963332653
SPFLOW,10.502801172435284,7.143301025032997,8.186054430902004,3.7108119055628777,-0.12438631802797318,2.582484506070614,3.204830065369606,1.719718150794506,0.5710014998912811,0.2606254443526268,-1.224505270264359,0.05956818163394928,0.02059606047538828,0.06292427811875038,-0.02035229653120041,1.0876670587406236e-11,4.582705922783458e-11,2.8154067702901614e-11,3.6212186891331182e-09,1.218874715675844e-09,8.095898714448638e-09,1.3782234611285915e-09,13.01675446331501,0.4671032503247261
SPFLOW,9.9791211001575,7.22694586776197,7.822622835636139,1.8617837354540825,0.5117944497615099,-84.51521294377744,5.280202329158783,1.7297110948711634,0.5739162284880877,0.26139872893691063,-1.22500396884552,0.04696826450526714,0.020909430648152337,0.06297074754535147,-0.022739848122000694,-2.873446662275761e-12,-1.2106794015864101e-11,-7.437865403780746e-12,-9.566694763844584e-10,-3.2200768197819283e-10,-2.138810121370296e-09,-3.6410513423432646e-10,21.592077454552054,1.2003354839980602
SPFLOW,11.684108717367053,7.394620067439973,8.073010523803532,-3.1932006077840924,1.4718513991683722,3.332838026806712,55.586127736605704,1.7486290531232953,0.5762367770075798,0.2653954913839698,-1.225522660656976,0.04457591753453016,0.020599238008647908,0.06301929250581381,-0.016539272852241993,-1.2120545149263863e-11,-5.106791972463482e-11,-3.137381480722281e-11,-4.035347422198873e-09,-1.3582673028409006e-09,-9.021759471686115e-09,-1.5358394420555313e-09,13.949239409528673,0.12831910327076912
SPFLOW,6.7389329466968775,4.829323472455144,7.751460460945964,2.1714804489165545,-0.5294644124805927,1.46235266700387,-0.06790360249578953,1.877732740715146,0.5739869009703398,0.2623390294611454,0.20917095360444013,-2.2927691005170345,0.020598708232505078,0.06295153130825751,0.024294137954711914,2.892731539203786e-12,1.2188047666977284e-11,7.487783963537664e-12,9.63090076897106e-10,3.241688073605968e-10,2.1531645517150633e-09,3.665487928533488e-10,-33.7008321788162,0.28040648996829987
SPFLOW,9.405188545584679,25.712515216320753,7.868249027058482,2.9077415242791176,-0.5583389587700367,1.9022058341652155,-2.166371690109372,1.7387408334761858,0.5999188404530287,0.2628880515694618,0.20911118154026048,-2.2932679913938046,0.02059958688562001,0.06295196288064286,-0.008726449683308601,-4.8212192320063105e-12,-2.0313412778295473e-11,-1.2479639939229439e-11,-1.6051501281618431e-09,-5.402813456009947e-10,-3.588607586191772e-09,-6.109146547555813e-10,-8.01498356834054,-0.01669943891465664
SPFLOW,9.416360668838024,5.254851393401623,-12.612721934914589,1.3537914901971817,-0.4093247056007385,0.9199877306818962,1.7827478349208832,1.7431291341781616,0.5741673037409782,0.3528917282819748,0.2094395639358492,-2.2910187989473343,0.020601145876920482,0.06297550524092492,0.011753827333450317,5.901172339975724e-11,2.4863617240633657e-10,1.5275079285616834e-10,1.964703756870096e-08,6.613043670156175e-09,4.392455685498729e-08,7.477595374208316e-09,-17.12317308038473,0.6621000096201897
SPFLOW,9.75692905858159,6.398641269654036,7.90566411614418,-7.859039351344109,0.36046314612030983,1.380050167441368,3.0262667573988438,1.7264235094189644,0.5720846839249134,0.2626515328884125,0.21389847198763526,-2.2890462689101696,0.020597899804223503,0.06293909803714778,-0.020587339997291565,-2.159906215938827e-12,-9.100408924676371e-12,-5.590878692774788e-12,-7.191072574165057e-10,-2.420460428292456e-10,-1.6076961986139139e-09,-2.7368976533050043e-10,20.255140841007233,0.28345707803964615
SPFLOW,9.445313319563866,6.219750300049782,7.5784139558672905,1.248079113662243,-0.10259204357862473,-60.94785761088133,2.831114001572132,1.7302870079874992,0.5739144384860992,0.2616414576768875,0.20927859705863994,-2.2900791689753532,0.02088076880376767,0.06296763814431001,-0.023284941911697388,6.788276678664885e-12,2.8601285191840024e-11,1.7571333034435052e-11,2.260051380451875e-09,7.607161346062005e-10,5.052759481358015e-09,8.601678338958584e-10,22.495765760540962,0.6212683767080307
SPFLOW,10.128467358648777,5.313336104154587,8.120914965867996,3.2739407792687416,-0.46969369798898697,2.1304809972643852,50.555360950529575,1.7516547739505768,0.5766882449388504,0.26513785123825073,0.2091485250350369,-2.293509751558304,0.02060106273071779,0.06302026397698647,-0.01584126055240631,-2.2370457236509278e-12,-9.425423529129099e-12,-5.79055293180246e-12,-7.447896594670952e-10,-2.5069054435886155e-10,-1.6651139199929821e-09,-2.8346439980658974e-10,18.163393326103687,-0.11898605525493622
SPFLOW,-29.930924952030182,7.487732380628586,8.180865228176117,3.419962927699089,0.9218100383877754,-3.901891879737377,6.304304793477058,1.9455706626176834,0.5744304805994034,0.2622249573469162,0.2090293033387361,0.04594016075134277,-0.7099038403828773,0.06296045220411053,0.04992791265249252,-2.4530363452448105e-11,-1.0335464421596736e-10,-6.349640801079938e-11,-8.167003852087458e-09,-2.748951486417861e-09,-1.8258835398543734e-08,-3.1083337633963978e-09,-270.0475056990981,1.4782931879162788
SPFLOW,11.517028025351465,-0.4793468122370541,8.737822928000242,6.251491143833846,1.9029059796594083,-9.459531458560377,1.714802099391818,1.736749341711402,0.6051689614541829,0.2620814177207649,0.20871721200610358,0.043513694778084755,-0.7098565776655331,0.06295346948424112,-0.006216817069798708,-2.7799150091748383e-11,-1.171271380796517e-10,-7.195760388959694e-11,-9.255295638981187e-09,-3.1152622387353355e-09,-2.0691911341981756e-08,-3.522533899320682e-09,-138.54943695198745,0.3440249073319137
SPFLOW,10.56757053732872,7.068556413054466,-28.91484208405018,3.4612442329525948,0.8640471398830414,-1.1084033660590649,6.093907978385687,1.7438060827553272,0.5741463117301464,0.3698509484529495,0.20922098186951832,0.04607012867927551,-0.7098887515942834,0.06298154292126376,0.019542749971151352,5.654325915297001e-11,2.382357050638493e-10,1.4636121720728285e-10,1.8825200703082096e-08,6.336419621208466e-09,4.20871897708571e-08,7.164807070973458e-09,-185.19957034289837,1.5143823511898518
SPFLOW,10.641614567488432,7.445590332150459,8.542568903416395,-4.937369894236326,1.439164623618126,2.1532641910016537,5.2456386014819145,1.7235231921076775,0.5716728828847408,0.261775441467762,0.21354450021140306,0.044620707631111145,-0.7098344627419124,0.06293512722455806,-0.02291736751794815,-9.912426741004974e-12,-4.176437667217549e-11,-2.5658139715055728e-11,-3.3001886635007493e-09,-1.1108184465556452e-09,-7.378177197210283e-09,-1.2560405301774751e-09,6.145636633038521,0.769745197147131
SPFLOW,10.90937826037407,7.616977423429489,8.468518264591694,5.269454218447208,0.35928288102149963,2.4162892177700996,4.150493688881397,1.718211106956005,0.570792905986309,0.2601543590426445,0.2087676008699139,0.058372750878334045,-0.7097888401957759,0.06292186373990383,-0.022013261914253235,6.325439632392279e-12,2.665119756512366e-11,1.6373287600269023e-11,2.105956968148338e-09,7.08849125428505e-10,4.708253153083605e-09,8.015200270393227e-10,-7.25465589761734,0.6122507825493813
SPFLOW,12.404692186042666,7.900536010041833,9.138185719028115,7.303627045825124,2.2415526062250137,-10.235471060499549,28.300033681094646,1.7484122440218925,0.576410785317421,0.26414064690470695,0.20867252371666106,0.04267853684723377,-0.709843068373891,0.06302405323452653,-0.017621835693717003,-1.4791500603795358e-11,-6.232155040381051e-11,-3.828753533355592e-11,-4.924600593200534e-09,-1.6575831683038517e-09,-1.1009848074436356e-08,-1.8742861607901233e-09,-4.532420409843326,-0.030819786712527275
SPFLOW,-0.34288135915994644,6.28438962996006,8.346378795802593,6.0015088096261024,1.83485509455204,3.7702063247561455,-10.906416095793247,1.8910177126526833,0.573918417096138,0.26181264221668243,0.20871795610357194,0.04367164522409439,0.0205956874410735,-0.5125299121260387,0.028569653630256653,-1.913059791260104e-11,-8.060362190427643e-11,-4.9519211278862415e-11,-6.369235708546193e-09,-2.143836379344747e-09,-1.423959490200895e-08,-2.4241093500701466e-09,-39.24328491091728,0.5971317738294601
