,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0
GPDIFF,1.8943314105272293,2.2263685911893845,1.3581712245941162,6.3402960896492,2.2537769079208374,3.7490543127059937,4.650801941752434,-0.006381139159202576,-0.0009596943855285645,-0.0018735527992248535,-0.0007688441288488141,-0.0055729299783706665,-5.348323308283315e-06,-9.168746660687003e-06,-0.007674902677536011,-9.719577971724721e-12,-4.095184016104367e-11,-2.515895411748655e-11,-3.235982658374276e-09,-1.0892071927316053e-09,-7.234632893762612e-09,-1.231603943987252e-09,-0.006552278995513916,-3.861127018928528
GROWTH,2.034834250807762,2.3914986848831177,1.4589069932699203,6.810556799173355,2.42093987762928,4.027122229337692,4.995752617716789,-0.006854429841041565,-0.001030847430229187,-0.002012506127357483,-0.0008258657498627001,-0.005986273288726807,-5.743829569736199e-06,-9.848169853690652e-06,-0.008244141936302185,-1.0490973048845731e-11,-4.420198620557095e-11,-2.7155696507763258e-11,-3.4928066788801705e-09,-1.1756522080277645e-09,-7.808810107553295e-09,-1.3293502887481449e-09,-0.00703825056552887,11.805034816265106
KM,1.9561506323516369,-0.1052057258784771,0.14072617143392563,0.6847248487174511,0.23418765887618065,0.4211537688970566,-0.6378926262259483,-3.998043965548277,-0.05359778553247452,-0.02396198734641075,-0.0006555361296211268,-0.0012525953352451324,-3.8502309832971506e-05,-0.0007387392642642716,-1.4778732061386108,-2.8155920314916853e-12,-1.2838076875882739e-11,-7.887132441593005e-12,-1.0144548809982848e-09,-3.4145781041982864e-10,-2.2679999944732e-09,-3.860980618055274e-10,-1.5350048802793026,-1.2299815565347672
OUT,1.92208631336689,-0.5258087366819382,-0.4873739518225193,-2.3719031177461147,-0.8409711048007011,-1.4028499647974968,-0.4588221423327923,0.020418472588062286,0.00014206767082214355,0.0005722008645534515,0.0002852693210986847,0.0020786933600902557,2.273037406020409e-06,2.262721883842511e-06,0.007675770670175552,4.00400625717536e-06,-3.1851431236367303e-11,-2.0167098141794772e-11,-2.5939226071095384e-09,-8.730946544912074e-10,-5.7991898592859036e-09,-9.872380820850195e-10,0.004553165286779404,0.4085313193500042
RD,56.31663203984499,0.13840986043214798,1.2996180728077888,6.9266062900424,2.4585488736629486,4.071746453642845,-4.5354392528533936,-0.2846676930785179,-0.004955895245075226,-0.003840133547782898,-0.0008851346246177092,-0.006142735481262207,-8.588778018596147e-06,-5.726393590216217e-05,-0.10400605946779251,-1.280515828020876e-11,-5.42774389436055e-11,-3.334559791762106e-11,-4.2889611424484444e-09,-1.4436317554458578e-09,-9.588759470304415e-09,-1.6323639575069132e-09,-0.001572728157043457,-4.0958802327513695
RD,0.9052806124091148,135.39316540956497,1.457044754177332,7.858228139579296,2.8354651741683483,4.548219747841358,-4.38489780575037,-0.04372261092066765,-0.06708607450127602,-0.006291255354881287,-0.0010792118545018888,-0.0071042850613594055,-1.3397774606716439e-05,-7.401033103175723e-05,-0.05754757672548294,3.093294259255249e-11,1.2984333447886467e-10,8.006936985009608e-11,1.0298643222286385e-08,3.466445113375982e-09,2.302450627300641e-08,3.91962842491181e-09,-0.0057508088648319244,-4.476911906152964
RD,1.1372452154755592,0.852155052125454,34.37602125480771,5.411745980381966,1.9985342994332314,3.311599161475897,-2.345792882144451,-0.03132554516196251,-0.004081524908542633,-0.11756837368011475,-0.0009089164315998542,-0.004985276609659195,-9.335970245488669e-06,-7.296259807213808e-05,-0.05754007026553154,-1.0066705756429176e-10,-4.2316901499745125e-10,-2.599758592140277e-10,-3.34770110729434e-08,-1.1281074496148769e-08,-7.48439998176156e-08,-1.272657408786827e-08,0.000600181519985199,-3.5453550219535828
RD,0.8335795104503632,0.5788229703903198,0.46467822790145874,6.5604651272296906,1.054016798734665,1.7536525875329971,-0.30160877108573914,-0.008198902010917664,-0.001291915774345398,-0.0022600293159484863,-0.004663715918284109,-0.0026199519634246826,-3.6449497504350995e-06,-2.034109845176232e-05,-0.010959923267364502,-1.0799531079694134e-11,-4.6152073832287314e-11,-2.915243889803997e-11,-3.749630699386065e-09,-1.2620972233239236e-09,-8.382987321343979e-09,-1.427096633509038e-09,0.00029537081718444824,-2.418315589427948
RD,0.5838875770568848,0.4201684147119522,0.5299452394247055,2.594232425093651,1.2142615765333176,1.5163891017436981,0.708633229136467,-0.003324836492538452,-0.00047884881496429443,-0.000776246190071106,-0.00031645240942387615,-0.015002086758613586,-3.1280949769455354e-06,-7.962423848619299e-06,-0.011536523699760437,-3.347854634705182e-11,-1.4105633833248377e-10,-8.665861973800922e-11,-1.1146162489955839e-08,-3.751713663853307e-09,-2.4919291078515663e-08,-4.242191362622757e-09,5.920231342315674e-05,-2.270275205373764
RD,1.1545479521155357,0.34282198548316956,0.923707440495491,4.4588697254657745,1.5834554582834244,57.12208553403616,-1.482444018125534,-0.013384446501731873,-0.003374457359313965,-0.001577526330947876,-0.0005672312709305427,-0.00398244708776474,-0.00031134207957677663,-5.425332853928631e-05,-0.010957762598991394,-1.1879484187663548e-11,-4.907720527236186e-11,-3.0150810093178325e-11,-3.878042709639013e-09,-1.313964232501619e-09,-8.727493649618389e-09,-1.4857444403655737e-09,-0.0014089718461036682,-3.0588961765170097
