,Non patent,Patent,Pharmaceuticals,Chemicals
USA,53471.54670246944,38815.925965427065,7586.500660941725,11181.928220195898
EUR,19565.949507153575,13581.822434054217,1042.2569167641002,3436.4259746009157
JAP,37379.27449805296,24258.659840558576,2863.172657084076,8441.206419593
CHN,2049.2117825367145,1540.0106519827186,1150.8008019462443,1044.586398360983
BRA,3668.180024782939,137.01851465823313,1872.4736350512949,4059.255459267212
IND,160.60695490024324,123.67768429226126,3312.0876246555936,0.1354906380138613
CAN,12558.737456802624,3303.2756396406185,45695.484654293185,1034.4652941601476
KOR,24500.05065125684,16102.320127987688,122.34835533707756,6037.188181617676
RUS,6378.484953298992,4059.490580517153,5988.473353102481,52.420465292259365
MEX,3019.258762631367,2156.2246130292674,7812.48716148176,420.63172257050655
ZAF,1841.4764312744448,1124.5809988889507,2012.2325832580575,8.162241214108645
ROW,319.6568352436946,199.25382032315355,180.03354073109054,215.53696567641975
count,12.0,12.0,12.0,12.0
mean,13742.70288003365,8783.521739279991,6636.529328720558,2994.3285694322617
std,17060.98538622918,12243.204928303183,12588.55094263916,3763.6918773716666
min,160.60695490024324,123.67768429226126,122.34835533707756,0.1354906380138613
25%,1997.2779447211472,893.2492042475014,1123.6648306507082,174.75784058037965
50%,5023.332489040966,2729.750126334943,2437.702620171067,1039.5258462605652
75%,20799.47479317939,14211.946857537585,6387.980180062292,4553.738639854828
max,53471.54670246944,38815.925965427065,45695.484654293185,11181.928220195898
