,sep_rest_2015,sep_rest_1992,sep_pharma_2015,sep_pharma_1992,eq_rest_2015,eq_rest_1992,eq_pharma_2015,eq_pharma_1992
USA,0.121,0.202,0.137,0.274,0.0879,0.138,0.0879,0.138
EUR,0.122,0.176,0.174,0.298,0.106,0.142,0.106,0.142
JAP,0.136,0.172,0.161,0.258,0.113,0.128,0.113,0.128
CHN,0.203,0.305,0.256,0.597,0.162,0.277,0.162,0.277
BRA,0.186,0.263,0.274,0.477,0.178,0.236,0.178,0.236
IND,0.266,0.544,0.372,1.29,0.242,0.57,0.242,0.57
CAN,0.0892,0.0763,0.0987,0.0892,0.0748,0.0509,0.0748,0.0509
KOR,0.08,0.113,0.135,0.226,0.078,0.0995,0.078,0.0995
RUS,0.238,0.528,0.404,1.15,0.244,0.538,0.244,0.538
MEX,0.225,0.301,0.269,0.455,0.205,0.266,0.205,0.266
ZAF,0.169,0.193,0.305,0.291,0.188,0.17,0.188,0.17
ROW,1.54,1.58,2.4,3.39,1.58,1.61,1.58,1.61
