,EQ_1992,EQ_2015,EQ_ratio,SEP_1992,SEP_2015,SEP_ratio,SS_ratio
USA,0.1383829080401674,0.0879393249062181,1.573618039344108,0.2019941825302669,0.1212202900718791,1.6663397060879157,1.3111525278003833
EUR,0.1418007287969588,0.1060183259202876,1.3375114874344936,0.1755802039146133,0.1219394005751662,1.439897220147328,1.2044644388424703
JAP,0.1277439360523945,0.1131656374462641,1.1288226614996342,0.171621973199822,0.1356928064152104,1.2647831357741317,0.987981319660185
CHN,0.2765785085772625,0.1619481170969363,1.7078216995367264,0.3048574539219599,0.2025410164142365,1.5051640369892587,1.5048728570586696
BRA,0.2364866017080472,0.1777998475425017,1.3300720162401538,0.2630106248205464,0.1856514674603722,1.4166902552315495,1.1403512380783087
IND,0.5699853061700502,0.2415064252335923,2.3601248108357495,0.5436041092918104,0.2662426603277438,2.04176185973591,1.9422253164915817
CAN,0.0508628388744178,0.0748105331944239,0.6798887362857203,0.0762571420113554,0.0892055222589352,0.8548477726525183,0.5988233889830791
KOR,0.0995467709227603,0.0780151096934616,1.2759934750319688,0.1126410002972948,0.0799984751239969,1.408039342283741,1.2122399405013524
RUS,0.5383460313394091,0.2436570215575501,2.2094418945864667,0.5281542150368999,0.2380960988846998,2.2182396835181386,1.855407635574371
MEX,0.2658285624207029,0.2048096631396782,1.2979297868353528,0.3010887348806685,0.2252908601978069,1.3364445171735355,1.041505907646242
ZAF,0.169921964246765,0.1876060414167926,0.9057382319008588,0.1925051435153059,0.1685554719231022,1.142087772760827,0.7474683088724712
ROW,1.6062955208919196,1.5844731769776246,1.0137726180735487,1.5758554553366286,1.5355600080221343,1.0262415321472174,0.8509553946660056
