country,delta_1992,delta_2015,change_1992_to_2015,ratio_1992_over_2015
USA,0.13838290804016742,0.0879393249062181,0.050443583133949324,1.5736180393441082
EUR,0.14180072879695882,0.1060183259202876,0.03578240287667121,1.3375114874344938
JAP,0.12774393605239454,0.1131656374462641,0.014578298606130441,1.1288226614996344
CHN,0.2765785085772625,0.1619481170969363,0.11463039148032622,1.7078216995367264
BRA,0.23648660170804722,0.1777998475425017,0.05868675416554553,1.330072016240154
IND,0.5699853061700502,0.2415064252335923,0.32847888093645783,2.3601248108357495
CAN,0.05086283887441784,0.0748105331944239,-0.02394769432000607,0.6798887362857208
KOR,0.09954677092276032,0.0780151096934616,0.021531661229298713,1.275993475031969
RUS,0.5383460313394091,0.2436570215575501,0.29468900978185897,2.2094418945864667
MEX,0.2658285624207029,0.2048096631396782,0.06101889928102472,1.2979297868353528
ZAF,0.16992196424676503,0.1876060414167926,-0.017684077170027568,0.9057382319008589
ROW,1.6062955208919196,1.5844731769776246,0.02182234391429505,1.0137726180735487
